DonorParity,TimeFromTransfusion,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,VitalParam,CompFactor,CompName,VitalName,YLabel
0,0,59.285290104,1.1180793712,56.04389176,1.0651906014,53.956149893,58.131633627,ARTd,DonorParity,Donor Parity,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
0,1,59.295615567,1.1180790001,56.052705882,1.0651910616,53.964963113,58.140448651,ARTd,DonorParity,Donor Parity,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
0,2,59.306182574,1.1180751336,56.06172632,1.0651879146,53.973989719,58.149462921,ARTd,DonorParity,Donor Parity,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
0,3,59.316985296,1.1180678543,56.070948242,1.0651812461,53.983224711,58.158671773,ARTd,DonorParity,Donor Parity,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
0,4,59.328017908,1.118057251,56.080366815,1.0651711478,53.992663077,58.168070554,ARTd,DonorParity,Donor Parity,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
0,5,59.339274581,1.1180434184,56.089977206,1.0651577178,54.00229979,58.177654622,ARTd,DonorParity,Donor Parity,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
0,6,59.350749489,1.1180264567,56.099774581,1.0651410597,54.012129815,58.187419348,ARTd,DonorParity,Donor Parity,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
0,7,59.362436804,1.1180064709,56.109754109,1.065121282,54.022148105,58.197360112,ARTd,DonorParity,Donor Parity,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
0,8,59.374330699,1.1179835703,56.119910954,1.0650984982,54.032349607,58.207472302,ARTd,DonorParity,Donor Parity,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
0,9,59.386425346,1.1179578687,56.130240286,1.0650728256,54.042729256,58.217751316,ARTd,DonorParity,Donor Parity,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg)
