DonorParity,TimeFromTransfusion,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,VitalParam,CompFactor,CompName,VitalName,YLabel
0,0,80.01036691,1.3956101648,75.536208972,1.2820446462,73.023439652,78.048978292,ARTm,DonorParity,Donor Parity,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg)
0,1,80.028008606,1.3956096988,75.551676328,1.2820453014,73.038905724,78.064446932,ARTm,DonorParity,Donor Parity,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg)
0,2,80.046015617,1.3956045831,75.567444275,1.2820409853,73.05468213,78.080206419,ARTm,DonorParity,Donor Parity,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg)
0,3,80.064378199,1.3955949275,75.583504788,1.2820318154,73.070760616,78.09624896,ARTm,DonorParity,Donor Parity,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg)
0,4,80.083086604,1.3955808504,75.599849841,1.2820179186,73.087132907,78.112566776,ARTm,DonorParity,Donor Parity,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg)
0,5,80.102131088,1.3955624778,75.616471412,1.2819994301,73.103790714,78.129152109,ARTm,DonorParity,Donor Parity,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg)
0,6,80.121501905,1.3955399428,75.633361473,1.2819764925,73.120725732,78.145997214,ARTm,DonorParity,Donor Parity,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg)
0,7,80.141189309,1.3955133853,75.650512002,1.2819492557,73.137929644,78.163094359,ARTm,DonorParity,Donor Parity,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg)
0,8,80.161183554,1.3954829509,75.667914972,1.2819178758,73.155394118,78.180435826,ARTm,DonorParity,Donor Parity,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg)
0,9,80.181474895,1.3954487907,75.685562359,1.2818825147,73.173110812,78.198013906,ARTm,DonorParity,Donor Parity,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg)
0,10,80.202053585,1.3954110605,75.703446139,1.2818433395,73.191071374,78.215820904,ARTm,DonorParity,Donor Parity,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg)
0,11,80.22290988,1.3953699207,75.721558286,1.2818005218,73.209267442,78.233849129,ARTm,DonorParity,Donor Parity,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg)
0,12,80.244034033,1.395325535,75.739890776,1.2817542373,73.227690648,78.252090903,ARTm,DonorParity,Donor Parity,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg)
0,13,80.265416298,1.3952780706,75.758435583,1.281704665,73.246332616,78.27053855,ARTm,DonorParity,Donor Parity,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg)
0,14,80.28704693,1.3952276974,75.777184684,1.2816519869,73.265184964,78.289184403,ARTm,DonorParity,Donor Parity,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg)
0,15,80.308916184,1.3951745873,75.796130053,1.2815963874,73.284239307,78.308020799,ARTm,DonorParity,Donor Parity,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg)
0,16,80.331014312,1.3951189142,75.815263665,1.2815380526,73.303487253,78.327040077,ARTm,DonorParity,Donor Parity,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg)
0,17,80.353331571,1.3950608531,75.834577496,1.28147717,73.322920412,78.34623458,ARTm,DonorParity,Donor Parity,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg)
0,18,80.375858213,1.3950005798,75.854063521,1.2814139281,73.342530389,78.365596652,ARTm,DonorParity,Donor Parity,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg)
