wdy_donation,TimeFromTransfusion,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,VitalParam,CompFactor,CompName,VitalName,YLabel
2,0,80.15695885,1.4096776829,76.054972592,1.2960021328,73.514847013,78.595098171,ARTm,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg)
2,1,80.181431247,1.4096763567,76.077437337,1.2960011067,73.53731377,78.617560905,ARTm,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg)
2,2,80.206416729,1.409660054,76.100357238,1.2959841047,73.560266994,78.640447482,ARTm,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg)
2,3,80.231901107,1.4096291277,76.123719809,1.2959515039,73.583693462,78.663746157,ARTm,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg)
2,4,80.257870191,1.4095839578,76.147512566,1.2959037102,73.607579892,78.687445239,ARTm,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg)
2,5,80.284309793,1.4095249492,76.171723022,1.2958411564,73.631912952,78.711533091,ARTm,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg)
2,6,80.311205724,1.4094525297,76.196338692,1.2957642995,73.656679259,78.735998124,ARTm,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg)
2,7,80.338543794,1.4093671483,76.221347091,1.2956736195,73.681865389,78.760828793,ARTm,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg)
2,8,80.366309814,1.4092692731,76.246735734,1.2955696165,73.707457874,78.786013593,ARTm,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg)
2,9,80.394489596,1.4091593895,76.272492134,1.2954528093,73.733443213,78.811541055,ARTm,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg)
2,10,80.423068949,1.4090379984,76.298603808,1.2953237332,73.759807872,78.837399743,ARTm,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg)
2,11,80.452033685,1.4089056147,76.325058268,1.2951829385,73.786538286,78.863578251,ARTm,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg)
2,12,80.481369615,1.4087627651,76.351843031,1.2950309883,73.813620867,78.890065195,ARTm,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg)
2,13,80.51106255,1.4086099868,76.37894561,1.2948684566,73.841042003,78.916849217,ARTm,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg)
