DonorParity,TimeFromTransfusion,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,VitalParam,CompFactor,CompName,VitalName,YLabel
0,0,83.738574412,2.1056738678,82.990953761,2.0912126288,78.892239831,87.089667691,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
0,1,83.721655678,2.1056737052,82.973214801,2.0912128399,78.874500458,87.071929145,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
0,2,83.704260419,2.1056716877,82.954977277,2.0912112079,78.856266133,87.053688422,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
0,3,83.686401934,2.1056678593,82.93625522,2.0912077765,78.837550801,87.03495964,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
0,4,83.668093526,2.1056622676,82.917062659,2.0912025931,78.818368399,87.01575692,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
0,5,83.649348497,2.1056549631,82.897413626,2.0911957079,78.798732861,86.996094392,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
0,6,83.630180148,2.1056459991,82.877322151,2.0911871742,78.778658111,86.97598619,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
0,7,83.610601781,2.1056354316,82.856802263,2.0911770477,78.758158072,86.955446455,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
0,8,83.590626698,2.1056233191,82.835867995,2.0911653865,78.737246659,86.934489331,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
0,9,83.5702682,2.105609722,82.814533376,2.0911522509,78.715937785,86.913128967,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
0,10,83.549539589,2.1055947028,82.792812437,2.0911377031,78.694245359,86.891379514,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
0,11,83.528454167,2.1055783256,82.770719207,2.091121807,78.672183286,86.869255129,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
0,12,83.507025236,2.1055606562,82.748267719,2.0911046279,78.649765468,86.84676997,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
0,13,83.485266097,2.1055417613,82.725472002,2.0910862325,78.627005805,86.823938199,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
0,14,83.463190052,2.1055217089,82.702346086,2.0910666884,78.603918195,86.800773977,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
0,15,83.440810403,2.105500568,82.678904003,2.0910460641,78.580516535,86.777291471,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
0,16,83.418140451,2.105478408,82.655159782,2.091024429,78.556814718,86.753504846,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
0,17,83.395193498,2.105455299,82.631127455,2.0910018527,78.532826639,86.72942827,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
0,18,83.371982846,2.1054313113,82.606821051,2.0909784053,78.508566192,86.705075909,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
0,19,83.348521797,2.1054065154,82.582254601,2.0909541568,78.484047268,86.680461933,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
0,20,83.324823652,2.1053809817,82.557442136,2.0909291775,78.459283762,86.655600509,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
0,21,83.300901713,2.1053547804,82.532397685,2.0909035372,78.434289566,86.630505805,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
0,22,83.276769282,2.1053279815,82.507135281,2.0908773055,78.409078575,86.605191987,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
0,23,83.252439661,2.1053006543,82.481668952,2.0908505514,78.383664683,86.579673221,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
0,24,83.22792615,2.1052728674,82.45601273,2.0908233433,78.358061788,86.553963672,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
0,25,83.203242053,2.105244689,82.430180645,2.0907957488,78.332283788,86.528077503,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
0,26,83.17840067,2.1052161858,82.404186728,2.0907678345,78.306344582,86.502028874,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
0,27,83.153415303,2.1051874238,82.378045009,2.090739666,78.280258072,86.475831945,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
0,28,83.128299255,2.1051584676,82.351769518,2.0907113076,78.254038162,86.449500873,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
0,29,83.103065826,2.1051293808,82.325374286,2.0906828223,78.227698761,86.423049811,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
0,30,83.077728319,2.1051002251,82.298873343,2.0906542719,78.201253776,86.39649291,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
0,31,83.052300035,2.105071061,82.272280721,2.0906257163,78.174717122,86.369844319,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
0,32,83.026794276,2.1050419473,82.245610448,2.0905972139,78.148102713,86.343118183,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
0,33,83.001224343,2.1050129409,82.218876557,2.0905688215,78.12142447,86.316328644,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
0,34,82.975603539,2.104984097,82.192093077,2.0905405939,78.094696316,86.289489839,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
0,35,82.949945165,2.104955469,82.165274039,2.0905125839,78.067932176,86.262615902,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
0,36,82.924262523,2.1049271079,82.138433473,2.0904848426,78.041145983,86.235720964,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
0,37,82.898568915,2.104899063,82.111585411,2.0904574187,78.01435167,86.208819151,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
0,38,82.872877641,2.1048713812,82.084743881,2.090430359,77.987563177,86.181924586,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
0,39,82.847202005,2.1048441074,82.057922916,2.0904037078,77.960794447,86.155051384,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
0,40,82.821555307,2.1048172841,82.031136544,2.0903775074,77.934059427,86.128213661,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
0,41,82.79595085,2.1047909513,82.004398798,2.0903517976,77.907372071,86.101425524,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
0,42,82.770401934,2.104765147,81.977723706,2.090326616,77.880746335,86.074701078,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
0,43,82.744921863,2.1047399065,81.951125301,2.0903019976,77.854196181,86.048054421,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
0,44,82.719523937,2.1047152626,81.924617611,2.090277975,77.827735575,86.021499648,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
0,45,82.694221458,2.1046912458,81.898214669,2.0902545784,77.801378489,85.995050849,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
0,46,82.669027729,2.1046678841,81.871930503,2.0902318352,77.7751389,85.968722107,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
0,47,82.64395605,2.1046452027,81.845779146,2.0902097707,77.749030788,85.942527504,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
0,48,82.619019723,2.1046232245,81.819774626,2.0901884074,77.72306814,85.916481113,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
0,49,82.594232051,2.1046019697,81.793930975,2.0901677652,77.697264947,85.890597004,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
0,50,82.569606334,2.1045814561,81.768262224,2.0901478616,77.671635206,85.864889242,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
0,51,82.545155875,2.1045616987,81.742782402,2.0901287113,77.646192918,85.839371886,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
0,52,82.520893976,2.10454271,81.71750554,2.0901103268,77.620952089,85.814058991,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
0,53,82.496833937,2.1045245002,81.692445668,2.0900927177,77.595926731,85.788964606,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
0,54,82.472989061,2.1045070767,81.667616818,2.0900758914,77.57113086,85.764102777,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
0,55,82.449372649,2.1044904445,81.64303302,2.0900598526,77.546578497,85.739487543,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
0,56,82.425998004,2.1044746062,81.618708303,2.0900446035,77.522283668,85.715132938,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
0,57,82.402878427,2.1044595618,81.594656699,2.090030144,77.498260404,85.691052994,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
0,58,82.380027219,2.1044453091,81.570892238,2.0900164717,77.47452274,85.667261736,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
0,59,82.357457682,2.1044318434,81.54742895,2.0900035816,77.451084717,85.643773184,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
0,60,82.335183119,2.1044191577,81.524280867,2.0899914666,77.427960378,85.620601355,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
0,61,82.313214385,2.1044072408,81.501459434,2.0899801152,77.405161193,85.597757674,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
0,62,82.291552556,2.1043960711,81.47896576,2.0899695058,77.382688314,85.575243206,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
