wdy_donation,TimeFromTransfusion,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,VitalParam,CompFactor,CompName,VitalName,YLabel
2,0,81.611244584,2.1309312695,80.906485448,2.1157060242,76.759765198,85.053205698,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
2,1,81.599142111,2.1309305643,80.892887218,2.115705434,76.746168125,85.039606311,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
2,2,81.586946756,2.1309239187,80.879166637,2.115698953,76.732460247,85.025873028,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
2,3,81.574663413,2.1309114743,80.865329648,2.1156867219,76.718647231,85.012012066,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
2,4,81.56229698,2.1308933837,80.851382194,2.1156688925,76.704734721,84.998029666,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
2,5,81.549852355,2.1308698095,80.837330215,2.1156456262,76.690728343,84.983932086,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
2,6,81.537334433,2.1308409232,80.823179654,2.1156170937,76.676633705,84.969725603,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
2,7,81.524748112,2.130806905,80.808936453,2.1155834741,76.662456398,84.955416508,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
2,8,81.512098289,2.1307679426,80.794606555,2.115544954,76.648201998,84.941011112,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
2,9,81.49938986,2.1307242305,80.780195901,2.1155017268,76.633876067,84.926515734,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
2,10,81.486627723,2.1306759694,80.765710433,2.1154539924,76.619484158,84.911936708,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
2,11,81.473816774,2.1306233655,80.751156094,2.1154019555,76.605031809,84.897280378,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
2,12,81.460961909,2.1305666297,80.736538825,2.1153458262,76.590524552,84.882553097,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
2,13,81.448068027,2.1305059771,80.721864569,2.1152858181,76.57596791,84.867761228,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
2,14,81.435140024,2.1304416261,80.707139268,2.1152221487,76.561367399,84.852911136,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
2,15,81.422182796,2.1303737978,80.692368863,2.1151550379,76.54672853,84.838009197,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
2,16,81.409201241,2.1303027157,80.677559298,2.115084708,76.532056809,84.823061787,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
2,17,81.396200255,2.1302286048,80.662716513,2.1150113827,76.51735774,84.808075287,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
2,18,81.383184736,2.130151691,80.647846452,2.1149352868,76.502636824,84.79305608,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
2,19,81.37015958,2.1300722008,80.632955056,2.1148566454,76.487899563,84.778010549,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm)
