wdy_donation,TimeFromTransfusion,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,VitalParam,CompFactor,CompName,VitalName,YLabel
2,0,9.2578485543,1.6313152988,6.4481436099,1.6495154091,3.2151369705,9.6811502493,VE,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min)
2,1,9.2594067903,1.6313136492,6.4494470624,1.6495141109,3.2164429675,9.6824511574,VE,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min)
2,2,9.2610380014,1.6313068414,6.4507973113,1.6495078389,3.2178055094,9.6837891132,VE,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min)
2,3,9.2627403418,1.631294999,6.45219313,1.6494967128,3.219223135,9.685163125,VE,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min)
2,4,9.2645119652,1.6312782549,6.4536332922,1.6494808612,3.2206943658,9.6865722185,VE,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min)
2,5,9.2663510258,1.6312567505,6.4551165713,1.6494604212,3.2222177068,9.6880154358,VE,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min)
2,6,9.2682556774,1.6312306353,6.456641741,1.6494355374,3.2237916482,9.6894918338,VE,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min)
2,7,9.2702240741,1.6312000656,6.4582075747,1.6494063613,3.2254146663,9.6910004832,VE,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min)
2,8,9.2722543697,1.6311652047,6.4598128462,1.6493730509,3.2270852253,9.6925404671,VE,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min)
2,9,9.2743447183,1.6311262216,6.4614563288,1.6493357697,3.2288017779,9.6941108798,VE,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min)
2,10,9.2764932738,1.6310832904,6.4631367963,1.6492946867,3.230562767,9.6957108256,VE,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min)
2,11,9.2786981902,1.6310365903,6.4648530221,1.649249975,3.2323666266,9.6973394177,VE,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min)
2,12,9.2809576215,1.6309863043,6.4666037798,1.6492018119,3.2342117827,9.698995777,VE,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min)
2,13,9.2832697215,1.6309326189,6.4683878431,1.649150378,3.2360966551,9.700679031,VE,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min)
2,14,9.2856326443,1.6308757236,6.4702039853,1.6490958567,3.2380196577,9.702388313,VE,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min)
2,15,9.2880445439,1.6308158104,6.4720509802,1.6490384337,3.2399792001,9.7041227603,VE,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min)
2,16,9.2905035742,1.630753073,6.4739276013,1.6489782966,3.2419736882,9.7058815143,VE,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min)
2,17,9.2930078891,1.6306877065,6.475832622,1.6489156343,3.2440015256,9.7076637185,VE,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min)
2,18,9.2955556427,1.6306199068,6.4777648161,1.6488506362,3.2460611141,9.7094685181,VE,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min)
2,19,9.2981449889,1.6305498703,6.4797229571,1.6487834924,3.2481508552,9.711295059,VE,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min)
2,20,9.3007740816,1.630477793,6.4817058184,1.6487143926,3.2502691502,9.7131424866,VE,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min)
2,21,9.3034410748,1.6304038706,6.4837121738,1.6486435262,3.252414402,9.7150099456,VE,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min)
2,22,9.3061441226,1.6303282977,6.4857407967,1.6485710812,3.2545850151,9.7168965782,VE,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min)
2,23,9.3088813788,1.6302512674,6.4877904607,1.6484972445,3.256779397,9.7188015244,VE,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min)
2,24,9.3116509974,1.630172971,6.4898599394,1.6484222012,3.2589959587,9.7207239201,VE,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min)
2,25,9.3144511324,1.6300935974,6.4919480063,1.6483461339,3.2612331155,9.7226628972,VE,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min)
