DonorParity,TimeFromTransfusion,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,base_lower_full,base_upper_full,Delta_Base,Delta_Full,Delta_Lower,Delta_Upper,VitalParam,CompFactor,CompName,VitalName,YLabel,DeltaYLabel
0,-720,59.841456989,1.1197414876,56.5379936,1.0668762059,54.446947998,58.629039201,53.716639753,57.882893853,0.8418768065,0.7382267967,-1.352818805,2.8292723983,ARTd,DonorParity,Donor Parity,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
0,-719,59.842146682,1.1196807158,56.538488004,1.0668131599,54.44756597,58.629410037,53.716639753,57.882893853,0.8425664994,0.7387212007,-1.352200833,2.8296432342,ARTd,DonorParity,Donor Parity,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
0,-718,59.842836374,1.1196203221,56.538982408,1.0667505048,54.448183176,58.629781639,53.716639753,57.882893853,0.8432561922,0.7392156048,-1.351583626,2.8300148359,ARTd,DonorParity,Donor Parity,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
0,-717,59.843526067,1.1195603063,56.539476812,1.0666882405,54.448799617,58.630154007,53.716639753,57.882893853,0.843945885,0.7397100088,-1.350967186,2.8303872038,ARTd,DonorParity,Donor Parity,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
0,-716,59.84421576,1.1195006688,56.539971216,1.0666263671,54.449415291,58.630527141,53.716639753,57.882893853,0.8446355779,0.7402044128,-1.350351512,2.8307603379,ARTd,DonorParity,Donor Parity,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
0,-715,59.844905453,1.1194414093,56.54046562,1.0665648848,54.450030198,58.630901041,53.716639753,57.882893853,0.8453252707,0.7406988168,-1.349736605,2.8311342383,ARTd,DonorParity,Donor Parity,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
0,-714,59.845595146,1.1193825282,56.540960024,1.0665037935,54.450644339,58.631275708,53.716639753,57.882893853,0.8460149636,0.7411932208,-1.349122464,2.8315089052,ARTd,DonorParity,Donor Parity,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
0,-713,59.846284839,1.1193240253,56.541454428,1.0664430933,54.451257714,58.631651142,53.716639753,57.882893853,0.8467046564,0.7416876248,-1.348509089,2.8318843387,ARTd,DonorParity,Donor Parity,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
0,-712,59.846974532,1.1192659008,56.541948832,1.0663827844,54.451870321,58.632027342,53.716639753,57.882893853,0.8473943492,0.7421820288,-1.347896481,2.832260539,ARTd,DonorParity,Donor Parity,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
0,-711,59.847664224,1.1192081547,56.542443236,1.0663228667,54.452482162,58.632404309,53.716639753,57.882893853,0.8480840421,0.7426764328,-1.347284641,2.8326375061,ARTd,DonorParity,Donor Parity,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
0,-710,59.848353917,1.119150787,56.54293764,1.0662633404,54.453093236,58.632782043,53.716639753,57.882893853,0.8487737349,0.7431708368,-1.346673567,2.8330152403,ARTd,DonorParity,Donor Parity,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
0,-709,59.84904361,1.1190937979,56.543432044,1.0662042054,54.453703543,58.633160544,53.716639753,57.882893853,0.8494634278,0.7436652408,-1.34606326,2.8333937415,ARTd,DonorParity,Donor Parity,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
0,-708,59.849733303,1.1190371874,56.543926448,1.0661454619,54.454313082,58.633539813,53.716639753,57.882893853,0.8501531206,0.7441596448,-1.34545372,2.8337730101,ARTd,DonorParity,Donor Parity,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
0,-707,59.850422996,1.1189809556,56.544420852,1.06608711,54.454921855,58.633919849,53.716639753,57.882893853,0.8508428135,0.7446540488,-1.344844948,2.834153046,ARTd,DonorParity,Donor Parity,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
0,-706,59.851112689,1.1189251024,56.544915256,1.0660291496,54.455529859,58.634300652,53.716639753,57.882893853,0.8515325063,0.7451484528,-1.344236944,2.8345338494,ARTd,DonorParity,Donor Parity,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
0,-705,59.851802381,1.118869628,56.54540966,1.0659715809,54.456137096,58.634682223,53.716639753,57.882893853,0.8522221991,0.7456428568,-1.343629707,2.8349154205,ARTd,DonorParity,Donor Parity,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
0,-704,59.852492074,1.1188145325,56.545904064,1.0659144039,54.456743565,58.635064562,53.716639753,57.882893853,0.852911892,0.7461372608,-1.343023238,2.8352977593,ARTd,DonorParity,Donor Parity,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
0,-703,59.853181767,1.1187598158,56.546398468,1.0658576187,54.457349267,58.635447669,53.716639753,57.882893853,0.8536015848,0.7466316648,-1.342417536,2.835680866,ARTd,DonorParity,Donor Parity,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
0,-702,59.85387146,1.118705478,56.546892872,1.0658012254,54.4579542,58.635831544,53.716639753,57.882893853,0.8542912777,0.7471260689,-1.341812603,2.8360647407,ARTd,DonorParity,Donor Parity,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
0,-701,59.854561153,1.1186515192,56.547387276,1.0657452239,54.458558365,58.636216186,53.716639753,57.882893853,0.8549809705,0.7476204729,-1.341208438,2.8364493836,ARTd,DonorParity,Donor Parity,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
0,-700,59.855250846,1.1185979395,56.54788168,1.0656896145,54.459161762,58.636601598,53.716639753,57.882893853,0.8556706633,0.7481148769,-1.340605041,2.8368347947,ARTd,DonorParity,Donor Parity,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
0,-699,59.855940538,1.1185447389,56.548376084,1.065634397,54.45976439,58.636987777,53.716639753,57.882893853,0.8563603562,0.7486092809,-1.340002412,2.8372209741,ARTd,DonorParity,Donor Parity,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
0,-698,59.856630231,1.1184919174,56.548870488,1.0655795717,54.460366251,58.637374725,53.716639753,57.882893853,0.857050049,0.7491036849,-1.339400552,2.8376079221,ARTd,DonorParity,Donor Parity,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
0,-697,59.857319924,1.1184394751,56.549364892,1.0655251385,54.460967342,58.637762442,53.716639753,57.882893853,0.8577397419,0.7495980889,-1.338799461,2.8379956387,ARTd,DonorParity,Donor Parity,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
0,-696,59.858009617,1.118387412,56.549859296,1.0654710975,54.461567665,58.638150927,53.716639753,57.882893853,0.8584294347,0.7500924929,-1.338199138,2.838384124,ARTd,DonorParity,Donor Parity,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
0,-695,59.85869931,1.1183357283,56.5503537,1.0654174488,54.462167219,58.638540181,53.716639753,57.882893853,0.8591191276,0.7505868969,-1.337599584,2.8387733781,ARTd,DonorParity,Donor Parity,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
0,-694,59.859389003,1.118284424,56.550848104,1.0653641924,54.462766003,58.638930204,53.716639753,57.882893853,0.8598088204,0.7510813009,-1.337000799,2.8391634012,ARTd,DonorParity,Donor Parity,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
0,-693,59.860078696,1.118233499,56.551342508,1.0653113285,54.463364019,58.639320996,53.716639753,57.882893853,0.8604985132,0.7515757049,-1.336402784,2.8395541934,ARTd,DonorParity,Donor Parity,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
0,-692,59.860768388,1.1181829535,56.551836912,1.0652588569,54.463961266,58.639712558,53.716639753,57.882893853,0.8611882061,0.7520701089,-1.335805537,2.8399457547,ARTd,DonorParity,Donor Parity,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
0,-691,59.861458081,1.1181327876,56.552331316,1.0652067779,54.464557743,58.640104888,53.716639753,57.882893853,0.8618778989,0.7525645129,-1.33520906,2.8403380854,ARTd,DonorParity,Donor Parity,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
0,-690,59.862147774,1.1180830012,56.55282572,1.0651550914,54.465153451,58.640497988,53.716639753,57.882893853,0.8625675918,0.7530589169,-1.334613352,2.8407311855,ARTd,DonorParity,Donor Parity,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
0,-689,59.862837467,1.1180335944,56.553320124,1.0651037976,54.46574839,58.640891858,53.716639753,57.882893853,0.8632572846,0.7535533209,-1.334018413,2.8411250551,ARTd,DonorParity,Donor Parity,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
0,-688,59.86352716,1.1179845673,56.553814528,1.0650528964,54.466342558,58.641286497,53.716639753,57.882893853,0.8639469775,0.7540477249,-1.333424244,2.8415196943,ARTd,DonorParity,Donor Parity,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
0,-687,59.864216853,1.1179359199,56.554308932,1.065002388,54.466935957,58.641681906,53.716639753,57.882893853,0.8646366703,0.7545421289,-1.332830845,2.8419151034,ARTd,DonorParity,Donor Parity,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
0,-686,59.864906545,1.1178876522,56.554803336,1.0649522724,54.467528587,58.642078085,53.716639753,57.882893853,0.8653263631,0.7550365329,-1.332238216,2.8423112822,ARTd,DonorParity,Donor Parity,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
0,-685,59.865596238,1.1178397644,56.55529774,1.0649025496,54.468120446,58.642475034,53.716639753,57.882893853,0.866016056,0.755530937,-1.331646357,2.842708231,ARTd,DonorParity,Donor Parity,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
0,-684,59.866285931,1.1177922565,56.555792144,1.0648532197,54.468711535,58.642872753,53.716639753,57.882893853,0.8667057488,0.756025341,-1.331055268,2.84310595,ARTd,DonorParity,Donor Parity,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
