DonorSex,TimeFromTransfusion,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,base_lower_full,base_upper_full,Delta_Base,Delta_Full,Delta_Lower,Delta_Upper,VitalParam,CompFactor,CompName,VitalName,YLabel,DeltaYLabel
1,-720,58.871043638,0.2702668245,55.386050987,0.2590311689,54.878359156,55.893742817,53.752690911,54.754677901,1.0709941105,1.1323665811,0.6246747509,1.6400584112,ARTd,DonorSex,Donor Sex,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
1,-719,58.871544578,0.2702150505,55.386536326,0.2589773772,54.878949926,55.894122727,53.752690911,54.754677901,1.0714950504,1.1328519207,0.6252655202,1.6404383211,ARTd,DonorSex,Donor Sex,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
1,-718,58.872045518,0.2701635936,55.387021666,0.2589239147,54.87954005,55.894503282,53.752690911,54.754677901,1.0719959902,1.1333372602,0.6258556444,1.640818876,ARTd,DonorSex,Donor Sex,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
1,-717,58.872546458,0.270112454,55.387507005,0.2588707814,54.880129529,55.894884482,53.752690911,54.754677901,1.0724969301,1.1338225998,0.6264451234,1.6412000763,ARTd,DonorSex,Donor Sex,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
1,-716,58.873047398,0.270061632,55.387992345,0.2588179776,54.880718362,55.895266328,53.752690911,54.754677901,1.0729978699,1.1343079394,0.6270339565,1.6415819223,ARTd,DonorSex,Donor Sex,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
1,-715,58.873548338,0.2700111277,55.388477684,0.2587655035,54.881306549,55.89564882,53.752690911,54.754677901,1.0734988098,1.134793279,0.6276221435,1.6419644144,ARTd,DonorSex,Donor Sex,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
1,-714,58.874049277,0.2699609413,55.388963024,0.2587133592,54.881894089,55.896031959,53.752690911,54.754677901,1.0739997496,1.1352786185,0.6282096839,1.6423475531,ARTd,DonorSex,Donor Sex,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
1,-713,58.874550217,0.2699110729,55.389448364,0.258661545,54.882480983,55.896415744,53.752690911,54.754677901,1.0745006895,1.1357639581,0.6287965774,1.6427313388,ARTd,DonorSex,Donor Sex,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
1,-712,58.875051157,0.2698615227,55.389933703,0.2586100611,54.883067229,55.896800177,53.752690911,54.754677901,1.0750016294,1.1362492977,0.6293828236,1.6431157717,ARTd,DonorSex,Donor Sex,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
1,-711,58.875552097,0.269812291,55.390419043,0.2585589077,54.883652828,55.897185258,53.752690911,54.754677901,1.0755025692,1.1367346372,0.6299684221,1.6435008524,ARTd,DonorSex,Donor Sex,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
