TimeFromTransfusion,Storage_Cat,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,base_lower_full,base_upper_full,Delta_Base,Delta_Full,Delta_Lower,Delta_Upper,VitalParam,CompFactor,CompName,VitalName,YLabel,DeltaYLabel
-720,1,58.685276942,0.2892894008,55.193397654,0.2781511359,54.648231368,55.73856394,53.911684771,54.960114512,0.7056723972,0.7574980128,0.2123317266,1.302664299,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
-719,1,58.686238511,0.2891305492,55.194452983,0.2779864583,54.649609459,55.739296507,53.911684771,54.960114512,0.7066339668,0.7585533418,0.2137098177,1.3033968659,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
-718,1,58.687200081,0.2889726179,55.195508312,0.2778227281,54.650985693,55.740030931,53.911684771,54.960114512,0.7075955365,0.7596086708,0.2150860521,1.3041312895,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
-717,1,58.688161651,0.2888156083,55.196563641,0.2776599468,54.652360068,55.740767214,53.911684771,54.960114512,0.7085571061,0.7606639998,0.2164604266,1.304867573,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
-716,1,58.68912322,0.288659522,55.19761897,0.2774981162,54.653732579,55.741505361,53.911684771,54.960114512,0.7095186758,0.7617193288,0.2178329378,1.3056057198,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
-715,1,58.69008479,0.2885043605,55.198674299,0.2773372379,54.655103224,55.742245374,53.911684771,54.960114512,0.7104802455,0.7627746578,0.2192035825,1.3063457331,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
-714,1,58.69104636,0.2883501252,55.199729628,0.2771773136,54.656471999,55.742987258,53.911684771,54.960114512,0.7114418151,0.7638299868,0.2205723574,1.3070876162,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
-713,1,58.692007929,0.2881968176,55.200784957,0.2770183449,54.657838901,55.743731014,53.911684771,54.960114512,0.7124033848,0.7648853158,0.2219392594,1.3078313723,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
-712,1,58.692969499,0.2880444393,55.201840286,0.2768603335,54.659203926,55.744476646,53.911684771,54.960114512,0.7133649544,0.7659406448,0.2233042851,1.3085770045,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
-711,1,58.693931069,0.2878929917,55.202895615,0.276703281,54.660567073,55.745224158,53.911684771,54.960114512,0.7143265241,0.7669959738,0.2246674314,1.3093245162,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
-710,1,58.694892638,0.2877424763,55.203950944,0.276547189,54.661928336,55.745973552,53.911684771,54.960114512,0.7152880938,0.7680513028,0.2260286951,1.3100739106,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
-709,1,58.695854208,0.2875928944,55.205006273,0.2763920592,54.663287714,55.746724832,53.911684771,54.960114512,0.7162496634,0.7691066318,0.2273880729,1.3108251907,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
-708,1,58.696815778,0.2874442477,55.206061602,0.2762378932,54.664645203,55.747478001,53.911684771,54.960114512,0.7172112331,0.7701619608,0.2287455618,1.3115783599,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
-707,1,58.697777347,0.2872965376,55.207116931,0.2760846927,54.6660008,55.748233063,53.911684771,54.960114512,0.7181728027,0.7712172898,0.2301011584,1.3123334212,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
-706,1,58.698738917,0.2871497654,55.20817226,0.2759324591,54.667354501,55.748990019,53.911684771,54.960114512,0.7191343724,0.7722726188,0.2314548598,1.3130903779,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
-705,1,58.699700487,0.2870039326,55.209227589,0.2757811941,54.668706304,55.749748874,53.911684771,54.960114512,0.7200959421,0.7733279479,0.2328066627,1.313849233,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
-704,1,58.700662056,0.2868590407,55.210282918,0.2756308994,54.670056205,55.750509631,53.911684771,54.960114512,0.7210575117,0.7743832769,0.234156564,1.3146099897,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
-703,1,58.701623626,0.2867150911,55.211338247,0.2754815765,54.671404202,55.751272292,53.911684771,54.960114512,0.7220190814,0.7754386059,0.2355045606,1.3153726511,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
-702,1,58.702585196,0.2865720852,55.212393576,0.2753332269,54.672750291,55.752036862,53.911684771,54.960114512,0.7229806511,0.7764939349,0.2368506495,1.3161372203,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
-701,1,58.703546765,0.2864300244,55.213448905,0.2751858523,54.674094469,55.752803342,53.911684771,54.960114512,0.7239422207,0.7775492639,0.2381948274,1.3169037003,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
-700,1,58.704508335,0.2862889102,55.214504234,0.2750394542,54.675436733,55.753571736,53.911684771,54.960114512,0.7249037904,0.7786045929,0.2395370914,1.3176720943,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
-699,1,58.705469905,0.2861487438,55.215559563,0.2748940343,54.67677708,55.754342047,53.911684771,54.960114512,0.72586536,0.7796599219,0.2408774384,1.3184424054,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
-698,1,58.706431474,0.2860095268,55.216614892,0.2747495939,54.678115507,55.755114278,53.911684771,54.960114512,0.7268269297,0.7807152509,0.2422158653,1.3192146364,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
-697,1,58.707393044,0.2858712605,55.217670221,0.2746061347,54.67945201,55.755888432,53.911684771,54.960114512,0.7277884994,0.7817705799,0.2435523692,1.3199887906,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
-696,1,58.708354614,0.2857339463,55.21872555,0.2744636583,54.680786588,55.756664512,53.911684771,54.960114512,0.728750069,0.7828259089,0.2448869469,1.3207648709,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
-695,1,58.709316183,0.2855975856,55.219780879,0.2743221661,54.682119237,55.757442522,53.911684771,54.960114512,0.7297116387,0.7838812379,0.2462195956,1.3215428802,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
-694,1,58.710277753,0.2854621797,55.220836208,0.2741816597,54.683449953,55.758222463,53.911684771,54.960114512,0.7306732083,0.7849365669,0.2475503122,1.3223228217,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
-693,1,58.711239323,0.2853277299,55.221891537,0.2740421405,54.684778735,55.759004339,53.911684771,54.960114512,0.731634778,0.7859918959,0.2488790937,1.3231046981,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
-692,1,58.712200892,0.2851942378,55.222946866,0.2739036102,54.686105578,55.759788154,53.911684771,54.960114512,0.7325963477,0.7870472249,0.2502059372,1.3238885127,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
-691,1,58.713162462,0.2850617044,55.224002195,0.2737660702,54.687430481,55.760573909,53.911684771,54.960114512,0.7335579173,0.7881025539,0.2515308397,1.3246742681,ARTd,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
