TimeFromTransfusion,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,Delta_Base,Delta_Full,Delta_Lower,Delta_Upper,VitalParam,CompFactor,CompName,VitalName,YLabel,DeltaYLabel,Transfusion
-720,59.71855475,1.1176501365,55.794039332,1.0491326481,53.737770576,57.850308089,0.9541747505,0.9417793321,-1.114489424,2.9980480886,ARTd,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg),1
-719,59.719407886,1.1176047466,55.794761645,1.0490846649,53.738586935,57.850936356,0.9550278861,0.9425016455,-1.113673065,2.9986763563,ARTd,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg),1
-718,59.720261022,1.1175596381,55.795483959,1.0490369769,53.739402715,57.851565203,0.9558810218,0.9432239588,-1.112857285,2.9993052026,ARTd,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg),1
-717,59.721114157,1.1175148112,55.796206272,1.0489895841,53.740217917,57.852194628,0.9567341574,0.9439462722,-1.112042083,2.9999346275,ARTd,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg),1
-716,59.721967293,1.1174702658,55.796928586,1.0489424866,53.74103254,57.852824631,0.9575872931,0.9446685855,-1.11122746,3.0005646311,ARTd,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg),1
-715,59.722820429,1.117426002,55.797650899,1.0488956844,53.741846584,57.853455214,0.9584404288,0.9453908989,-1.110413416,3.0011952136,ARTd,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg),1
-714,59.723673564,1.1173820198,55.798373212,1.0488491776,53.74266005,57.854086375,0.9592935644,0.9461132122,-1.10959995,3.0018263749,ARTd,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg),1
-713,59.7245267,1.1173383193,55.799095526,1.0488029661,53.743472936,57.854718115,0.9601467001,0.9468355256,-1.108787064,3.0024581151,ARTd,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg),1
-712,59.725379836,1.1172949004,55.799817839,1.04875705,53.744285243,57.855350434,0.9609998358,0.9475578389,-1.107974757,3.0030904344,ARTd,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg),1
-711,59.726232971,1.1172517633,55.800540152,1.0487114295,53.745096972,57.855983333,0.9618529714,0.9482801523,-1.107163028,3.0037233328,ARTd,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg),1
-710,59.727086107,1.1172089079,55.801262466,1.0486661044,53.745908121,57.85661681,0.9627061071,0.9490024656,-1.106351879,3.0043568103,ARTd,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg),1
-709,59.727939243,1.1171663343,55.801984779,1.0486210749,53.746718691,57.857250867,0.9635592427,0.949724779,-1.105541309,3.0049908671,ARTd,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg),1
-708,59.728792378,1.1171240425,55.802707092,1.0485763409,53.747528681,57.857885503,0.9644123784,0.9504470923,-1.104731319,3.0056255033,ARTd,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg),1
-707,59.729645514,1.1170820326,55.803429406,1.0485319026,53.748338092,57.858520719,0.9652655141,0.9511694057,-1.103921908,3.0062607188,ARTd,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg),1
-706,59.73049865,1.1170403045,55.804151719,1.0484877599,53.749146924,57.859156514,0.9661186497,0.951891719,-1.103113076,3.0068965138,ARTd,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg),1
