wdy_donation,TimeFromTransfusion,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,base_lower_full,base_upper_full,Delta_Base,Delta_Full,Delta_Lower,Delta_Upper,VitalParam,CompFactor,CompName,VitalName,YLabel,DeltaYLabel
2,-720,58.992204476,1.1367245648,55.986327772,1.0842048025,53.861318636,58.111336907,,,,,,,ARTd,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
2,-719,58.994589243,1.1365185732,55.989472855,1.0839909933,53.864882779,58.114062931,,,,,,,ARTd,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
2,-718,58.996974011,1.1363138364,55.992617939,1.0837784787,53.868444386,58.116791493,,,,,,,ARTd,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
2,-717,58.999358778,1.1361103552,55.995763023,1.0835672592,53.872003453,58.119522593,,,,,,,ARTd,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
2,-716,59.001743545,1.1359081302,55.998908107,1.0833573358,53.875559981,58.122256233,,,,,,,ARTd,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
2,-715,59.004128313,1.1357071621,56.00205319,1.083148709,53.879113966,58.124992414,,,,,,,ARTd,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
2,-714,59.00651308,1.1355074515,56.005198274,1.0829413798,53.882665409,58.127731139,,,,,,,ARTd,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
2,-713,59.008897848,1.1353089992,56.008343358,1.0827353488,53.886214307,58.130472408,,,,,,,ARTd,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
2,-712,59.011282615,1.1351118057,56.011488441,1.0825306168,53.88976066,58.133216223,,,,,,,ARTd,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
2,-711,59.013667383,1.1349158718,56.014633525,1.0823271845,53.893304465,58.135962585,,,,,,,ARTd,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
2,-710,59.01605215,1.1347211981,56.017778609,1.0821250527,53.896845721,58.138711497,,,,,,,ARTd,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
2,-709,59.018436917,1.1345277852,56.020923692,1.081924222,53.900384427,58.141462958,,,,,,,ARTd,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
