DonorParity,TimeFromTransfusion,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,base_lower_full,base_upper_full,Delta_Base,Delta_Full,Delta_Lower,Delta_Upper,VitalParam,CompFactor,CompName,VitalName,YLabel,DeltaYLabel
0,-720,80.252556217,1.3978333862,75.723921354,1.2843817194,73.20657144,78.241271267,,,,,,,ARTm,DonorParity,Donor Parity,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
0,-719,80.255178175,1.3977524504,75.726327841,1.2842947183,73.209148447,78.243507236,,,,,,,ARTm,DonorParity,Donor Parity,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
0,-718,80.257800133,1.3976720178,75.728734329,1.2842082557,73.211724399,78.245744259,,,,,,,ARTm,DonorParity,Donor Parity,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
0,-717,80.26042209,1.3975920884,75.731140816,1.2841223317,73.214299295,78.247982338,,,,,,,ARTm,DonorParity,Donor Parity,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
0,-716,80.263044048,1.3975126623,75.733547304,1.2840369464,73.216873135,78.250221473,,,,,,,ARTm,DonorParity,Donor Parity,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
0,-715,80.265666006,1.3974337397,75.735953792,1.2839521,73.219445919,78.252461664,,,,,,,ARTm,DonorParity,Donor Parity,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
0,-714,80.268287964,1.3973553205,75.738360279,1.2838677924,73.222017647,78.254702911,,,,,,,ARTm,DonorParity,Donor Parity,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
0,-713,80.270909922,1.3972774049,75.740766767,1.2837840239,73.224588318,78.256945215,,,,,,,ARTm,DonorParity,Donor Parity,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
0,-712,80.27353188,1.3971999929,75.743173254,1.2837007946,73.227157933,78.259188576,,,,,,,ARTm,DonorParity,Donor Parity,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
0,-711,80.276153838,1.3971230847,75.745579742,1.2836181044,73.229726491,78.261432993,,,,,,,ARTm,DonorParity,Donor Parity,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
