DonorSex,TimeFromTransfusion,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,base_lower_full,base_upper_full,Delta_Base,Delta_Full,Delta_Lower,Delta_Upper,VitalParam,CompFactor,CompName,VitalName,YLabel,DeltaYLabel
1,-720,80.966206642,1.4001077537,76.466579342,1.282204058,73.953497565,78.979661118,72.218302936,77.211529272,1.832047196,1.7516632373,-0.761418539,4.2647450138,ARTm,DonorSex,Donor Sex,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-719,80.967126432,1.3999921255,76.46706895,1.2820792339,73.954231826,78.979906075,72.218302936,77.211529272,1.832966986,1.7521528462,-0.760684279,4.2649899712,ARTm,DonorSex,Donor Sex,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-718,80.968046222,1.3998772052,76.467558559,1.2819551697,73.954964596,78.980152522,72.218302936,77.211529272,1.833886776,1.7526424552,-0.759951508,4.2652364181,ARTm,DonorSex,Donor Sex,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-717,80.968966012,1.3997629932,76.468048168,1.2818318658,73.955695877,78.980400459,72.218302936,77.211529272,1.834806566,1.7531320641,-0.759220227,4.2654843551,ARTm,DonorSex,Donor Sex,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-716,80.969885802,1.3996494896,76.468537777,1.2817093223,73.956425668,78.980649887,72.218302936,77.211529272,1.835726356,1.7536216731,-0.758490436,4.2657337824,ARTm,DonorSex,Donor Sex,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-715,80.970805592,1.3995366946,76.469027386,1.2815875394,73.957153968,78.980900805,72.218302936,77.211529272,1.8366461459,1.7541112821,-0.757762136,4.2659847005,ARTm,DonorSex,Donor Sex,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-714,80.971725382,1.3994246083,76.469516995,1.2814665174,73.957880776,78.981153214,72.218302936,77.211529272,1.8375659359,1.754600891,-0.757035328,4.26623711,ARTm,DonorSex,Donor Sex,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-713,80.972645172,1.3993132309,76.470006604,1.2813462564,73.958606093,78.981407115,72.218302936,77.211529272,1.8384857259,1.7550905,-0.756310011,4.266491011,ARTm,DonorSex,Donor Sex,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-712,80.973564962,1.3992025625,76.470496213,1.2812267568,73.959329918,78.981662508,72.218302936,77.211529272,1.8394055159,1.755580109,-0.755586186,4.2667464042,ARTm,DonorSex,Donor Sex,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-711,80.974484752,1.3990926034,76.470985822,1.2811080186,73.96005225,78.981919394,72.218302936,77.211529272,1.8403253059,1.7560697179,-0.754863854,4.2670032899,ARTm,DonorSex,Donor Sex,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-710,80.975404542,1.3989833538,76.471475431,1.2809900422,73.960773089,78.982177773,72.218302936,77.211529272,1.8412450959,1.7565593269,-0.754143015,4.2672616685,ARTm,DonorSex,Donor Sex,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-709,80.976324332,1.3988748137,76.47196504,1.2808728276,73.961492435,78.982437645,72.218302936,77.211529272,1.8421648858,1.7570489358,-0.753423669,4.2675215405,ARTm,DonorSex,Donor Sex,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-708,80.977244122,1.3987669833,76.472454649,1.2807563752,73.962210288,78.98269901,72.218302936,77.211529272,1.8430846758,1.7575385448,-0.752705817,4.2677829062,ARTm,DonorSex,Donor Sex,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-707,80.978163912,1.3986598629,76.472944258,1.2806406852,73.962926646,78.98296187,72.218302936,77.211529272,1.8440044658,1.7580281538,-0.751989459,4.2680457661,ARTm,DonorSex,Donor Sex,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-706,80.979083702,1.3985534525,76.473433867,1.2805257576,73.963641509,78.983226225,72.218302936,77.211529272,1.8449242558,1.7585177627,-0.751274595,4.2683101205,ARTm,DonorSex,Donor Sex,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-705,80.980003492,1.3984477524,76.473923476,1.2804115929,73.964354878,78.983492074,72.218302936,77.211529272,1.8458440458,1.7590073717,-0.750561227,4.2685759699,ARTm,DonorSex,Donor Sex,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-704,80.980923282,1.3983427627,76.474413085,1.280298191,73.965066751,78.983759419,72.218302936,77.211529272,1.8467638357,1.7594969806,-0.749849353,4.2688433147,ARTm,DonorSex,Donor Sex,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-703,80.981843072,1.3982384835,76.474902694,1.2801855524,73.965777128,78.98402826,72.218302936,77.211529272,1.8476836257,1.7599865896,-0.749138976,4.2691121553,ARTm,DonorSex,Donor Sex,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-702,80.982762862,1.398134915,76.475392303,1.2800736771,73.966486009,78.984298596,72.218302936,77.211529272,1.8486034157,1.7604761986,-0.748430095,4.2693824919,ARTm,DonorSex,Donor Sex,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-701,80.983682652,1.3980320574,76.475881912,1.2799625653,73.967193394,78.984570429,72.218302936,77.211529272,1.8495232057,1.7609658075,-0.74772271,4.2696543252,ARTm,DonorSex,Donor Sex,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-700,80.984602442,1.3979299109,76.476371521,1.2798522173,73.967899282,78.98484376,72.218302936,77.211529272,1.8504429957,1.7614554165,-0.747016822,4.2699276554,ARTm,DonorSex,Donor Sex,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-699,80.985522232,1.3978284755,76.47686113,1.2797426333,73.968603672,78.985118587,72.218302936,77.211529272,1.8513627857,1.7619450255,-0.746312432,4.2702024829,ARTm,DonorSex,Donor Sex,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-698,80.986442022,1.3977277514,76.477350739,1.2796338134,73.969306565,78.985394912,72.218302936,77.211529272,1.8522825756,1.7624346344,-0.745609539,4.2704788081,ARTm,DonorSex,Donor Sex,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-697,80.987361812,1.3976277389,76.477840348,1.2795257579,73.97000796,78.985672736,72.218302936,77.211529272,1.8532023656,1.7629242434,-0.744908145,4.2707566314,ARTm,DonorSex,Donor Sex,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
