TimeFromTransfusion,Storage_Cat,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,base_lower_full,base_upper_full,Delta_Base,Delta_Full,Delta_Lower,Delta_Upper,VitalParam,CompFactor,CompName,VitalName,YLabel,DeltaYLabel
-720,1,80.120136288,0.3501579076,75.342955961,0.325126895,74.705718866,75.980193056,74.217975876,75.449837376,0.4275543881,0.5090493351,-0.12818776,1.1462864301,ARTm,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
-719,1,80.122364964,0.3500015131,75.345320849,0.3249592706,74.708412292,75.982229407,74.217975876,75.449837376,0.4297830634,0.5114142235,-0.125494334,1.1483227806,ARTm,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
-718,1,80.124593639,0.3498460402,75.347685738,0.3247926229,74.711103804,75.984267671,74.217975876,75.449837376,0.4320117386,0.5137791119,-0.122802822,1.1503610455,ARTm,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
-717,1,80.126822314,0.3496914901,75.350050626,0.3246269534,74.713793399,75.986307853,74.217975876,75.449837376,0.4342404139,0.5161440003,-0.120113227,1.1524012276,ARTm,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
-716,1,80.129050989,0.3495378642,75.352415515,0.3244622636,74.716481074,75.988349956,74.217975876,75.449837376,0.4364690891,0.5185088887,-0.117425552,1.1544433298,ARTm,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
-715,1,80.131279665,0.3493851636,75.354780403,0.3242985549,74.719166825,75.990393981,74.217975876,75.449837376,0.4386977644,0.5208737772,-0.114739801,1.1564873552,ARTm,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
-714,1,80.13350834,0.3492333895,75.357145291,0.324135829,74.72185065,75.992439932,74.217975876,75.449837376,0.4409264396,0.5232386656,-0.112055975,1.1585333066,ARTm,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
-713,1,80.135737015,0.3490825431,75.35951018,0.3239740872,74.724532547,75.994487813,74.217975876,75.449837376,0.4431551149,0.525603554,-0.109374079,1.1605811869,ARTm,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
-712,1,80.13796569,0.3489326258,75.361875068,0.323813331,74.727212512,75.996537625,74.217975876,75.449837376,0.4453837902,0.5279684424,-0.106694114,1.162630999,ARTm,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
-711,1,80.140194366,0.3487836385,75.364239957,0.323653562,74.729890542,75.998589372,74.217975876,75.449837376,0.4476124654,0.5303333308,-0.104016084,1.1646827457,ARTm,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
-710,1,80.142423041,0.3486355826,75.366604845,0.3234947815,74.732566634,76.000643056,74.217975876,75.449837376,0.4498411407,0.5326982192,-0.101339992,1.1667364301,ARTm,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
-709,1,80.144651716,0.3484884592,75.368969734,0.323336991,74.735240786,76.002698681,74.217975876,75.449837376,0.4520698159,0.5350631077,-0.098665839,1.1687920548,ARTm,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
-708,1,80.146880391,0.3483422695,75.371334622,0.323180192,74.737912995,76.004756249,74.217975876,75.449837376,0.4542984912,0.5374279961,-0.095993631,1.1708496228,ARTm,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
-707,1,80.149109067,0.3481970147,75.37369951,0.3230243859,74.740583258,76.006815763,74.217975876,75.449837376,0.4565271664,0.5397928845,-0.093323368,1.1729091368,ARTm,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
-706,1,80.151337742,0.348052696,75.376064399,0.3228695742,74.743251572,76.008877226,74.217975876,75.449837376,0.4587558417,0.5421577729,-0.090655054,1.1749705998,ARTm,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
-705,1,80.153566417,0.3479093144,75.378429287,0.3227157582,74.745917934,76.01094064,74.217975876,75.449837376,0.460984517,0.5445226613,-0.087988692,1.1770340144,ARTm,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
-704,1,80.155795092,0.3477668713,75.380794176,0.3225629395,74.748582342,76.013006009,74.217975876,75.449837376,0.4632131922,0.5468875497,-0.085324284,1.1790993836,ARTm,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
-703,1,80.158023768,0.3476253676,75.383159064,0.3224111194,74.751244792,76.015073336,74.217975876,75.449837376,0.4654418675,0.5492524382,-0.082661834,1.18116671,ARTm,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
-702,1,80.160252443,0.3474848047,75.385523952,0.3222602993,74.753905283,76.017142622,74.217975876,75.449837376,0.4676705427,0.5516173266,-0.080001343,1.1832359964,ARTm,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
