TimeFromTransfusion,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,Delta_Base,Delta_Full,Delta_Lower,Delta_Upper,VitalParam,CompFactor,CompName,VitalName,YLabel,DeltaYLabel,Transfusion
-720,80.400899165,0.3281704372,75.602468399,0.302721982,75.009144138,76.195792661,0.8587491647,0.9568883993,0.3635641378,1.5502126607,ARTm,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg),1
-719,80.402099945,0.3281431258,75.60366165,0.3026925734,75.010395028,76.196928272,0.8599499455,0.9580816501,0.3648150284,1.5513482718,ARTm,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg),1
-718,80.403300726,0.328115985,75.604854901,0.3026633485,75.011645559,76.198064243,0.8611507263,0.9592749009,0.3660655589,1.5524842429,ARTm,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg),1
-717,80.404501507,0.3280890148,75.606048152,0.3026343074,75.012895729,76.199200574,0.8623515071,0.9604681518,0.3673157294,1.5536205741,ARTm,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg),1
-716,80.405702288,0.3280622153,75.607241403,0.30260545,75.01414554,76.200337266,0.8635522878,0.9616614026,0.3685655396,1.5547572656,ARTm,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg),1
-715,80.406903069,0.3280355865,75.608434653,0.3025767765,75.01539499,76.201474317,0.8647530686,0.9628546534,0.3698149895,1.5558943173,ARTm,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg),1
-714,80.408103849,0.3280091285,75.609627904,0.3025482869,75.016644079,76.20261173,0.8659538494,0.9640479043,0.371064079,1.5570317295,ARTm,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg),1
-713,80.40930463,0.3279828413,75.610821155,0.3025199812,75.017892808,76.203749502,0.8671546302,0.9652411551,0.372312808,1.5581695022,ARTm,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg),1
-712,80.410505411,0.327956725,75.612014406,0.3024918595,75.019141176,76.204887636,0.868355411,0.9664344059,0.3735611763,1.5593076355,ARTm,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg),1
-711,80.411706192,0.3279307795,75.613207657,0.3024639218,75.020389184,76.20602613,0.8695561918,0.9676276568,0.3748091839,1.5604461296,ARTm,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg),1
