wdy_donation,TimeFromTransfusion,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,base_lower_full,base_upper_full,Delta_Base,Delta_Full,Delta_Lower,Delta_Upper,VitalParam,CompFactor,CompName,VitalName,YLabel,DeltaYLabel
2,-720,79.223579168,1.4187566152,75.074992621,1.3057864238,72.515690123,77.634295118,72.823362521,77.863802453,-0.170474026,-0.268589866,-2.827892364,2.2907126316,ARTm,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
2,-719,79.227356222,1.4184820922,75.079992092,1.3054913176,72.521267994,77.63871619,72.823362521,77.863802453,-0.166696972,-0.263590395,-2.822314493,2.2951337034,ARTm,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
2,-718,79.231133276,1.4182092386,75.084991563,1.3051979901,72.526842378,77.643140748,72.823362521,77.863802453,-0.162919918,-0.258590923,-2.816740108,2.2995582615,ARTm,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
2,-717,79.23491033,1.4179380552,75.089991035,1.3049064424,72.532413274,77.647568795,72.823362521,77.863802453,-0.159142864,-0.253591452,-2.811169212,2.3039863082,ARTm,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
2,-716,79.238687384,1.417668543,75.094990506,1.3046166759,72.537980679,77.652000333,72.823362521,77.863802453,-0.15536581,-0.248591981,-2.805601807,2.3084178458,ARTm,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
2,-715,79.242464438,1.417400703,75.099989977,1.3043286917,72.543544591,77.656435363,72.823362521,77.863802453,-0.151588756,-0.243592509,-2.800037896,2.3128528767,ARTm,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
2,-714,79.246241492,1.4171345361,75.104989449,1.304042491,72.549105007,77.66087389,72.823362521,77.863802453,-0.147811702,-0.238593038,-2.794477479,2.3172914031,ARTm,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
2,-713,79.250018546,1.4168700432,75.10998892,1.303758075,72.554661926,77.665315914,72.823362521,77.863802453,-0.144034648,-0.233593567,-2.788920561,2.3217334274,ARTm,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
2,-712,79.2537956,1.4166072254,75.114988391,1.3034754447,72.560215344,77.669761439,72.823362521,77.863802453,-0.140257594,-0.228594096,-2.783367143,2.3261789518,ARTm,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
2,-711,79.257572654,1.4163460835,75.119987863,1.3031946014,72.56576526,77.674210465,72.823362521,77.863802453,-0.13648054,-0.223594624,-2.777817227,2.3306279787,ARTm,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
2,-710,79.261349708,1.4160866184,75.124987334,1.3029155463,72.571311671,77.678662997,72.823362521,77.863802453,-0.132703486,-0.218595153,-2.772270816,2.3350805103,ARTm,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
2,-709,79.265126762,1.4158288311,75.129986805,1.3026382805,72.576854575,77.683119036,72.823362521,77.863802453,-0.128926432,-0.213595682,-2.766727912,2.3395365489,ARTm,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
2,-708,79.268903816,1.4155727226,75.134986276,1.3023628051,72.58239397,77.687578583,72.823362521,77.863802453,-0.125149378,-0.20859621,-2.761188517,2.3439960966,ARTm,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
2,-707,79.27268087,1.4153182936,75.139985748,1.3020891213,72.587929853,77.692041642,72.823362521,77.863802453,-0.121372325,-0.203596739,-2.755652634,2.3484591558,ARTm,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
2,-706,79.276457924,1.4150655451,75.144985219,1.3018172301,72.593462223,77.696508215,72.823362521,77.863802453,-0.117595271,-0.198597268,-2.750120264,2.3529257286,ARTm,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
