TimeFromTransfusion,DonorHb_Cat,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,base_lower_full,base_upper_full,Delta_Base,Delta_Full,Delta_Lower,Delta_Upper,VitalParam,CompFactor,CompName,VitalName,YLabel,DeltaYLabel
-720,1,128.36143957,2.6081984079,123.49036712,2.4857947473,118.61828322,128.36245101,121.05047345,130.47840355,-1.896874998,-2.274071383,-7.146155277,2.5980125116,ARTs,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
-719,1,128.34958505,2.6070651956,123.47989526,2.4846249884,118.61010406,128.34968646,121.05047345,130.47840355,-1.90872951,-2.284543243,-7.154334444,2.5852479585,ARTs,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
-718,1,128.33773054,2.6059385451,123.4694234,2.4834619551,118.60191171,128.33693509,121.05047345,130.47840355,-1.920584023,-2.295015103,-7.162526794,2.5724965874,ARTs,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
-717,1,128.32587603,2.6048184651,123.45895154,2.4823056569,118.59370616,128.32419692,121.05047345,130.47840355,-1.932438535,-2.305486964,-7.170732344,2.5597584168,ARTs,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
-716,1,128.31402152,2.6037049639,123.44847968,2.4811561031,118.58548739,128.31147197,121.05047345,130.47840355,-1.944293048,-2.315958824,-7.178951113,2.5470334653,ARTs,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
-715,1,128.302167,2.6025980501,123.43800782,2.4800133033,118.57725538,128.29876025,121.05047345,130.47840355,-1.956147561,-2.326430684,-7.18718312,2.5343217511,ARTs,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
-714,1,128.29031249,2.601497732,123.42753596,2.4788772666,118.56901012,128.28606179,121.05047345,130.47840355,-1.968002073,-2.336902545,-7.195428382,2.5216232927,ARTs,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
-713,1,128.27845798,2.600404018,123.4170641,2.4777480025,118.56075158,128.27337661,121.05047345,130.47840355,-1.979856586,-2.347374405,-7.203686918,2.5089381081,ARTs,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
-712,1,128.26660347,2.5993169165,123.40659224,2.4766255202,118.55247975,128.26070472,121.05047345,130.47840355,-1.991711098,-2.357846265,-7.211958747,2.4962662157,ARTs,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
-711,1,128.25474895,2.5982364357,123.39612038,2.4755098288,118.54419462,128.24804613,121.05047345,130.47840355,-2.003565611,-2.368318126,-7.220243885,2.4836076334,ARTs,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
-710,1,128.24289444,2.5971625839,123.38564851,2.4744009377,118.53589615,128.23540088,121.05047345,130.47840355,-2.015420124,-2.378789986,-7.228542352,2.4709623793,ARTs,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
-709,1,128.23103993,2.5960953694,123.37517665,2.4732988558,118.52758434,128.22276897,121.05047345,130.47840355,-2.027274636,-2.389261847,-7.236854164,2.4583304713,ARTs,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
-708,1,128.21918542,2.5950348003,123.36470479,2.4722035925,118.51925916,128.21015043,121.05047345,130.47840355,-2.039129149,-2.399733707,-7.245179341,2.4457119272,ARTs,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
-707,1,128.2073309,2.5939808847,123.35423293,2.4711151566,118.5109206,128.19754527,121.05047345,130.47840355,-2.050983661,-2.410205567,-7.2535179,2.4331067649,ARTs,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
-706,1,128.19547639,2.5929336309,123.34376107,2.4700335573,118.50256864,128.1849535,121.05047345,130.47840355,-2.062838174,-2.420677428,-7.261869857,2.4205150019,ARTs,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
-705,1,128.18362188,2.5918930468,123.33328921,2.4689588035,118.49420327,128.17237516,121.05047345,130.47840355,-2.074692686,-2.431149288,-7.270235232,2.407936656,ARTs,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
-704,1,128.17176737,2.5908591406,123.32281735,2.4678909041,118.48582446,128.15981025,121.05047345,130.47840355,-2.086547199,-2.441621148,-7.278614042,2.3953717446,ARTs,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
-703,1,128.15991285,2.5898319201,123.31234549,2.4668298682,118.4774322,128.14725879,121.05047345,130.47840355,-2.098401712,-2.452093009,-7.287006303,2.3828202853,ARTs,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
-702,1,128.14805834,2.5888113934,123.30187363,2.4657757044,118.46902647,128.1347208,121.05047345,130.47840355,-2.110256224,-2.462564869,-7.295412034,2.3702822952,ARTs,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
-701,1,128.13620383,2.5877975684,123.29140177,2.4647284217,118.46060725,128.12219629,121.05047345,130.47840355,-2.122110737,-2.47303673,-7.303831251,2.3577577919,ARTs,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
-700,1,128.12434931,2.5867904529,123.28092991,2.4636880288,118.45217453,128.10968529,121.05047345,130.47840355,-2.133965249,-2.48350859,-7.312263972,2.3452467923,ARTs,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
-699,1,128.1124948,2.5857900548,123.27045805,2.4626545345,118.44372829,128.09718781,121.05047345,130.47840355,-2.145819762,-2.49398045,-7.320710214,2.3327493138,ARTs,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
-698,1,128.10064029,2.584796382,123.25998619,2.4616279474,118.43526851,128.08470387,121.05047345,130.47840355,-2.157674275,-2.504452311,-7.329169995,2.3202653732,ARTs,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
-697,1,128.08878578,2.583809442,123.24951433,2.4606082762,118.42679517,128.07223349,121.05047345,130.47840355,-2.169528787,-2.514924171,-7.33764333,2.3077949875,ARTs,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
-696,1,128.07693126,2.5828292428,123.23904247,2.4595955295,118.41830826,128.05977667,121.05047345,130.47840355,-2.1813833,-2.525396031,-7.346130236,2.2953381736,ARTs,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
-695,1,128.06507675,2.5818557919,123.22857061,2.4585897158,118.40980777,128.04733345,121.05047345,130.47840355,-2.193237812,-2.535867892,-7.354630732,2.2828949483,ARTs,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
-694,1,128.05322224,2.580889097,123.21809875,2.4575908437,118.40129367,128.03490383,121.05047345,130.47840355,-2.205092325,-2.546339752,-7.363144833,2.2704653283,ARTs,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
-693,1,128.04136773,2.5799291657,123.20762689,2.4565989216,118.39276595,128.02248783,121.05047345,130.47840355,-2.216946837,-2.556811613,-7.371672555,2.25804933,ARTs,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
-692,1,128.02951321,2.5789760055,123.19715503,2.4556139579,118.38422459,128.01008547,121.05047345,130.47840355,-2.22880135,-2.567283473,-7.380213916,2.2456469701,ARTs,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
-691,1,128.0176587,2.5780296239,123.18668317,2.4546359611,118.37566957,127.99769677,121.05047345,130.47840355,-2.240655863,-2.577755333,-7.388768932,2.233258265,ARTs,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
-690,1,128.00580419,2.5770900285,123.17621131,2.4536649394,118.36710088,127.98532173,121.05047345,130.47840355,-2.252510375,-2.588227194,-7.397337618,2.220883231,ARTs,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
-689,1,127.99394968,2.5761572266,123.16573945,2.4527009012,118.35851851,127.97296039,121.05047345,130.47840355,-2.264364888,-2.598699054,-7.405919992,2.2085218843,ARTs,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
-688,1,127.98209516,2.5752312256,123.15526759,2.4517438546,118.34992243,127.96061274,121.05047345,130.47840355,-2.2762194,-2.609170914,-7.41451607,2.1961742411,ARTs,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
-687,1,127.97024065,2.5743120329,123.14479573,2.4507938079,118.34131263,127.94827882,121.05047345,130.47840355,-2.288073913,-2.619642775,-7.423125867,2.1838403174,ARTs,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
-686,1,127.95838614,2.5733996558,123.13432387,2.4498507692,118.3326891,127.93595863,121.05047345,130.47840355,-2.299928426,-2.630114635,-7.431749399,2.1715201292,ARTs,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
-685,1,127.94653163,2.5724941014,123.12385201,2.4489147467,118.32405182,127.92365219,121.05047345,130.47840355,-2.311782938,-2.640586495,-7.440386683,2.1592136924,ARTs,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
-684,1,127.93467711,2.5715953771,123.11338015,2.4479857482,118.31540077,127.91135952,121.05047345,130.47840355,-2.323637451,-2.651058356,-7.449037734,2.1469210227,ARTs,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
-683,1,127.9228226,2.5707034899,123.10290828,2.447063782,118.30673593,127.89908064,121.05047345,130.47840355,-2.335491963,-2.661530216,-7.457702568,2.1346421358,ARTs,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
-682,1,127.91096809,2.5698184471,123.09243642,2.4461488558,118.2980573,127.88681555,121.05047345,130.47840355,-2.347346476,-2.672002077,-7.466381201,2.1223770473,ARTs,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
-681,1,127.89911358,2.5689402556,123.08196456,2.4452409776,118.28936485,127.87456427,121.05047345,130.47840355,-2.359200988,-2.682473937,-7.475073647,2.1101257727,ARTs,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
-680,1,127.88725906,2.5680689225,123.0714927,2.4443401554,118.28065858,127.86232683,121.05047345,130.47840355,-2.371055501,-2.692945797,-7.483779922,2.0978883274,ARTs,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
