TimeFromTransfusion,Storage_Cat,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,base_lower_full,base_upper_full,Delta_Base,Delta_Full,Delta_Lower,Delta_Upper,VitalParam,CompFactor,CompName,VitalName,YLabel,DeltaYLabel
-720,1,125.83947505,2.5265453564,121.11660737,2.4076191049,116.39774518,125.83546955,116.19997499,125.56205897,0.1941127293,0.2355903879,-4.483271801,4.9544525765,ARTs,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
-719,1,125.84725489,2.5262635203,121.12477401,2.4073286877,116.40648103,125.84306699,116.19997499,125.56205897,0.2018925744,0.2437570301,-4.474535949,4.9620500095,ARTs,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
-718,1,125.85503474,2.5259833925,121.13294065,2.40704003,116.41521343,125.85066787,116.19997499,125.56205897,0.2096724196,0.2519236722,-4.465803547,4.9696508912,ARTs,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
-717,1,125.86281458,2.5257049735,121.14110729,2.4067531324,116.42394238,125.8582722,116.19997499,125.56205897,0.2174522647,0.2600903144,-4.457074594,4.9772552226,ARTs,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
-716,1,125.87059443,2.5254282638,121.14927393,2.4064679957,116.43266789,125.86587998,116.19997499,125.56205897,0.2252321098,0.2682569566,-4.448349092,4.9848630051,ARTs,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
-715,1,125.87837427,2.525153264,121.15744058,2.4061846203,116.44138994,125.87349122,116.19997499,125.56205897,0.233011955,0.2764235987,-4.439627043,4.9924742399,ARTs,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
-714,1,125.88615412,2.5248799747,121.16560722,2.4059030069,116.45010853,125.88110591,116.19997499,125.56205897,0.2407918001,0.2845902409,-4.430908447,5.0000889282,ARTs,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
-713,1,125.89393396,2.5246083964,121.17377386,2.4056231562,116.45882367,125.88872405,116.19997499,125.56205897,0.2485716452,0.292756883,-4.422193305,5.0077070713,ARTs,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
-712,1,125.90171381,2.5243385296,121.1819405,2.4053450688,116.46753536,125.89634565,116.19997499,125.56205897,0.2563514904,0.3009235252,-4.41348162,5.0153286702,ARTs,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
-711,1,125.90949365,2.524070375,121.19010714,2.4050687452,116.47624359,125.9039707,116.19997499,125.56205897,0.2641313355,0.3090901673,-4.404773392,5.0229537263,ARTs,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
