TimeFromTransfusion,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,Delta_Base,Delta_Full,Delta_Lower,Delta_Upper,VitalParam,CompFactor,CompName,VitalName,YLabel,DeltaYLabel,Transfusion
-720,130.41455528,0.5286093203,124.22315837,0.4932931152,123.2563215,125.18999524,0.8916552789,1.0462583684,0.0794214987,2.0130952381,ARTs,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg),1
-719,130.41676052,0.5285911542,124.22531703,0.493273828,123.25851797,125.1921161,0.893860517,1.0484170347,0.0816179674,2.015216102,ARTs,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg),1
-718,130.41896576,0.5285731023,124.2274757,0.4932546622,123.2607142,125.1942372,0.896065755,1.050575701,0.0838141979,2.0173372041,ARTs,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg),1
-717,130.42117099,0.5285551648,124.22963437,0.493235618,123.26291019,125.19635854,0.8982709931,1.0527343673,0.0860101901,2.0194585445,ARTs,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg),1
-716,130.42337623,0.5285373416,124.23179303,0.4932166954,123.26510594,125.19848012,0.9004762312,1.0548930336,0.088205944,2.0215801232,ARTs,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg),1
-715,130.42558147,0.5285196329,124.2339517,0.4931978944,123.26730146,125.20060194,0.9026814692,1.0570516999,0.0904014596,2.0237019402,ARTs,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg),1
-714,130.42778671,0.5285020385,124.23611037,0.493179215,123.26949674,125.202724,0.9048867073,1.0592103662,0.0925967369,2.0258239956,ARTs,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg),1
-713,130.42999195,0.5284845584,124.23826903,0.4931606572,123.27169178,125.20484629,0.9070919453,1.0613690325,0.0947917758,2.0279462893,ARTs,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg),1
-712,130.43219718,0.5284671928,124.2404277,0.4931422211,123.27388658,125.20696882,0.9092971834,1.0635276989,0.0969865764,2.0300688214,ARTs,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg),1
-711,130.43440242,0.5284499416,124.24258637,0.4931239066,123.27608114,125.20909159,0.9115024214,1.0656863652,0.0991811385,2.0321915919,ARTs,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg),1
-710,130.43660766,0.5284328049,124.24474503,0.4931057137,123.27827546,125.2112146,0.9137076595,1.0678450315,0.1013754621,2.0343146008,ARTs,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg),1
-709,130.4388129,0.5284157825,124.2469037,0.4930876425,123.28046955,125.21333785,0.9159128976,1.0700036978,0.1035695473,2.0364378483,ARTs,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg),1
-708,130.44101814,0.5283988746,124.24906236,0.493069693,123.28266339,125.21546133,0.9181181356,1.0721623641,0.105763394,2.0385613342,ARTs,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg),1
-707,130.44322337,0.5283820812,124.25122103,0.4930518652,123.284857,125.21758506,0.9203233737,1.0743210304,0.1079570022,2.0406850586,ARTs,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg),1
-706,130.44542861,0.5283654022,124.2533797,0.4930341591,123.28705037,125.21970902,0.9225286117,1.0764796967,0.1101503718,2.0428090216,ARTs,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg),1
-705,130.44763385,0.5283488378,124.25553836,0.4930165748,123.2892435,125.22183322,0.9247338498,1.078638363,0.1123435028,2.0449332232,ARTs,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg),1
