wdy_donation,TimeFromTransfusion,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,base_lower_full,base_upper_full,Delta_Base,Delta_Full,Delta_Lower,Delta_Upper,VitalParam,CompFactor,CompName,VitalName,YLabel,DeltaYLabel
2,-720,126.58657022,2.5171184307,122.04818902,2.3861691364,117.37136855,126.72500949,119.32959091,128.62842006,-1.759553723,-1.930816462,-6.607636933,2.7460040079,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
2,-719,126.596643,2.5169191668,122.06010973,2.3859612705,117.38369667,126.73652279,119.32959091,128.62842006,-1.749480946,-1.918895753,-6.595308812,2.7575173065,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
2,-718,126.60671577,2.5167211373,122.07203044,2.3857546861,117.39602228,126.7480386,119.32959091,128.62842006,-1.739408169,-1.906975043,-6.582983203,2.7690331169,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
2,-717,126.61678855,2.5165243423,122.08395115,2.3855493836,117.40834538,126.75955692,119.32959091,128.62842006,-1.729335393,-1.895054334,-6.570660107,2.7805514396,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
2,-716,126.62686133,2.5163287822,122.09587186,2.3853453632,117.42066596,126.77107776,119.32959091,128.62842006,-1.719262616,-1.883133624,-6.558339523,2.7920722753,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
2,-715,126.6369341,2.5161344572,122.10779257,2.3851426253,117.43298403,126.78260111,119.32959091,128.62842006,-1.709189839,-1.871212914,-6.546021454,2.8035956247,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
2,-714,126.64700688,2.5159413677,122.11971328,2.3849411703,117.44529959,126.79412697,119.32959091,128.62842006,-1.699117063,-1.859292205,-6.533705898,2.8151214884,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
2,-713,126.65707966,2.5157495139,122.13163399,2.3847409983,117.45761263,126.80565535,119.32959091,128.62842006,-1.689044286,-1.847371495,-6.521392857,2.826649867,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
2,-712,126.66715243,2.5155588961,122.1435547,2.3845421099,117.46992315,126.81718625,119.32959091,128.62842006,-1.678971509,-1.835450786,-6.509082332,2.8381807611,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
2,-711,126.67722521,2.5153695146,122.15547541,2.3843445052,117.48223116,126.82871966,119.32959091,128.62842006,-1.668898733,-1.823530076,-6.496774324,2.8497141715,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
2,-710,126.68729799,2.5151813696,122.16739612,2.3841481847,117.49453665,126.84025558,119.32959091,128.62842006,-1.658825956,-1.811609366,-6.484468832,2.8612500986,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
2,-709,126.69737076,2.5149944615,122.17931683,2.3839531486,117.50683963,126.85179403,119.32959091,128.62842006,-1.648753179,-1.799688657,-6.472165857,2.8727885432,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
2,-708,126.70744354,2.5148087905,122.19123754,2.3837593972,117.51914008,126.86333499,119.32959091,128.62842006,-1.638680403,-1.787767947,-6.4598654,2.8843295059,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
2,-707,126.71751632,2.5146243568,122.20315825,2.3835669309,117.53143802,126.87487847,119.32959091,128.62842006,-1.628607626,-1.775847238,-6.447567463,2.8958729872,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
2,-706,126.72758909,2.5144411609,122.21507896,2.3833757499,117.54373344,126.88642447,119.32959091,128.62842006,-1.618534849,-1.763926528,-6.435272044,2.9074189878,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
2,-705,126.73766187,2.5142592029,122.22699967,2.3831858546,117.55602634,126.89797299,119.32959091,128.62842006,-1.608462073,-1.752005818,-6.422979145,2.9189675083,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
2,-704,126.74773465,2.514078483,122.23892038,2.3829972453,117.56831672,126.90952403,119.32959091,128.62842006,-1.598389296,-1.740085109,-6.410688767,2.9305185493,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
2,-703,126.75780742,2.5138990017,122.25084108,2.3828099223,117.58060457,126.9210776,119.32959091,128.62842006,-1.588316519,-1.728164399,-6.39840091,2.9420721114,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
2,-702,126.7678802,2.513720759,122.26276179,2.3826238859,117.59288991,126.93263368,119.32959091,128.62842006,-1.578243743,-1.71624369,-6.386115574,2.9536281951,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
2,-701,126.77795298,2.5135437554,122.2746825,2.3824391363,117.60517272,126.94419229,119.32959091,128.62842006,-1.568170966,-1.70432298,-6.373832761,2.9651868011,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
2,-700,126.78802575,2.513367991,122.28660321,2.382255674,117.61745301,126.95575341,119.32959091,128.62842006,-1.558098189,-1.69240227,-6.361552471,2.97674793,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
2,-699,126.79809853,2.5131934662,122.29852392,2.3820734992,117.62973078,126.96731707,119.32959091,128.62842006,-1.548025413,-1.680481561,-6.349274704,2.9883115823,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
2,-698,126.80817131,2.5130201811,122.31044463,2.3818926121,117.64200602,126.97888324,119.32959091,128.62842006,-1.537952636,-1.668560851,-6.336999461,2.9998777587,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
2,-697,126.81824408,2.512848136,122.32236534,2.3817130131,117.65427874,126.99045194,119.32959091,128.62842006,-1.527879859,-1.656640142,-6.324726743,3.0114464596,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
2,-696,126.82831686,2.5126773313,122.33428605,2.3815347025,117.66654893,127.00202317,119.32959091,128.62842006,-1.517807083,-1.644719432,-6.31245655,3.0230176857,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
2,-695,126.83838964,2.5125077671,122.34620676,2.3813576806,117.6788166,127.01359692,119.32959091,128.62842006,-1.507734306,-1.632798722,-6.300188883,3.0345914376,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
2,-694,126.84846241,2.5123394436,122.35812747,2.3811819476,117.69108174,127.0251732,119.32959091,128.62842006,-1.497661529,-1.620878013,-6.287923742,3.0461677157,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
2,-693,126.85853519,2.5121723612,122.37004818,2.3810075038,117.70334436,127.036752,119.32959091,128.62842006,-1.487588753,-1.608957303,-6.275661127,3.0577465207,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
2,-692,126.86860797,2.5120065201,122.38196889,2.3808343495,117.71560444,127.04833334,119.32959091,128.62842006,-1.477515976,-1.597036594,-6.263401041,3.0693278531,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
2,-691,126.87868074,2.5118419206,122.3938896,2.3806624851,117.727862,127.0599172,119.32959091,128.62842006,-1.467443199,-1.585115884,-6.251143482,3.0809117135,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
