TimeFromTransfusion,DonorHb_Cat,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,base_lower_full,base_upper_full,Delta_Base,Delta_Full,Delta_Lower,Delta_Upper,VitalParam,CompFactor,CompName,VitalName,YLabel,DeltaYLabel
-720,1,37.5130557,0.4697137382,37.868747641,0.468029922,36.951425658,38.786069625,37.309120932,39.1164295,-0.311888655,-0.344027575,-1.261349558,0.5732944089,FIO2,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
-719,1,37.509605995,0.4696071664,37.865312805,0.4679239299,36.948198562,38.782427048,37.309120932,39.1164295,-0.31533836,-0.347462411,-1.264576654,0.5696518317,FIO2,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
-718,1,37.50615629,0.4695012462,37.861877968,0.467818586,36.944970196,38.778785741,37.309120932,39.1164295,-0.318788065,-0.350897248,-1.26780502,0.566010525,FIO2,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
-717,1,37.502706585,0.4693959779,37.858443132,0.4677138908,36.941740558,38.775145706,37.309120932,39.1164295,-0.32223777,-0.354332084,-1.271034658,0.5623704895,FIO2,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
-716,1,37.49925688,0.469291362,37.855008295,0.4676098446,36.938509649,38.771506942,37.309120932,39.1164295,-0.325687475,-0.357766921,-1.274265567,0.5587317262,FIO2,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
-715,1,37.495807175,0.4691873988,37.851573459,0.4675064479,36.935277466,38.767869452,37.309120932,39.1164295,-0.32913718,-0.361201757,-1.27749775,0.555094236,FIO2,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
-714,1,37.49235747,0.469084089,37.848138623,0.4674037012,36.932044009,38.764233236,37.309120932,39.1164295,-0.332586885,-0.364636593,-1.280731207,0.5514580195,FIO2,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
-713,1,37.488907765,0.4689814328,37.844703786,0.4673016048,36.928809278,38.760598294,37.309120932,39.1164295,-0.336036589,-0.36807143,-1.283965938,0.5478230778,FIO2,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
-712,1,37.48545806,0.4688794307,37.84126895,0.4672001593,36.925573272,38.756964628,37.309120932,39.1164295,-0.339486294,-0.371506266,-1.287201945,0.5441894116,FIO2,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
-711,1,37.482008355,0.4687780831,37.837834113,0.4670993649,36.922335988,38.753332238,37.309120932,39.1164295,-0.342935999,-0.374941103,-1.290439228,0.5405570218,FIO2,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
-710,1,37.47855865,0.4686773905,37.834399277,0.4669992222,36.919097428,38.749701125,37.309120932,39.1164295,-0.346385704,-0.378375939,-1.293677788,0.5369259092,FIO2,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
-709,1,37.475108946,0.4685773533,37.83096444,0.4668997315,36.91585759,38.746071291,37.309120932,39.1164295,-0.349835409,-0.381810776,-1.296917626,0.5332960746,FIO2,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
-708,1,37.471659241,0.4684779718,37.827529604,0.4668008933,36.912616473,38.742442735,37.309120932,39.1164295,-0.353285114,-0.385245612,-1.300158743,0.5296675188,FIO2,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
-707,1,37.468209536,0.4683792466,37.824094767,0.4667027081,36.909374076,38.738815459,37.309120932,39.1164295,-0.356734819,-0.388680449,-1.30340114,0.5260402427,FIO2,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
-706,1,37.464759831,0.468281178,37.820659931,0.4666051761,36.906130399,38.735189463,37.309120932,39.1164295,-0.360184524,-0.392115285,-1.306644817,0.522414247,FIO2,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
-705,1,37.461310126,0.4681837665,37.817225094,0.4665082978,36.90288544,38.731564749,37.309120932,39.1164295,-0.363634229,-0.395550122,-1.309889776,0.5187895325,FIO2,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
-704,1,37.457860421,0.4680870124,37.813790258,0.4664120736,36.899639199,38.727941316,37.309120932,39.1164295,-0.367083934,-0.398984958,-1.313136017,0.5151661001,FIO2,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
-703,1,37.454410716,0.4679909162,37.810355421,0.466316504,36.896391676,38.724319167,37.309120932,39.1164295,-0.370533639,-0.402419795,-1.31638354,0.5115439506,FIO2,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
-702,1,37.450961011,0.4678954782,37.806920585,0.4662215893,36.893142869,38.720698301,37.309120932,39.1164295,-0.373983343,-0.405854631,-1.319632347,0.5079230847,FIO2,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
-701,1,37.447511306,0.4678006989,37.803485748,0.4661273299,36.889892778,38.717078719,37.309120932,39.1164295,-0.377433048,-0.409289468,-1.322882438,0.5043035032,FIO2,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
-700,1,37.444061601,0.4677065787,37.800050912,0.4660337263,36.886641401,38.713460423,37.309120932,39.1164295,-0.380882753,-0.412724304,-1.326133815,0.5006852069,FIO2,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
-699,1,37.440611896,0.4676131179,37.796616075,0.4659407788,36.883388738,38.709843413,37.309120932,39.1164295,-0.384332458,-0.416159141,-1.329386478,0.4970681966,FIO2,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
-698,1,37.437162192,0.467520317,37.793181239,0.4658484877,36.880134789,38.706227689,37.309120932,39.1164295,-0.387782163,-0.419593977,-1.332640427,0.493452473,FIO2,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
-697,1,37.433712487,0.4674281764,37.789746403,0.4657568536,36.876879552,38.702613253,37.309120932,39.1164295,-0.391231868,-0.423028813,-1.335895664,0.4898380369,FIO2,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
-696,1,37.430262782,0.4673366964,37.786311566,0.4656658768,36.873623027,38.699000105,37.309120932,39.1164295,-0.394681573,-0.42646365,-1.339152189,0.4862248891,FIO2,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
