DonorParity,TimeFromTransfusion,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,base_lower_full,base_upper_full,Delta_Base,Delta_Full,Delta_Lower,Delta_Upper,VitalParam,CompFactor,CompName,VitalName,YLabel,DeltaYLabel
0,-720,37.070168895,2.2792339815,38.480938476,2.2310545655,34.108130499,42.853746453,35.454848134,44.194324854,-1.297877047,-1.343648018,-5.716455995,3.0291599588,FIO2,DonorParity,Donor Parity,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
0,-719,37.073559435,2.2792072881,38.483803172,2.2310291027,34.111045102,42.856561242,35.454848134,44.194324854,-1.294486506,-1.340783322,-5.713541392,3.0319747482,FIO2,DonorParity,Donor Parity,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
0,-718,37.076949975,2.2791807628,38.486667868,2.231003801,34.113959389,42.859376348,35.454848134,44.194324854,-1.291095966,-1.337918626,-5.710627105,3.0347898536,FIO2,DonorParity,Donor Parity,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
0,-717,37.080340516,2.2791544056,38.489532564,2.2309786605,34.116873359,42.862191769,35.454848134,44.194324854,-1.287705426,-1.33505393,-5.707713135,3.0376052747,FIO2,DonorParity,Donor Parity,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
0,-716,37.083731056,2.2791282165,38.49239726,2.2309536811,34.119787014,42.865007506,35.454848134,44.194324854,-1.284314886,-1.332189234,-5.70479948,3.0404210117,FIO2,DonorParity,Donor Parity,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
0,-715,37.087121596,2.2791021956,38.495261956,2.2309288628,34.122700353,42.867823559,35.454848134,44.194324854,-1.280924345,-1.329324538,-5.701886141,3.0432370646,FIO2,DonorParity,Donor Parity,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
0,-714,37.090512137,2.2790763427,38.498126652,2.2309042058,34.125613376,42.870639927,35.454848134,44.194324854,-1.277533805,-1.326459842,-5.698973118,3.0460534334,FIO2,DonorParity,Donor Parity,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
0,-713,37.093902677,2.279050658,38.500991348,2.2308797099,34.128526084,42.873456612,35.454848134,44.194324854,-1.274143265,-1.323595146,-5.69606041,3.048870118,FIO2,DonorParity,Donor Parity,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
0,-712,37.097293217,2.2790251415,38.503856044,2.2308553752,34.131438475,42.876273613,35.454848134,44.194324854,-1.270752724,-1.32073045,-5.693148019,3.0516871186,FIO2,DonorParity,Donor Parity,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
0,-711,37.100683757,2.2789997931,38.50672074,2.2308312016,34.13435055,42.879090929,35.454848134,44.194324854,-1.267362184,-1.317865754,-5.690235944,3.0545044351,FIO2,DonorParity,Donor Parity,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
0,-710,37.104074298,2.2789746128,38.509585436,2.2308071893,34.13726231,42.881908561,35.454848134,44.194324854,-1.263971644,-1.315001058,-5.687324184,3.0573220675,FIO2,DonorParity,Donor Parity,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
0,-709,37.107464838,2.2789496007,38.512450132,2.2307833381,34.140173754,42.88472651,35.454848134,44.194324854,-1.260581104,-1.312136362,-5.68441274,3.0601400158,FIO2,DonorParity,Donor Parity,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
0,-708,37.110855378,2.2789247568,38.515314828,2.2307596482,34.143084881,42.887544774,35.454848134,44.194324854,-1.257190563,-1.309271666,-5.681501613,3.0629582801,FIO2,DonorParity,Donor Parity,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
0,-707,37.114245918,2.2789000811,38.518179524,2.2307361194,34.145995693,42.890363354,35.454848134,44.194324854,-1.253800023,-1.30640697,-5.678590801,3.0657768603,FIO2,DonorParity,Donor Parity,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
0,-706,37.117636459,2.2788755735,38.52104422,2.2307127519,34.148906189,42.89318225,35.454848134,44.194324854,-1.250409483,-1.303542274,-5.675680305,3.0685957565,FIO2,DonorParity,Donor Parity,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
0,-705,37.121026999,2.2788512341,38.523908915,2.2306895456,34.151816368,42.896001463,35.454848134,44.194324854,-1.247018943,-1.300677579,-5.672770126,3.0714149686,FIO2,DonorParity,Donor Parity,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
0,-704,37.124417539,2.2788270629,38.526773611,2.2306665004,34.154726232,42.898820991,35.454848134,44.194324854,-1.243628402,-1.297812883,-5.669860262,3.0742344968,FIO2,DonorParity,Donor Parity,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
