TimeFromTransfusion,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,Delta_Base,Delta_Full,Delta_Lower,Delta_Upper,VitalParam,CompFactor,CompName,VitalName,YLabel,DeltaYLabel,Transfusion
-720,37.583341245,2.278561687,36.128873495,2.249028912,31.720836275,40.536910716,-1.446548755,-1.640876505,-6.048913725,2.7671607155,FIO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%),1
-719,37.585996588,2.2785412305,36.131744164,2.2490092953,31.723745393,40.539742936,-1.443893412,-1.638005836,-6.046004607,2.7699929363,FIO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%),1
-718,37.588651931,2.2785209018,36.134614833,2.2489898013,31.726654269,40.542575398,-1.441238069,-1.635135167,-6.043095731,2.7728253976,FIO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%),1
-717,37.591307273,2.2785007009,36.137485502,2.2489704301,31.729562905,40.545408099,-1.438582727,-1.632264498,-6.040187095,2.7756580995,FIO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%),1
-716,37.593962616,2.2784806279,36.140356171,2.2489511816,31.732471301,40.548241042,-1.435927384,-1.629393829,-6.037278699,2.7784910419,FIO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%),1
-715,37.596617959,2.2784606827,36.14322684,2.2489320558,31.735379456,40.551074225,-1.433272041,-1.62652316,-6.034370544,2.7813242248,FIO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%),1
-714,37.599273301,2.2784408654,36.146097509,2.2489130527,31.73828737,40.553907648,-1.430616699,-1.623652491,-6.03146263,2.7841576483,FIO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%),1
-713,37.601928644,2.278421176,36.148968178,2.2488941724,31.741195044,40.556741312,-1.427961356,-1.620781822,-6.028554956,2.7869913124,FIO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%),1
-712,37.604583987,2.2784016144,36.151838847,2.2488754149,31.744102478,40.559575217,-1.425306013,-1.617911153,-6.025647522,2.7898252171,FIO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%),1
-711,37.607239329,2.2783821807,36.154709516,2.2488567801,31.74700967,40.562409362,-1.422650671,-1.615040484,-6.02274033,2.7926593623,FIO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%),1
-710,37.609894672,2.2783628749,36.157580185,2.248838268,31.749916623,40.565243748,-1.419995328,-1.612169815,-6.019833377,2.7954937482,FIO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%),1
-709,37.612550015,2.2783436969,36.160450854,2.2488198787,31.752823334,40.568078375,-1.417339985,-1.609299146,-6.016926666,2.7983283746,FIO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%),1
-708,37.615205357,2.2783246468,36.163321523,2.2488016122,31.755729805,40.570913242,-1.414684643,-1.606428477,-6.014020195,2.8011632417,FIO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%),1
-707,37.6178607,2.2783057246,36.166192192,2.2487834684,31.758636035,40.573748349,-1.4120293,-1.603557808,-6.011113965,2.8039983493,FIO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%),1
-706,37.620516043,2.2782869303,36.169062861,2.2487654473,31.761542025,40.576583698,-1.409373957,-1.600687139,-6.008207975,2.8068336976,FIO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%),1
-705,37.623171385,2.2782682639,36.17193353,2.2487475491,31.764447774,40.579419286,-1.406718615,-1.59781647,-6.005302226,2.8096692864,FIO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%),1
-704,37.625826728,2.2782497253,36.174804199,2.2487297736,31.767353283,40.582255116,-1.404063272,-1.594945801,-6.002396717,2.8125051159,FIO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%),1
-703,37.628482071,2.2782313147,36.177674868,2.2487121209,31.770258551,40.585091186,-1.401407929,-1.592075132,-5.999491449,2.815341186,FIO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%),1
-702,37.631137413,2.2782130319,36.180545537,2.2486945909,31.773163578,40.587927497,-1.398752587,-1.589204463,-5.996586422,2.8181774968,FIO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%),1
-701,37.633792756,2.278194877,36.183416206,2.2486771838,31.776068364,40.590764048,-1.396097244,-1.586333794,-5.993681636,2.8210140482,FIO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%),1
-700,37.636448099,2.2781768501,36.186286875,2.2486598994,31.77897291,40.59360084,-1.393441901,-1.583463125,-5.99077709,2.8238508403,FIO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%),1
-699,37.639103441,2.278158951,36.189157544,2.2486427378,31.781877216,40.596437873,-1.390786559,-1.580592456,-5.987872784,2.826687873,FIO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%),1
