wdy_donation,TimeFromTransfusion,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,base_lower_full,base_upper_full,Delta_Base,Delta_Full,Delta_Lower,Delta_Upper,VitalParam,CompFactor,CompName,VitalName,YLabel,DeltaYLabel
2,-720,37.949924753,2.2915594906,39.094714979,2.2528515767,34.679185435,43.510244524,,,,,,,FIO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
2,-719,37.961884739,2.2914760398,39.103706322,2.2527717776,34.688333181,43.519079463,,,,,,,FIO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
2,-718,37.973844724,2.2913931121,39.112697665,2.2526924793,34.697479947,43.527915383,,,,,,,FIO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
2,-717,37.985804709,2.2913107075,39.121689008,2.2526136818,34.706625731,43.536752285,,,,,,,FIO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
2,-716,37.997764694,2.2912288261,39.130680351,2.2525353851,34.715770533,43.545590168,,,,,,,FIO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
2,-715,38.009724679,2.291147468,39.139671694,2.2524575893,34.724914354,43.554429033,,,,,,,FIO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
2,-714,38.021684664,2.2910666331,39.148663036,2.2523802944,34.734057192,43.56326888,,,,,,,FIO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
2,-713,38.033644649,2.2909863216,39.157654379,2.2523035006,34.743199049,43.572109709,,,,,,,FIO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
2,-712,38.045604634,2.2909065335,39.166645722,2.2522272078,34.752339924,43.58095152,,,,,,,FIO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
2,-711,38.05756462,2.2908272689,39.175637065,2.2521514161,34.761479816,43.589794313,,,,,,,FIO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
2,-710,38.069524605,2.2907485278,39.184628408,2.2520761255,34.770618727,43.598638089,,,,,,,FIO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
2,-709,38.08148459,2.2906703103,39.19361975,2.2520013362,34.779756655,43.607482846,,,,,,,FIO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
2,-708,38.093444575,2.2905926164,39.202611093,2.251927048,34.7888936,43.616328586,,,,,,,FIO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
2,-707,38.10540456,2.2905154462,39.211602436,2.2518532612,34.798029563,43.625175309,,,,,,,FIO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
2,-706,38.117364545,2.2904387997,39.220593779,2.2517799758,34.807164543,43.634023014,,,,,,,FIO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
2,-705,38.12932453,2.290362677,39.229585122,2.2517071917,34.816298541,43.642871702,,,,,,,FIO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
2,-704,38.141284515,2.2902870781,39.238576464,2.2516349091,34.825431556,43.651721373,,,,,,,FIO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
2,-703,38.153244501,2.2902120031,39.247567807,2.251563128,34.834563588,43.660572027,,,,,,,FIO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
2,-702,38.165204486,2.2901374521,39.25655915,2.2514918484,34.843694637,43.669423663,,,,,,,FIO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
2,-701,38.177164471,2.290063425,39.265550493,2.2514210704,34.852824703,43.678276283,,,,,,,FIO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
2,-700,38.189124456,2.289989922,39.274541836,2.2513507941,34.861953785,43.687129886,,,,,,,FIO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
2,-699,38.201084441,2.2899169431,39.283533179,2.2512810194,34.871081884,43.695984473,,,,,,,FIO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
2,-698,38.213044426,2.2898444883,39.292524521,2.2512117465,34.880209,43.704840042,,,,,,,FIO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
2,-697,38.225004411,2.2897725577,39.301515864,2.2511429753,34.889335133,43.713696595,,,,,,,FIO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
2,-696,38.236964397,2.2897011514,39.310507207,2.251074706,34.898460282,43.722554132,,,,,,,FIO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
2,-695,38.248924382,2.2896302694,39.31949855,2.2510069385,34.907584447,43.731412653,,,,,,,FIO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
2,-694,38.260884367,2.2895599117,39.328489893,2.250939673,34.916707629,43.740272157,,,,,,,FIO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
2,-693,38.272844352,2.2894900784,39.337481235,2.2508729094,34.925829826,43.749132645,,,,,,,FIO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
2,-692,38.284804337,2.2894207695,39.346472578,2.2508066478,34.93495104,43.757994116,,,,,,,FIO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
2,-691,38.296764322,2.2893519851,39.355463921,2.2507408883,34.94407127,43.766856572,,,,,,,FIO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
2,-690,38.308724307,2.2892837252,39.364455264,2.2506756309,34.953190515,43.775720012,,,,,,,FIO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
2,-689,38.320684292,2.2892159899,39.373446607,2.2506108755,34.962308777,43.784584436,,,,,,,FIO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
2,-688,38.332644278,2.2891487793,39.382437949,2.2505466224,34.971426054,43.793449845,,,,,,,FIO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
2,-687,38.344604263,2.2890820933,39.391429292,2.2504828715,34.980542347,43.802316238,,,,,,,FIO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
2,-686,38.356564248,2.289015932,39.400420635,2.2504196229,34.989657655,43.811183615,,,,,,,FIO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
2,-685,38.368524233,2.2889502955,39.409411978,2.2503568766,34.998771979,43.820051976,,,,,,,FIO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
2,-684,38.380484218,2.2888851838,39.418403321,2.2502946326,35.007885319,43.828921323,,,,,,,FIO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
2,-683,38.392444203,2.2888205969,39.427394664,2.250232891,35.016997673,43.837791654,,,,,,,FIO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
2,-682,38.404404188,2.288756535,39.436386006,2.2501716518,35.026109043,43.846662969,,,,,,,FIO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
2,-681,38.416364173,2.288692998,39.445377349,2.2501109152,35.035219429,43.85553527,,,,,,,FIO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
2,-680,38.428324159,2.288629986,39.454368692,2.250050681,35.044328829,43.864408555,,,,,,,FIO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
2,-679,38.440284144,2.288567499,39.463360035,2.2499909494,35.053437244,43.873282826,,,,,,,FIO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
2,-678,38.452244129,2.288505537,39.472351378,2.2499317204,35.062544674,43.882158081,,,,,,,FIO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
2,-677,38.464204114,2.2884441002,39.48134272,2.249872994,35.071651119,43.891034322,,,,,,,FIO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
2,-676,38.476164099,2.2883831886,39.490334063,2.2498147703,35.080756579,43.899911548,,,,,,,FIO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
