DonorParity,TimeFromTransfusion,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,base_lower_full,base_upper_full,Delta_Base,Delta_Full,Delta_Lower,Delta_Upper,VitalParam,CompFactor,CompName,VitalName,YLabel,DeltaYLabel
0,-720,84.134853185,2.106563174,83.513834254,2.0920820068,79.41341637,87.614252139,79.329477103,87.522182258,-0.016658216,0.0880045736,-4.012413311,4.188422458,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
0,-719,84.136580927,2.1065307712,83.515506353,2.0920495889,79.415152007,87.6158607,79.329477103,87.522182258,-0.014930473,0.0896766729,-4.010677674,4.1900310194,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
0,-718,84.13830867,2.1064985706,83.517178453,2.0920173726,79.416887249,87.617469656,79.329477103,87.522182258,-0.013202731,0.0913487723,-4.008942431,4.1916399758,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
0,-717,84.140036412,2.1064665722,83.518850552,2.0919853578,79.418622097,87.619079008,79.329477103,87.522182258,-0.011474988,0.0930208716,-4.007207584,4.1932493271,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
0,-716,84.141764155,2.1064347761,83.520522651,2.0919535445,79.420356549,87.620688754,79.329477103,87.522182258,-0.009747246,0.094692971,-4.005473131,4.1948590733,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
0,-715,84.143491897,2.1064031823,83.522194751,2.0919219328,79.422090607,87.622298895,79.329477103,87.522182258,-0.008019503,0.0963650703,-4.003739074,4.1964692146,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
0,-714,84.14521964,2.1063717907,83.52386685,2.0918905226,79.423824269,87.623909431,79.329477103,87.522182258,-0.006291761,0.0980371697,-4.002005412,4.1980797508,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
0,-713,84.146947382,2.1063406015,83.52553895,2.0918593139,79.425557536,87.625520363,79.329477103,87.522182258,-0.004564018,0.099709269,-4.000272144,4.1996906821,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
0,-712,84.148675125,2.1063096145,83.527211049,2.0918283068,79.427290409,87.627131689,79.329477103,87.522182258,-0.002836276,0.1013813684,-3.998539272,4.2013020084,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
0,-711,84.150402867,2.1062788299,83.528883148,2.0917975012,79.429022886,87.62874341,79.329477103,87.522182258,-0.001108533,0.1030534677,-3.996806794,4.2029137298,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
0,-710,84.15213061,2.1062482476,83.530555248,2.0917668972,79.430754968,87.630355527,79.329477103,87.522182258,0.000619209,0.1047255671,-3.995074712,4.2045258463,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
0,-709,84.153858352,2.1062178676,83.532227347,2.0917364948,79.432486656,87.631968038,79.329477103,87.522182258,0.0023469515,0.1063976664,-3.993343025,4.2061383578,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
0,-708,84.155586094,2.1061876899,83.533899446,2.091706294,79.434217948,87.633580945,79.329477103,87.522182258,0.0040746939,0.1080697657,-3.991611733,4.2077512644,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
0,-707,84.157313837,2.1061577146,83.535571546,2.0916762947,79.435948845,87.635194247,79.329477103,87.522182258,0.0058024364,0.1097418651,-3.989880836,4.2093645662,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
0,-706,84.159041579,2.1061279417,83.537243645,2.0916464971,79.437679346,87.636807944,79.329477103,87.522182258,0.0075301789,0.1114139644,-3.988150334,4.2109782631,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
