DonorSex,TimeFromTransfusion,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,base_lower_full,base_upper_full,Delta_Base,Delta_Full,Delta_Lower,Delta_Upper,VitalParam,CompFactor,CompName,VitalName,YLabel,DeltaYLabel
1,-720,84.775127847,2.1092439155,84.111582223,2.0986571321,79.998277268,88.224887177,79.257275658,87.471775965,0.6673889859,0.7470564108,-3.366248543,4.860361365,HR,DonorSex,Donor Sex,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
1,-719,84.773855403,2.1091978549,84.110065159,2.0986111321,79.996850363,88.223279954,79.257275658,87.471775965,0.6661165414,0.7455393467,-3.367675449,4.8587541422,HR,DonorSex,Donor Sex,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
1,-718,84.772582958,2.1091520783,84.108548095,2.0985654145,79.995422904,88.221673285,79.257275658,87.471775965,0.664844097,0.7440222827,-3.369102908,4.8571474731,HR,DonorSex,Donor Sex,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
1,-717,84.771310514,2.1091065857,84.10703103,2.0985199794,79.993994891,88.220067169,79.257275658,87.471775965,0.6635716525,0.7425052187,-3.37053092,4.8555413577,HR,DonorSex,Donor Sex,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
1,-716,84.770038069,2.1090613772,84.105513966,2.0984748269,79.992566325,88.218461608,79.257275658,87.471775965,0.6622992081,0.7409881546,-3.371959487,4.853935796,HR,DonorSex,Donor Sex,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
1,-715,84.768765625,2.1090164527,84.103996902,2.0984299568,79.991137205,88.2168566,79.257275658,87.471775965,0.6610267636,0.7394710906,-3.373388607,4.8523307881,HR,DonorSex,Donor Sex,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
1,-714,84.76749318,2.1089718122,84.102479838,2.0983853694,79.989707531,88.215252146,79.257275658,87.471775965,0.6597543191,0.7379540265,-3.374818281,4.8507263339,HR,DonorSex,Donor Sex,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
1,-713,84.766220736,2.1089274559,84.100962774,2.0983410645,79.988277303,88.213648245,79.257275658,87.471775965,0.6584818747,0.7364369625,-3.376248509,4.8491224337,HR,DonorSex,Donor Sex,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
1,-712,84.764948292,2.1088833836,84.09944571,2.0982970422,79.986846521,88.212044899,79.257275658,87.471775965,0.6572094302,0.7349198985,-3.37767929,4.8475190872,HR,DonorSex,Donor Sex,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
1,-711,84.763675847,2.1088395955,84.097928646,2.0982533025,79.985415186,88.210442107,79.257275658,87.471775965,0.6559369858,0.7334028344,-3.379110626,4.8459162947,HR,DonorSex,Donor Sex,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
