TimeFromTransfusion,Storage_Cat,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,base_lower_full,base_upper_full,Delta_Base,Delta_Full,Delta_Lower,Delta_Upper,VitalParam,CompFactor,CompName,VitalName,YLabel,DeltaYLabel
-720,1,88.210188077,0.4522022624,87.950532194,0.4501256945,87.068301923,88.832762465,86.395717186,88.154334944,0.6495038519,0.6755061293,-0.206724142,1.5577364,HR,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
-719,1,88.210314038,0.4521790772,87.950690363,0.4501024996,87.068505554,88.832875173,86.395717186,88.154334944,0.6496298136,0.6756642986,-0.206520511,1.5578491083,HR,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
-718,1,88.21044,0.4521560374,87.950848533,0.4500794503,87.068708899,88.832988167,86.395717186,88.154334944,0.6497557752,0.675822468,-0.206317166,1.5579621018,HR,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
-717,1,88.210565962,0.452133143,87.951006702,0.4500565465,87.068911959,88.833101445,86.395717186,88.154334944,0.6498817368,0.6759806374,-0.206114106,1.5580753806,HR,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
-716,1,88.210691923,0.4521103942,87.951164872,0.4500337884,87.069114734,88.83321501,86.395717186,88.154334944,0.6500076985,0.6761388067,-0.205911331,1.5581889448,HR,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
-715,1,88.210817885,0.4520877909,87.951323041,0.4500111758,87.069317223,88.833328859,86.395717186,88.154334944,0.6501336601,0.6762969761,-0.205708842,1.5583027944,HR,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
-714,1,88.210943847,0.4520653331,87.95148121,0.4499887089,87.069519426,88.833442994,86.395717186,88.154334944,0.6502596218,0.6764551455,-0.205506639,1.5584169294,HR,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
-713,1,88.211069808,0.4520430208,87.95163938,0.4499663877,87.069721345,88.833557415,86.395717186,88.154334944,0.6503855834,0.6766133148,-0.20530472,1.55853135,HR,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
-712,1,88.21119577,0.4520208541,87.951797549,0.4499442121,87.069922977,88.833672121,86.395717186,88.154334944,0.6505115451,0.6767714842,-0.205103088,1.558646056,HR,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
-711,1,88.211321732,0.4519988331,87.951955718,0.4499221823,87.070124324,88.833787113,86.395717186,88.154334944,0.6506375067,0.6769296536,-0.204901741,1.5587610477,HR,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
