TimeFromTransfusion,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,Delta_Base,Delta_Full,Delta_Lower,Delta_Upper,VitalParam,CompFactor,CompName,VitalName,YLabel,DeltaYLabel,Transfusion
-720,84.22481386,2.1049474398,82.582511004,2.0478197497,78.568845814,86.596176195,0.5590438597,0.6579010045,-3.355764186,4.6715661947,HR,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm),1
-719,84.225442817,2.1049235418,82.583254926,2.0477955688,78.56963713,86.596872723,0.5596728169,0.6586449263,-3.35497287,4.6722627226,HR,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm),1
-718,84.226071774,2.104899793,82.583998848,2.0477715376,78.570428152,86.597569544,0.5603017741,0.6593888482,-3.354181848,4.672959544,HR,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm),1
-717,84.226700731,2.1048761936,82.58474277,2.0477476562,78.571218881,86.598266659,0.5609307312,0.6601327701,-3.353391119,4.673656659,HR,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm),1
-716,84.227329688,2.1048527434,82.585486692,2.0477239245,78.572009316,86.598964068,0.5615596884,0.6608766919,-3.352600684,4.6743540675,HR,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm),1
-715,84.227958646,2.1048294427,82.586230614,2.0477003426,78.572799458,86.59966177,0.5621886456,0.6616206138,-3.351810542,4.6750517696,HR,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm),1
-714,84.228587603,2.1048062912,82.586974536,2.0476769106,78.573589306,86.600359765,0.5628176028,0.6623645356,-3.351020694,4.6757497653,HR,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm),1
-713,84.22921656,2.1047832891,82.587718457,2.0476536283,78.57437886,86.601058055,0.5634465599,0.6631084575,-3.35023114,4.6764480545,HR,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm),1
-712,84.229845517,2.1047604364,82.588462379,2.0476304958,78.575168121,86.601756637,0.5640755171,0.6638523793,-3.349441879,4.6771466374,HR,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm),1
-711,84.230474474,2.104737733,82.589206301,2.0476075131,78.575957089,86.602455514,0.5647044743,0.6645963012,-3.348652911,4.6778455138,HR,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm),1
-710,84.231103431,2.104715179,82.589950223,2.0475846802,78.576745762,86.603154684,0.5653334315,0.665340223,-3.347864238,4.6785446839,HR,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm),1
-709,84.231732389,2.1046927743,82.590694145,2.0475619971,78.577534142,86.603854148,0.5659623887,0.6660841449,-3.347075858,4.6792441475,HR,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm),1
-708,84.232361346,2.104670519,82.591438067,2.0475394638,78.578322229,86.604553905,0.5665913458,0.6668280667,-3.346287771,4.6799439049,HR,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm),1
-707,84.232990303,2.1046484131,82.592181989,2.0475170803,78.579110021,86.605253956,0.567220303,0.6675719886,-3.345499979,4.6806439558,HR,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm),1
-706,84.23361926,2.1046264565,82.59292591,2.0474948467,78.57989752,86.6059543,0.5678492602,0.6683159104,-3.34471248,4.6813443004,HR,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm),1
-705,84.234248217,2.1046046494,82.593669832,2.0474727629,78.580684726,86.606654939,0.5684782174,0.6690598323,-3.343925274,4.6820449386,HR,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm),1
-704,84.234877175,2.1045829916,82.594413754,2.0474508289,78.581471638,86.607355871,0.5691071745,0.6698037541,-3.343138362,4.6827458706,HR,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm),1
-703,84.235506132,2.1045614832,82.595157676,2.0474290448,78.582258256,86.608057096,0.5697361317,0.670547676,-3.342351744,4.6834470962,HR,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm),1
-702,84.236135089,2.1045401242,82.595901598,2.0474074105,78.58304458,86.608758615,0.5703650889,0.6712915978,-3.34156542,4.6841486154,HR,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm),1
-701,84.236764046,2.1045189146,82.59664552,2.047385926,78.583830611,86.609460428,0.5709940461,0.6720355197,-3.340779389,4.6848504284,HR,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm),1
-700,84.237393003,2.1044978544,82.597389442,2.0473645914,78.584616348,86.610162535,0.5716230033,0.6727794415,-3.339993652,4.6855525351,HR,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm),1
-699,84.23802196,2.1044769436,82.598133363,2.0473434067,78.585401791,86.610864936,0.5722519604,0.6735233634,-3.339208209,4.6862549355,HR,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm),1
-698,84.238650918,2.1044561823,82.598877285,2.0473223718,78.586186941,86.61156763,0.5728809176,0.6742672853,-3.338423059,4.6869576296,HR,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm),1
-697,84.239279875,2.1044355703,82.599621207,2.0473014868,78.586971797,86.612270618,0.5735098748,0.6750112071,-3.337638203,4.6876606175,HR,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm),1
-696,84.239908832,2.1044151078,82.600365129,2.0472807517,78.587756359,86.612973899,0.574138832,0.675755129,-3.336853641,4.6883638991,HR,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm),1
