wdy_donation,TimeFromTransfusion,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,base_lower_full,base_upper_full,Delta_Base,Delta_Full,Delta_Lower,Delta_Upper,VitalParam,CompFactor,CompName,VitalName,YLabel,DeltaYLabel
2,-720,86.133768654,2.1345146896,85.666065551,2.1192972017,81.512306701,89.819824401,,,,,,,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
2,-719,86.11867745,2.1344061725,85.650511259,2.119188688,81.496965093,89.804057425,,,,,,,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
2,-718,86.103586246,2.1342983311,85.634956967,2.119080848,81.481622164,89.78829177,,,,,,,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
2,-717,86.088495042,2.1341911655,85.619402675,2.118973682,81.466277914,89.772527436,,,,,,,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
2,-716,86.073403839,2.134084676,85.603848383,2.11886719,81.450932343,89.756764423,,,,,,,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
2,-715,86.058312635,2.1339788625,85.588294091,2.118761372,81.435585451,89.741002731,,,,,,,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
2,-714,86.043221431,2.1338737252,85.572739799,2.1186562283,81.420237237,89.72524236,,,,,,,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
2,-713,86.028130227,2.1337692642,85.557185507,2.1185517589,81.404887702,89.709483311,,,,,,,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
2,-712,86.013039024,2.1336654795,85.541631214,2.118447964,81.389536845,89.693725584,,,,,,,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
2,-711,85.99794782,2.1335623714,85.526076922,2.1183448435,81.374184666,89.677969179,,,,,,,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
2,-710,85.982856616,2.1334599398,85.51052263,2.1182423976,81.358831165,89.662214096,,,,,,,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
2,-709,85.967765412,2.1333581848,85.494968338,2.1181406265,81.343476341,89.646460335,,,,,,,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
2,-708,85.952674209,2.1332571067,85.479414046,2.1180395301,81.328120195,89.630707898,,,,,,,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
2,-707,85.937583005,2.1331567054,85.463859754,2.1179391086,81.312762726,89.614956782,,,,,,,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
2,-706,85.922491801,2.133056981,85.448305462,2.1178393622,81.297403934,89.59920699,,,,,,,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
2,-705,85.907400598,2.1329579338,85.43275117,2.1177402908,81.282043819,89.583458521,,,,,,,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
2,-704,85.892309394,2.1328595636,85.417196878,2.1176418946,81.26668238,89.567711376,,,,,,,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
2,-703,85.87721819,2.1327618707,85.401642586,2.1175441737,81.251319618,89.551965554,,,,,,,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
2,-702,85.862126986,2.1326648552,85.386088294,2.1174471282,81.235955532,89.536221055,,,,,,,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
