Abbreviation,TimeFromTransfusion,Z_Mean,VitalName,PlotOrder,Pred,LCL,UCL,VitalParam
ARTd,-719.1253333,-0.806232474,Diastolic Blood Pressure (mmHg),3,-0.010719792,-0.153732008,0.132292424,ARTd
ARTd,-718.8556667,0.751442451,Diastolic Blood Pressure (mmHg),3,-0.01042928,-0.152940594,0.132082035,ARTd
ARTd,-718.5485,-0.131970612,Diastolic Blood Pressure (mmHg),3,-0.010099377,-0.152041828,0.131843074,ARTd
ARTd,-718.099,0.962079627,Diastolic Blood Pressure (mmHg),3,-0.009618542,-0.150731786,0.131494701,ARTd
ARTd,-717.2025,-0.152526621,Diastolic Blood Pressure (mmHg),3,-0.008666419,-0.148137426,0.130804587,ARTd
ARTd,-716.6006667,0.519444361,Diastolic Blood Pressure (mmHg),3,-0.008032385,-0.146409597,0.130344828,ARTd
ARTd,-715.5345,0.305649484,Diastolic Blood Pressure (mmHg),3,-0.006919316,-0.143375975,0.129537344,ARTd
ARTd,-714.6978333,-0.534670259,Diastolic Blood Pressure (mmHg),3,-0.006054934,-0.141019844,0.128909975,ARTd
ARTd,-713.9811667,0.862890692,Diastolic Blood Pressure (mmHg),3,-0.005320894,-0.139018806,0.128377018,ARTd
ARTd,-712.938,-0.140143483,Diastolic Blood Pressure (mmHg),3,-0.004262949,-0.136134508,0.127608609,ARTd
ARTd,-711.7881667,-0.202059173,Diastolic Blood Pressure (mmHg),3,-0.003111289,-0.132994376,0.126771798,ARTd
ARTd,-711.421,-0.0249803,Diastolic Blood Pressure (mmHg),3,-0.002746738,-0.132000323,0.126506847,ARTd
ARTd,-710.7215,0.045603586,Diastolic Blood Pressure (mmHg),3,-0.002056512,-0.130118149,0.126005125,ARTd
ARTd,-709.8325,0.379948312,Diastolic Blood Pressure (mmHg),3,-0.001187427,-0.127748131,0.125373278,ARTd
ARTd,-709.3325,-0.120206631,Diastolic Blood Pressure (mmHg),3,-0.000702629,-0.126426031,0.125020774,ARTd
ARTd,-707.7736667,-0.548787036,Diastolic Blood Pressure (mmHg),3,0.000790291,-0.122354553,0.123935135,ARTd
ARTd,-707.3405,0.157051828,Diastolic Blood Pressure (mmHg),3,0.001200156,-0.121236761,0.123637073,ARTd
ARTd,-707.2716667,-0.201068522,Diastolic Blood Pressure (mmHg),3,0.001265087,-0.121059681,0.123589855,ARTd
ARTd,-706.8286667,-0.267937467,Diastolic Blood Pressure (mmHg),3,0.001681659,-0.119923605,0.123286923,ARTd
ARTd,-706.6568333,-0.400189381,Diastolic Blood Pressure (mmHg),3,0.00184263,-0.119484608,0.123169867,ARTd
ARTd,-705.8955,-0.474488208,Diastolic Blood Pressure (mmHg),3,0.002551725,-0.11755081,0.12265426,ARTd
ARTd,-705.8186667,0.372146935,Diastolic Blood Pressure (mmHg),3,0.002622914,-0.117356673,0.1226025,ARTd
ARTd,-705.089,0.323852697,Diastolic Blood Pressure (mmHg),3,0.003295568,-0.115522341,0.122113477,ARTd
ARTd,-704.1551667,0.602844795,Diastolic Blood Pressure (mmHg),3,0.004147444,-0.113199448,0.121494336,ARTd
ARTd,-703.7366667,-0.215371046,Diastolic Blood Pressure (mmHg),3,0.004525937,-0.112167455,0.12121933,ARTd
ARTd,-702.7983333,-0.214442311,Diastolic Blood Pressure (mmHg),3,0.005367193,-0.109873929,0.120608315,ARTd
ARTd,-702.593,0.639994209,Diastolic Blood Pressure (mmHg),3,0.005549922,-0.1093758,0.120475644,ARTd
ARTd,-702.2061667,0.101327707,Diastolic Blood Pressure (mmHg),3,0.005892842,-0.108441033,0.120226718,ARTd
ARTd,-701.8851667,-0.133456589,Diastolic Blood Pressure (mmHg),3,0.006176085,-0.107668996,0.120021166,ARTd
ARTd,-701.6003333,-0.103365563,Diastolic Blood Pressure (mmHg),3,0.006426414,-0.106986716,0.119839544,ARTd
ARTd,-701.0765,0.006596702,Diastolic Blood Pressure (mmHg),3,0.006884333,-0.105738758,0.119507423,ARTd
ARTd,-699.7866667,-0.134942565,Diastolic Blood Pressure (mmHg),3,0.007998284,-0.10270364,0.118700207,ARTd
ARTd,-699.5115,-0.620113911,Diastolic Blood Pressure (mmHg),3,0.008233427,-0.102063104,0.118529959,ARTd
ARTd,-699.0308333,0.231350656,Diastolic Blood Pressure (mmHg),3,0.00864207,-0.100950091,0.118234232,ARTd
ARTd,-698.881,-0.177292897,Diastolic Blood Pressure (mmHg),3,0.008768903,-0.100604675,0.118142482,ARTd
ARTd,-698.5336667,0.379948312,Diastolic Blood Pressure (mmHg),3,0.009061916,-0.099806759,0.117930592,ARTd
ARTd,-697.1898333,0.340569933,Diastolic Blood Pressure (mmHg),3,0.010182376,-0.096756602,0.117121355,ARTd
ARTd,-696.5516667,-0.056185808,Diastolic Blood Pressure (mmHg),3,0.010707116,-0.095328764,0.116742995,ARTd
ARTd,-695.8718333,0.218719855,Diastolic Blood Pressure (mmHg),3,0.011260906,-0.093822365,0.116344178,ARTd
ARTd,-694.9013333,-0.474488208,Diastolic Blood Pressure (mmHg),3,0.01204216,-0.09169818,0.1157825,ARTd
ARTd,-694.481,-0.249734254,Diastolic Blood Pressure (mmHg),3,0.012377129,-0.090787791,0.115542049,ARTd
ARTd,-693.4453333,-0.920281175,Diastolic Blood Pressure (mmHg),3,0.013193694,-0.088569544,0.114956931,ARTd
ARTd,-692.7276667,-0.027952253,Diastolic Blood Pressure (mmHg),3,0.013752216,-0.087053215,0.114557648,ARTd
ARTd,-692.0318333,0.157051828,Diastolic Blood Pressure (mmHg),3,0.01428803,-0.085599326,0.114175386,ARTd
ARTd,-690.95,-0.160782046,Diastolic Blood Pressure (mmHg),3,0.015109909,-0.08337089,0.113590707,ARTd
ARTd,-689.5353333,0.008454172,Diastolic Blood Pressure (mmHg),3,0.016164153,-0.080515771,0.112844077,ARTd
ARTd,-687.585,-0.437338794,Diastolic Blood Pressure (mmHg),3,0.017579571,-0.076689531,0.111848672,ARTd
ARTd,-687.111,-0.214442311,Diastolic Blood Pressure (mmHg),3,0.01791692,-0.07577895,0.111612791,ARTd
ARTd,-686.5233333,-0.363039967,Diastolic Blood Pressure (mmHg),3,0.018331563,-0.074660536,0.111323662,ARTd
ARTd,-686.2116667,0.280016388,Diastolic Blood Pressure (mmHg),3,0.018549849,-0.074072125,0.111171823,ARTd
ARTd,-686.0375,-0.660235278,Diastolic Blood Pressure (mmHg),3,0.018671344,-0.073744738,0.111087427,ARTd
ARTd,-685.607,0.714293037,Diastolic Blood Pressure (mmHg),3,0.018970152,-0.072939918,0.110880222,ARTd
ARTd,-685.3508333,-0.508294175,Diastolic Blood Pressure (mmHg),3,0.019146942,-0.072463994,0.110757878,ARTd
