TimeFromTransfusion,DonorHb_Cat,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,base_lower_full,base_upper_full,Delta_Base,Delta_Full,Delta_Lower,Delta_Upper,VitalParam,CompFactor,CompName,VitalName,YLabel,DeltaYLabel
-720,,,,,,,,,,,,,,SpO2,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
-719,,,,,,,,,,,,,,SpO2,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
-718,,,,,,,,,,,,,,SpO2,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
-717,,,,,,,,,,,,,,SpO2,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
-716,,,,,,,,,,,,,,SpO2,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
-715,,,,,,,,,,,,,,SpO2,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
-714,,,,,,,,,,,,,,SpO2,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
-713,,,,,,,,,,,,,,SpO2,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
-712,,,,,,,,,,,,,,SpO2,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
-711,,,,,,,,,,,,,,SpO2,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
-710,,,,,,,,,,,,,,SpO2,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
-709,,,,,,,,,,,,,,SpO2,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
-708,,,,,,,,,,,,,,SpO2,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
-707,,,,,,,,,,,,,,SpO2,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
-706,,,,,,,,,,,,,,SpO2,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
-705,,,,,,,,,,,,,,SpO2,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
-704,,,,,,,,,,,,,,SpO2,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
-703,,,,,,,,,,,,,,SpO2,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
-702,,,,,,,,,,,,,,SpO2,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
-701,,,,,,,,,,,,,,SpO2,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
-700,,,,,,,,,,,,,,SpO2,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
-699,,,,,,,,,,,,,,SpO2,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
-698,,,,,,,,,,,,,,SpO2,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
-697,,,,,,,,,,,,,,SpO2,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
-696,,,,,,,,,,,,,,SpO2,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
-695,,,,,,,,,,,,,,SpO2,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
-694,,,,,,,,,,,,,,SpO2,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
-693,,,,,,,,,,,,,,SpO2,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
-692,,,,,,,,,,,,,,SpO2,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
-691,,,,,,,,,,,,,,SpO2,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
-690,,,,,,,,,,,,,,SpO2,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
-689,,,,,,,,,,,,,,SpO2,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
-688,,,,,,,,,,,,,,SpO2,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
-687,,,,,,,,,,,,,,SpO2,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
-686,,,,,,,,,,,,,,SpO2,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
-685,,,,,,,,,,,,,,SpO2,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
