DonorParity,TimeFromTransfusion,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,base_lower_full,base_upper_full,Delta_Base,Delta_Full,Delta_Lower,Delta_Upper,VitalParam,CompFactor,CompName,VitalName,YLabel,DeltaYLabel
0,-720,95.48920293,0.0881493746,95.523817122,0.0881256967,95.351093907,95.696540337,95.303986462,95.649081488,0.0561729865,0.0472831469,-0.125440068,0.2200063621,SpO2,DonorParity,Donor Parity,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
0,-719,95.48895353,0.0881479145,95.523577656,0.088124242,95.350857292,95.69629802,95.303986462,95.649081488,0.0559235856,0.0470436811,-0.125676683,0.2197640452,SpO2,DonorParity,Donor Parity,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
0,-718,95.488704129,0.0881464635,95.52333819,0.0881227965,95.350620659,95.696055721,95.303986462,95.649081488,0.0556741848,0.0468042153,-0.125913316,0.2195217463,SpO2,DonorParity,Donor Parity,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
0,-717,95.488454728,0.0881450219,95.523098724,0.0881213603,95.350384008,95.69581344,95.303986462,95.649081488,0.055424784,0.0465647495,-0.126149967,0.2192794655,SpO2,DonorParity,Donor Parity,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
0,-716,95.488205327,0.0881435894,95.522859259,0.0881199332,95.35014734,95.695571178,95.303986462,95.649081488,0.0551753831,0.0463252837,-0.126386635,0.2190372027,SpO2,DonorParity,Donor Parity,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
0,-715,95.487955926,0.0881421662,95.522619793,0.0881185154,95.349910653,95.695328933,95.303986462,95.649081488,0.0549259823,0.0460858179,-0.126623322,0.218794958,SpO2,DonorParity,Donor Parity,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
0,-714,95.487706525,0.0881407522,95.522380327,0.0881171067,95.349673948,95.695086706,95.303986462,95.649081488,0.0546765814,0.0458463521,-0.126860027,0.2185527313,SpO2,DonorParity,Donor Parity,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
0,-713,95.487457124,0.0881393474,95.522140861,0.0881157073,95.349437225,95.694844498,95.303986462,95.649081488,0.0544271806,0.0456068863,-0.12709675,0.2183105227,SpO2,DonorParity,Donor Parity,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
0,-712,95.487207724,0.0881379519,95.521901395,0.0881143171,95.349200484,95.694602307,95.303986462,95.649081488,0.0541777797,0.0453674205,-0.127333491,0.2180683321,SpO2,DonorParity,Donor Parity,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
0,-711,95.486958323,0.0881365656,95.52166193,0.0881129361,95.348963725,95.694360135,95.303986462,95.649081488,0.0539283789,0.0451279547,-0.12757025,0.2178261596,SpO2,DonorParity,Donor Parity,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
0,-710,95.486708922,0.0881351885,95.521422464,0.0881115643,95.348726947,95.69411798,95.303986462,95.649081488,0.053678978,0.0448884889,-0.127807027,0.2175840052,SpO2,DonorParity,Donor Parity,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
0,-709,95.486459521,0.0881338206,95.521182998,0.0881102017,95.348490152,95.693875844,95.303986462,95.649081488,0.0534295772,0.0446490231,-0.128043823,0.2173418688,SpO2,DonorParity,Donor Parity,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
0,-708,95.48621012,0.088132462,95.520943532,0.0881088484,95.348253339,95.693633725,95.303986462,95.649081488,0.0531801763,0.0444095573,-0.128280636,0.2170997504,SpO2,DonorParity,Donor Parity,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
0,-707,95.485960719,0.0881311126,95.520704066,0.0881075042,95.348016508,95.693391625,95.303986462,95.649081488,0.0529307755,0.0441700915,-0.128517467,0.2168576501,SpO2,DonorParity,Donor Parity,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
0,-706,95.485711319,0.0881297725,95.520464601,0.0881061693,95.347779658,95.693149543,95.303986462,95.649081488,0.0526813747,0.0439306257,-0.128754317,0.2166155679,SpO2,DonorParity,Donor Parity,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
0,-705,95.485461918,0.0881284415,95.520225135,0.0881048435,95.347542791,95.692907479,95.303986462,95.649081488,0.0524319738,0.0436911599,-0.128991184,0.2163735037,SpO2,DonorParity,Donor Parity,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
0,-704,95.485212517,0.0881271199,95.519985669,0.088103527,95.347305905,95.692665432,95.303986462,95.649081488,0.052182573,0.0434516941,-0.129228069,0.2161314576,SpO2,DonorParity,Donor Parity,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
0,-703,95.484963116,0.0881258074,95.519746203,0.0881022197,95.347069002,95.692423404,95.303986462,95.649081488,0.0519331721,0.0432122283,-0.129464973,0.2158894295,SpO2,DonorParity,Donor Parity,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
0,-702,95.484713715,0.0881245042,95.519506737,0.0881009217,95.34683208,95.692181394,95.303986462,95.649081488,0.0516837713,0.0429727625,-0.129701895,0.2156474195,SpO2,DonorParity,Donor Parity,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
0,-701,95.484464314,0.0881232102,95.519267272,0.0880996328,95.346595141,95.691939403,95.303986462,95.649081488,0.0514343704,0.0427332967,-0.129938834,0.2154054276,SpO2,DonorParity,Donor Parity,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
