TimeFromTransfusion,Storage_Cat,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,base_lower_full,base_upper_full,Delta_Base,Delta_Full,Delta_Lower,Delta_Upper,VitalParam,CompFactor,CompName,VitalName,YLabel,DeltaYLabel
-720,1,94.546888038,0.4461231627,94.36657392,0.4426931777,93.498908409,95.234239431,93.374889204,95.101937295,0.1401168536,0.1281606702,-0.739504841,0.9958261814,SpO2,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
-719,1,94.544208265,0.4460920235,94.363843377,0.4426619292,93.496239112,95.231447642,93.374889204,95.101937295,0.1374370806,0.1254301269,-0.742174138,0.993034392,SpO2,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
-718,1,94.541528492,0.4460610738,94.361112833,0.4426308709,93.493569442,95.228656225,93.374889204,95.101937295,0.1347573077,0.1226995836,-0.744843808,0.9902429753,SpO2,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
-717,1,94.538848719,0.4460303134,94.35838229,0.4426000028,93.490899399,95.225865181,93.374889204,95.101937295,0.1320775347,0.1199690403,-0.747513851,0.9874519313,SpO2,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
-716,1,94.536168946,0.4459997425,94.355651747,0.4425693249,93.488228983,95.22307451,93.374889204,95.101937295,0.1293977617,0.1172384971,-0.750184266,0.9846612603,SpO2,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
-715,1,94.533489173,0.4459693611,94.352921203,0.4425388373,93.485558195,95.220284212,93.374889204,95.101937295,0.1267179887,0.1145079538,-0.752855055,0.9818709623,SpO2,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
-714,1,94.5308094,0.4459391692,94.35019066,0.44250854,93.482887033,95.217494287,93.374889204,95.101937295,0.1240382158,0.1117774105,-0.755526216,0.9790810372,SpO2,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
-713,1,94.528129627,0.4459091668,94.347460117,0.4424784331,93.480215499,95.214704735,93.374889204,95.101937295,0.1213584428,0.1090468672,-0.758197751,0.9762914853,SpO2,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
-712,1,94.525449854,0.4458793541,94.344729573,0.4424485166,93.477543591,95.211915556,93.374889204,95.101937295,0.1186786698,0.1063163239,-0.760869659,0.9735023066,SpO2,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
-711,1,94.522770081,0.445849731,94.34199903,0.4424187906,93.47487131,95.209126751,93.374889204,95.101937295,0.1159988969,0.1035857806,-0.76354194,0.9707135011,SpO2,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
-710,1,94.520090308,0.4458202976,94.339268487,0.442389255,93.472198655,95.206338319,93.374889204,95.101937295,0.1133191239,0.1008552373,-0.766214594,0.967925069,SpO2,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
-709,1,94.517410535,0.4457910539,94.336537944,0.44235991,93.469525627,95.20355026,93.374889204,95.101937295,0.1106393509,0.098124694,-0.768887622,0.9651370103,SpO2,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
-708,1,94.514730763,0.4457619999,94.3338074,0.4423307555,93.466852226,95.200762575,93.374889204,95.101937295,0.107959578,0.0953941507,-0.771561024,0.962349325,SpO2,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
-707,1,94.51205099,0.4457331358,94.331076857,0.4423017916,93.464178451,95.197975263,93.374889204,95.101937295,0.105279805,0.0926636074,-0.774234799,0.9595620134,SpO2,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
-706,1,94.509371217,0.4457044614,94.328346314,0.4422730183,93.461504302,95.195188325,93.374889204,95.101937295,0.102600032,0.0899330641,-0.776908947,0.9567750753,SpO2,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
-705,1,94.506691444,0.4456759769,94.32561577,0.4422444358,93.45882978,95.192401761,93.374889204,95.101937295,0.099920259,0.0872025208,-0.779583469,0.953988511,SpO2,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
-704,1,94.504011671,0.4456476824,94.322885227,0.4422160439,93.456154884,95.18961557,93.374889204,95.101937295,0.0972404861,0.0844719775,-0.782258365,0.9512023205,SpO2,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
