TimeFromTransfusion,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,Delta_Base,Delta_Full,Delta_Lower,Delta_Upper,VitalParam,CompFactor,CompName,VitalName,YLabel,DeltaYLabel,Transfusion
-720,94.792490206,0.4325101541,94.758363307,0.4306728558,93.914257346,95.602469268,-0.025129794,-0.033396693,-0.877502654,0.8107092681,SpO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%),1
-719,94.792261918,0.4325049231,94.758142073,0.4306675752,93.914046462,95.602237684,-0.025358082,-0.033617927,-0.877713538,0.8104776841,SpO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%),1
-718,94.79203363,0.4324997248,94.757920839,0.4306623272,93.913835513,95.602006164,-0.02558637,-0.033839161,-0.877924487,0.8102461642,SpO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%),1
-717,94.791805342,0.4324945591,94.757699605,0.4306571119,93.913624501,95.601774708,-0.025814658,-0.034060395,-0.878135499,0.8100147082,SpO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%),1
-716,94.791577053,0.432489426,94.75747837,0.4306519293,93.913413425,95.601543316,-0.026042947,-0.03428163,-0.878346575,0.8097833163,SpO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%),1
-715,94.791348765,0.4324843256,94.757257136,0.4306467793,93.913202284,95.601311988,-0.026271235,-0.034502864,-0.878557716,0.8095519884,SpO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%),1
-714,94.791120477,0.4324792578,94.757035902,0.430641662,93.91299108,95.601080724,-0.026499523,-0.034724098,-0.87876892,0.8093207245,SpO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%),1
-713,94.790892189,0.4324742226,94.756814668,0.4306365774,93.912779812,95.600849525,-0.026727811,-0.034945332,-0.878980188,0.8090895246,SpO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%),1
-712,94.790663901,0.4324692201,94.756593434,0.4306315254,93.912568479,95.600618389,-0.026956099,-0.035166566,-0.879191521,0.8088583888,SpO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%),1
-711,94.790435613,0.4324642502,94.7563722,0.4306265062,93.912357083,95.600387317,-0.027184387,-0.0353878,-0.879402917,0.808627317,SpO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%),1
-710,94.790207324,0.432459313,94.756150966,0.4306215195,93.912145622,95.600156309,-0.027412676,-0.035609034,-0.879614378,0.8083963092,SpO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%),1
-709,94.789979036,0.4324544084,94.755929732,0.4306165656,93.911934098,95.599925365,-0.027640964,-0.035830268,-0.879825902,0.8081653655,SpO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%),1
-708,94.789750748,0.4324495365,94.755708497,0.4306116443,93.911722509,95.599694486,-0.027869252,-0.036051503,-0.880037491,0.8079344858,SpO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%),1
-707,94.78952246,0.4324446971,94.755487263,0.4306067557,93.911510856,95.59946367,-0.02809754,-0.036272737,-0.880249144,0.8077036701,SpO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%),1
-706,94.789294172,0.4324398905,94.755266029,0.4306018998,93.91129914,95.599232919,-0.028325828,-0.036493971,-0.88046086,0.8074729185,SpO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%),1
-705,94.789065884,0.4324351165,94.755044795,0.4305970765,93.911087359,95.599002231,-0.028554116,-0.036715205,-0.880672641,0.8072422309,SpO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%),1
-704,94.788837595,0.4324303751,94.754823561,0.430592286,93.910875514,95.598771607,-0.028782405,-0.036936439,-0.880884486,0.8070116074,SpO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%),1
