wdy_donation,TimeFromTransfusion,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,base_lower_full,base_upper_full,Delta_Base,Delta_Full,Delta_Lower,Delta_Upper,VitalParam,CompFactor,CompName,VitalName,YLabel,DeltaYLabel
2,-720,94.255460417,0.431790198,94.117886342,0.4284864982,93.278065576,94.957707107,,,,,,,SpO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
2,-719,94.256718442,0.4317658478,94.11906948,0.4284619536,93.279296821,94.958842138,,,,,,,SpO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
2,-718,94.257976467,0.4317416489,94.120252618,0.428437561,93.280527767,94.959977468,,,,,,,SpO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
2,-717,94.259234492,0.4317176013,94.121435756,0.4284133205,93.281758416,94.961113095,,,,,,,SpO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
2,-716,94.260492517,0.431693705,94.122618894,0.4283892321,93.282988767,94.962249021,,,,,,,SpO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
2,-715,94.261750542,0.4316699599,94.123802032,0.4283652959,93.284218819,94.963385244,,,,,,,SpO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
2,-714,94.263008567,0.4316463662,94.12498517,0.4283415117,93.285448573,94.964521766,,,,,,,SpO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
2,-713,94.264266592,0.4316229239,94.126168308,0.4283178798,93.286678029,94.965658586,,,,,,,SpO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
2,-712,94.265524617,0.431599633,94.127351446,0.4282944001,93.287907187,94.966795705,,,,,,,SpO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
2,-711,94.266782642,0.4315764935,94.128534584,0.4282710726,93.289136046,94.967933122,,,,,,,SpO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
2,-710,94.268040667,0.4315535055,94.129717722,0.4282478973,93.290364607,94.969070837,,,,,,,SpO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
2,-709,94.269298692,0.4315306689,94.13090086,0.4282248743,93.291592869,94.970208851,,,,,,,SpO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
2,-708,94.270556717,0.4315079838,94.132083998,0.4282020036,93.292820833,94.971347163,,,,,,,SpO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
2,-707,94.271814742,0.4314854502,94.133267136,0.4281792853,93.294048499,94.972485773,,,,,,,SpO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
2,-706,94.273072767,0.4314630682,94.134450274,0.4281567193,93.295275865,94.973624683,,,,,,,SpO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
2,-705,94.274330792,0.4314408377,94.135633412,0.4281343056,93.296502933,94.974763891,,,,,,,SpO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
2,-704,94.275588817,0.4314187588,94.13681655,0.4281120444,93.297729703,94.975903397,,,,,,,SpO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
2,-703,94.276846842,0.4313968315,94.137999688,0.4280899356,93.298956173,94.977043203,,,,,,,SpO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
2,-702,94.278104867,0.4313750558,94.139182826,0.4280679792,93.300182345,94.978183307,,,,,,,SpO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
2,-701,94.279362892,0.4313534318,94.140365964,0.4280461753,93.301408218,94.97932371,,,,,,,SpO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
2,-700,94.280620917,0.4313319595,94.141549102,0.4280245239,93.302633792,94.980464412,,,,,,,SpO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
2,-699,94.281878942,0.4313106389,94.14273224,0.428003025,93.303859068,94.981605413,,,,,,,SpO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
2,-698,94.283136967,0.43128947,94.143915378,0.4279816786,93.305084044,94.982746713,,,,,,,SpO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
2,-697,94.284394992,0.4312684529,94.145098516,0.4279604848,93.306308721,94.983888311,,,,,,,SpO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
2,-696,94.285653017,0.4312475875,94.146281654,0.4279394436,93.307533099,94.985030209,,,,,,,SpO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
2,-695,94.286911043,0.4312268739,94.147464792,0.427918555,93.308757178,94.986172406,,,,,,,SpO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
2,-694,94.288169068,0.4312063121,94.14864793,0.427897819,93.309980958,94.987314902,,,,,,,SpO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
2,-693,94.289427093,0.4311859022,94.149831068,0.4278772357,93.311204439,94.988457698,,,,,,,SpO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
2,-692,94.290685118,0.4311656441,94.151014206,0.427856805,93.312427621,94.989600792,,,,,,,SpO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
2,-691,94.291943143,0.4311455379,94.152197344,0.4278365271,93.313650503,94.990744186,,,,,,,SpO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
2,-690,94.293201168,0.4311255835,94.153380482,0.4278164018,93.314873086,94.991887879,,,,,,,SpO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
2,-689,94.294459193,0.4311057811,94.15456362,0.4277964293,93.316095369,94.993031872,,,,,,,SpO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
