TimeFromTransfusion,DonorHb_Cat,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,base_lower_full,base_upper_full,Delta_Base,Delta_Full,Delta_Lower,Delta_Upper,VitalParam,CompFactor,CompName,VitalName,YLabel,DeltaYLabel
-720,1,11.930064977,1.6708996189,9.0349604574,1.6836817336,5.7349885909,12.334932324,5.699616192,12.137913024,0.4097299485,0.1161958492,-3.183776017,3.4161677157,VE,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
-719,1,11.93019251,1.6702637227,9.0346908595,1.6830647345,5.7359282949,12.333453424,5.699616192,12.137913024,0.4098574816,0.1159262512,-3.182836313,3.4146888158,VE,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
-718,1,11.930320043,1.6696315688,9.0344212615,1.6824513803,5.7368608552,12.331981668,5.699616192,12.137913024,0.4099850147,0.1156566533,-3.181903753,3.4132170597,VE,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
-717,1,11.930447576,1.6690031617,9.0341516636,1.6818416747,5.737786264,12.330517063,5.699616192,12.137913024,0.4101125478,0.1153870553,-3.180978344,3.411752455,VE,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
-716,1,11.930575109,1.6683785055,9.0338820657,1.681235622,5.7387045135,12.329059618,5.699616192,12.137913024,0.4102400809,0.1151174574,-3.180060095,3.4102950095,VE,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
-715,1,11.930702642,1.6677576044,9.0336124677,1.6806332259,5.739615596,12.327609339,5.699616192,12.137913024,0.4103676139,0.1148478594,-3.179149012,3.4088447311,VE,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
-714,1,11.930830175,1.6671404626,9.0333428698,1.6800344904,5.7405195038,12.326166236,5.699616192,12.137913024,0.410495147,0.1145782615,-3.178245104,3.4074016274,VE,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
-713,1,11.930957709,1.6665270843,9.0330732718,1.6794394195,5.7414162292,12.324730314,5.699616192,12.137913024,0.4106226801,0.1143086636,-3.177348379,3.4059657062,VE,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
-712,1,11.931085242,1.6659174737,9.0328036739,1.678848017,5.7423057646,12.323301583,5.699616192,12.137913024,0.4107502132,0.1140390656,-3.176458844,3.4045369749,VE,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
-711,1,11.931212775,1.6653116349,9.0325340759,1.6782602868,5.7431881024,12.32188005,5.699616192,12.137913024,0.4108777463,0.1137694677,-3.175576506,3.4031154413,VE,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
