DonorParity,TimeFromTransfusion,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,base_lower_full,base_upper_full,Delta_Base,Delta_Full,Delta_Lower,Delta_Upper,VitalParam,CompFactor,CompName,VitalName,YLabel,DeltaYLabel
0,-720,11.95373346,1.5891813496,9.1232861953,1.6018215262,5.9837583086,12.262814082,,,,,,,VE,DonorParity,Donor Parity,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
0,-719,11.958504365,1.5891513833,9.1282811786,1.6017926352,5.9888099176,12.26775244,,,,,,,VE,DonorParity,Donor Parity,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
0,-718,11.96327527,1.5891216062,9.1332761619,1.6017639282,5.9938611657,12.272691158,,,,,,,VE,DonorParity,Donor Parity,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
0,-717,11.968046176,1.5890920182,9.1382711451,1.6017354054,5.998912053,12.277630237,,,,,,,VE,DonorParity,Donor Parity,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
0,-716,11.972817081,1.5890626193,9.1432661284,1.6017070668,6.0039625793,12.282569678,,,,,,,VE,DonorParity,Donor Parity,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
0,-715,11.977587986,1.5890334095,9.1482611117,1.6016789122,6.0090127446,12.287509479,,,,,,,VE,DonorParity,Donor Parity,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
0,-714,11.982358892,1.5890043889,9.1532560949,1.6016509419,6.014062549,12.292449641,,,,,,,VE,DonorParity,Donor Parity,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
0,-713,11.987129797,1.5889755575,9.1582510782,1.6016231558,6.0191119924,12.297390164,,,,,,,VE,DonorParity,Donor Parity,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
0,-712,11.991900702,1.5889469152,9.1632460615,1.6015955538,6.0241610748,12.302331048,,,,,,,VE,DonorParity,Donor Parity,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
0,-711,11.996671608,1.588918462,9.1682410447,1.601568136,6.0292097962,12.307272293,,,,,,,VE,DonorParity,Donor Parity,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
0,-710,12.001442513,1.5888901981,9.173236028,1.6015409024,6.0342581565,12.312213899,,,,,,,VE,DonorParity,Donor Parity,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
0,-709,12.006213418,1.5888621233,9.1782310113,1.6015138531,6.0393061558,12.317155867,,,,,,,VE,DonorParity,Donor Parity,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
0,-708,12.010984324,1.5888342378,9.1832259945,1.6014869879,6.044353794,12.322098195,,,,,,,VE,DonorParity,Donor Parity,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
0,-707,12.015755229,1.5888065414,9.1882209778,1.601460307,6.0494010711,12.327040884,,,,,,,VE,DonorParity,Donor Parity,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
0,-706,12.020526134,1.5887790343,9.193215961,1.6014338104,6.0544479872,12.331983935,,,,,,,VE,DonorParity,Donor Parity,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
0,-705,12.02529704,1.5887517164,9.1982109443,1.601407498,6.059494542,12.336927347,,,,,,,VE,DonorParity,Donor Parity,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
0,-704,12.030067945,1.5887245878,9.2032059276,1.6013813698,6.0645407358,12.341871119,,,,,,,VE,DonorParity,Donor Parity,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
0,-703,12.03483885,1.5886976484,9.2082009108,1.601355426,6.0695865684,12.346815253,,,,,,,VE,DonorParity,Donor Parity,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
0,-702,12.039609756,1.5886708983,9.2131958941,1.6013296664,6.0746320397,12.351759748,,,,,,,VE,DonorParity,Donor Parity,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
0,-701,12.044380661,1.5886443374,9.2181908774,1.6013040911,6.0796771499,12.356704605,,,,,,,VE,DonorParity,Donor Parity,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
0,-700,12.049151566,1.5886179659,9.2231858606,1.6012787,6.0847218989,12.361649822,,,,,,,VE,DonorParity,Donor Parity,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
0,-699,12.053922471,1.5885917836,9.2281808439,1.6012534933,6.0897662867,12.366595401,,,,,,,VE,DonorParity,Donor Parity,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
0,-698,12.058693377,1.5885657906,9.2331758272,1.6012284709,6.0948103132,12.371541341,,,,,,,VE,DonorParity,Donor Parity,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
0,-697,12.063464282,1.5885399869,9.2381708104,1.6012036329,6.0998539784,12.376487642,,,,,,,VE,DonorParity,Donor Parity,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
0,-696,12.068235187,1.5885143726,9.2431657937,1.6011789791,6.1048972823,12.381434305,,,,,,,VE,DonorParity,Donor Parity,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
0,-695,12.073006093,1.5884889476,9.248160777,1.6011545097,6.109940225,12.386381329,,,,,,,VE,DonorParity,Donor Parity,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
0,-694,12.077776998,1.5884637119,9.2531557602,1.6011302247,6.1149828063,12.391328714,,,,,,,VE,DonorParity,Donor Parity,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
0,-693,12.082547903,1.5884386655,9.2581507435,1.601106124,6.1200250263,12.396276461,,,,,,,VE,DonorParity,Donor Parity,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
0,-692,12.087318809,1.5884138085,9.2631457268,1.6010822077,6.1250668849,12.401224569,,,,,,,VE,DonorParity,Donor Parity,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
0,-691,12.092089714,1.5883891409,9.26814071,1.6010584757,6.1301083822,12.406173038,,,,,,,VE,DonorParity,Donor Parity,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
0,-690,12.096860619,1.5883646627,9.2731356933,1.6010349281,6.1351495181,12.411121868,,,,,,,VE,DonorParity,Donor Parity,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
0,-689,12.101631525,1.5883403738,9.2781306765,1.6010115649,6.1401902926,12.41607106,,,,,,,VE,DonorParity,Donor Parity,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
0,-688,12.10640243,1.5883162743,9.2831256598,1.6009883861,6.1452307057,12.421020614,,,,,,,VE,DonorParity,Donor Parity,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
0,-687,12.111173335,1.5882923642,9.2881206431,1.6009653918,6.1502707573,12.425970529,,,,,,,VE,DonorParity,Donor Parity,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
0,-686,12.115944241,1.5882686435,9.2931156263,1.6009425818,6.1553104475,12.430920805,,,,,,,VE,DonorParity,Donor Parity,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
0,-685,12.120715146,1.5882451123,9.2981106096,1.6009199562,6.1603497763,12.435871443,,,,,,,VE,DonorParity,Donor Parity,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
0,-684,12.125486051,1.5882217705,9.3031055929,1.6008975151,6.1653887436,12.440822442,,,,,,,VE,DonorParity,Donor Parity,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
0,-683,12.130256957,1.588198618,9.3081005761,1.6008752584,6.1704273493,12.445773803,,,,,,,VE,DonorParity,Donor Parity,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
0,-682,12.135027862,1.5881756551,9.3130955594,1.6008531862,6.1754655936,12.450725525,,,,,,,VE,DonorParity,Donor Parity,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
0,-681,12.139798767,1.5881528816,9.3180905427,1.6008312984,6.1805034764,12.455677609,,,,,,,VE,DonorParity,Donor Parity,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
0,-680,12.144569673,1.5881302975,9.3230855259,1.6008095951,6.1855409976,12.460630054,,,,,,,VE,DonorParity,Donor Parity,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
0,-679,12.149340578,1.5881079029,9.3280805092,1.6007880762,6.1905781572,12.465582861,,,,,,,VE,DonorParity,Donor Parity,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
0,-678,12.154111483,1.5880856978,9.3330754925,1.6007667418,6.1956149553,12.47053603,,,,,,,VE,DonorParity,Donor Parity,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
0,-677,12.158882388,1.5880636822,9.3380704757,1.6007455919,6.2006513919,12.47548956,,,,,,,VE,DonorParity,Donor Parity,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
0,-676,12.163653294,1.588041856,9.343065459,1.6007246265,6.2056874668,12.480443451,,,,,,,VE,DonorParity,Donor Parity,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
0,-675,12.168424199,1.5880202194,9.3480604423,1.6007038456,6.2107231801,12.485397704,,,,,,,VE,DonorParity,Donor Parity,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
