DonorSex,TimeFromTransfusion,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,base_lower_full,base_upper_full,Delta_Base,Delta_Full,Delta_Lower,Delta_Upper,VitalParam,CompFactor,CompName,VitalName,YLabel,DeltaYLabel
1,-720,12.017152186,1.5859863361,9.2959228335,1.5971775029,6.1654970659,12.426348601,6.9789200745,13.229516325,-0.968964617,-0.808295366,-3.938721134,2.3221304013,VE,DonorSex,Donor Sex,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
1,-719,12.023195678,1.5859415639,9.3018029013,1.5971342138,6.1714619794,12.432143823,6.9789200745,13.229516325,-0.962921125,-0.802415298,-3.93275622,2.3279256236,VE,DonorSex,Donor Sex,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
1,-718,12.029239171,1.5858970705,9.3076829692,1.5970911964,6.1774263602,12.437939578,6.9789200745,13.229516325,-0.956877632,-0.796535231,-3.92679184,2.3337213784,VE,DonorSex,Donor Sex,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
1,-717,12.035282663,1.5858528558,9.313563037,1.5970484507,6.1833902084,12.443735866,6.9789200745,13.229516325,-0.95083414,-0.790655163,-3.920827991,2.3395176659,VE,DonorSex,Donor Sex,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
1,-716,12.041326156,1.5858089198,9.3194431049,1.5970059768,6.1893535239,12.449532686,6.9789200745,13.229516325,-0.944790647,-0.784775095,-3.914864676,2.345314486,VE,DonorSex,Donor Sex,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
1,-715,12.047369648,1.5857652626,9.3253231727,1.5969637747,6.1953163067,12.455330039,6.9789200745,13.229516325,-0.938747155,-0.778895027,-3.908901893,2.3511118389,VE,DonorSex,Donor Sex,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
1,-714,12.053413141,1.5857218843,9.3312032405,1.5969218445,6.2012785568,12.461127924,6.9789200745,13.229516325,-0.932703662,-0.773014959,-3.902939643,2.3569097245,VE,DonorSex,Donor Sex,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
1,-713,12.059456633,1.5856787848,9.3370833084,1.5968801861,6.207240274,12.466926343,6.9789200745,13.229516325,-0.92666017,-0.767134891,-3.896977926,2.362708143,VE,DonorSex,Donor Sex,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
1,-712,12.065500126,1.5856359641,9.3429633762,1.5968387995,6.2132014584,12.472725294,6.9789200745,13.229516325,-0.920616677,-0.761254824,-3.891016741,2.3685070943,VE,DonorSex,Donor Sex,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
1,-711,12.071543618,1.5855934223,9.348843444,1.5967976848,6.2191621099,12.478524778,6.9789200745,13.229516325,-0.914573185,-0.755374756,-3.88505609,2.3743065784,VE,DonorSex,Donor Sex,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
1,-710,12.077587111,1.5855511594,9.3547235119,1.5967568421,6.2251222285,12.484324795,6.9789200745,13.229516325,-0.908529692,-0.749494688,-3.879095971,2.3801065955,VE,DonorSex,Donor Sex,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
1,-709,12.083630603,1.5855091754,9.3606035797,1.5967162712,6.2310818141,12.490125345,6.9789200745,13.229516325,-0.9024862,-0.74361462,-3.873136386,2.3859071456,VE,DonorSex,Donor Sex,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
1,-708,12.089674096,1.5854674704,9.3664836476,1.5966759724,6.2370408666,12.495926428,6.9789200745,13.229516325,-0.896442707,-0.737734552,-3.867177333,2.3917082287,VE,DonorSex,Donor Sex,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
1,-707,12.095717588,1.5854260443,9.3723637154,1.5966359454,6.2429993862,12.501728045,6.9789200745,13.229516325,-0.890399215,-0.731854484,-3.861218814,2.3975098448,VE,DonorSex,Donor Sex,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
1,-706,12.101761081,1.5853848972,9.3782437832,1.5965961905,6.2489573726,12.507530194,6.9789200745,13.229516325,-0.884355722,-0.725974417,-3.855260827,2.4033119941,VE,DonorSex,Donor Sex,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
1,-705,12.107804573,1.5853440291,9.3841238511,1.5965567076,6.2549148259,12.513332876,6.9789200745,13.229516325,-0.87831223,-0.720094349,-3.849303374,2.4091146764,VE,DonorSex,Donor Sex,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
1,-704,12.113848066,1.58530344,9.3900039189,1.5965174967,6.2608717461,12.519136092,6.9789200745,13.229516325,-0.872268737,-0.714214281,-3.843346454,2.414917892,VE,DonorSex,Donor Sex,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
1,-703,12.119891558,1.58526313,9.3958839867,1.5964785579,6.266828133,12.52493984,6.9789200745,13.229516325,-0.866225245,-0.708334213,-3.837390067,2.4207216407,VE,DonorSex,Donor Sex,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
1,-702,12.125935051,1.5852230991,9.4017640546,1.5964398911,6.2727839867,12.530744122,6.9789200745,13.229516325,-0.860181752,-0.702454145,-3.831434213,2.4265259227,VE,DonorSex,Donor Sex,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
1,-701,12.131978543,1.5851833472,9.4076441224,1.5964014964,6.2787393071,12.536548938,6.9789200745,13.229516325,-0.854138259,-0.696574077,-3.825478893,2.432330738,VE,DonorSex,Donor Sex,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
1,-700,12.138022036,1.5851438745,9.4135241903,1.5963633739,6.2846940941,12.542354286,6.9789200745,13.229516325,-0.848094767,-0.69069401,-3.819524106,2.4381360866,VE,DonorSex,Donor Sex,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
1,-699,12.144065528,1.5851046809,9.4194042581,1.5963255234,6.2906483478,12.548160168,6.9789200745,13.229516325,-0.842051274,-0.684813942,-3.813569852,2.4439419686,VE,DonorSex,Donor Sex,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
1,-698,12.150109021,1.5850657664,9.4252843259,1.5962879451,6.2966020681,12.553966584,6.9789200745,13.229516325,-0.836007782,-0.678933874,-3.807616132,2.449748384,VE,DonorSex,Donor Sex,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
1,-697,12.156152513,1.5850271312,9.4311643938,1.596250639,6.302555255,12.559773533,6.9789200745,13.229516325,-0.829964289,-0.673053806,-3.801662945,2.4555553328,VE,DonorSex,Donor Sex,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
1,-696,12.162196006,1.5849887751,9.4370444616,1.5962136051,6.3085079084,12.565581015,6.9789200745,13.229516325,-0.823920797,-0.667173738,-3.795710291,2.4613628151,VE,DonorSex,Donor Sex,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
1,-695,12.168239499,1.5849506982,9.4429245294,1.5961768433,6.3144600282,12.571389031,6.9789200745,13.229516325,-0.817877304,-0.66129367,-3.789758172,2.4671708309,VE,DonorSex,Donor Sex,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
1,-694,12.174282991,1.5849129006,9.4488045973,1.5961403538,6.3204116146,12.57719758,6.9789200745,13.229516325,-0.811833812,-0.655413602,-3.783806585,2.4729793802,VE,DonorSex,Donor Sex,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
1,-693,12.180326484,1.5848753823,9.4546846651,1.5961041366,6.3263626673,12.583006663,6.9789200745,13.229516325,-0.805790319,-0.649533535,-3.777855532,2.4787884632,VE,DonorSex,Donor Sex,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
1,-692,12.186369976,1.5848381432,9.460564733,1.5960681916,6.3323131864,12.58881628,6.9789200745,13.229516325,-0.799746827,-0.643653467,-3.771905013,2.4845980798,VE,DonorSex,Donor Sex,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
1,-691,12.192413469,1.5848011834,9.4664448008,1.5960325188,6.3382631718,12.59462643,6.9789200745,13.229516325,-0.793703334,-0.637773399,-3.765955028,2.49040823,VE,DonorSex,Donor Sex,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
1,-690,12.198456961,1.5847645029,9.4723248686,1.5959971184,6.3442126236,12.600437114,6.9789200745,13.229516325,-0.787659842,-0.631893331,-3.760005576,2.4962189139,VE,DonorSex,Donor Sex,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
1,-689,12.204500454,1.5847281017,9.4782049365,1.5959619903,6.3501615416,12.606248331,6.9789200745,13.229516325,-0.781616349,-0.626013263,-3.754056658,2.5020301316,VE,DonorSex,Donor Sex,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
1,-688,12.210543946,1.58469198,9.4840850043,1.5959271345,6.3561099258,12.612060083,6.9789200745,13.229516325,-0.775572857,-0.620133195,-3.748108274,2.507841883,VE,DonorSex,Donor Sex,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
1,-687,12.216587439,1.5846561375,9.4899650721,1.5958925511,6.3620577763,12.617872368,6.9789200745,13.229516325,-0.769529364,-0.614253128,-3.742160423,2.5136541683,VE,DonorSex,Donor Sex,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
1,-686,12.222630931,1.5846205745,9.49584514,1.59585824,6.3680050929,12.623685187,6.9789200745,13.229516325,-0.763485872,-0.60837306,-3.736213107,2.5194669873,VE,DonorSex,Donor Sex,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
1,-685,12.228674424,1.5845852909,9.5017252078,1.5958242014,6.3739518756,12.62949854,6.9789200745,13.229516325,-0.757442379,-0.602492992,-3.730266324,2.5252803403,VE,DonorSex,Donor Sex,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
1,-684,12.234717916,1.5845502867,9.5076052756,1.5957904351,6.3798981244,12.635312427,6.9789200745,13.229516325,-0.751398887,-0.596612924,-3.724320075,2.5310942271,VE,DonorSex,Donor Sex,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
1,-683,12.240761409,1.584515562,9.5134853435,1.5957569412,6.3858438393,12.641126848,6.9789200745,13.229516325,-0.745355394,-0.590732856,-3.71837436,2.5369086479,VE,DonorSex,Donor Sex,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
