TimeFromTransfusion,Storage_Cat,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,base_lower_full,base_upper_full,Delta_Base,Delta_Full,Delta_Lower,Delta_Upper,VitalParam,CompFactor,CompName,VitalName,YLabel,DeltaYLabel
-720,1,16.041290329,1.6296166099,13.102529317,1.6410665927,9.8860817937,16.318976841,9.9700810982,16.368423083,-0.052808763,-0.066722773,-3.283170297,3.1497247507,VE,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
-719,1,16.042627686,1.6294698236,13.104189791,1.640924453,9.8880208573,16.320358725,9.9700810982,16.368423083,-0.051471405,-0.0650623,-3.281231233,3.1511066341,VE,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
-718,1,16.043965044,1.6293239416,13.105850264,1.640783193,9.8899581965,16.321742332,9.9700810982,16.368423083,-0.050134048,-0.063401826,-3.279293894,3.1524902418,VE,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
-717,1,16.045302401,1.6291789643,13.107510738,1.6406428131,9.891893811,16.323127665,9.9700810982,16.368423083,-0.048796691,-0.061741353,-3.277358279,3.1538755743,VE,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
-716,1,16.046639758,1.6290348919,13.109171211,1.6405033134,9.8938277003,16.324514722,9.9700810982,16.368423083,-0.047459333,-0.060080879,-3.27542439,3.155262632,VE,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
-715,1,16.047977116,1.6288917246,13.110831685,1.6403646942,9.8957598638,16.325903506,9.9700810982,16.368423083,-0.046121976,-0.058420406,-3.273492227,3.1566514154,VE,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
-714,1,16.049314473,1.6287494626,13.112492158,1.6402269556,9.8976903013,16.327294015,9.9700810982,16.368423083,-0.044784618,-0.056759932,-3.271561789,3.1580419249,VE,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
-713,1,16.050651831,1.6286081063,13.114152632,1.6400900979,9.8996190122,16.328686251,9.9700810982,16.368423083,-0.043447261,-0.055099459,-3.269633078,3.159434161,VE,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
-712,1,16.051989188,1.6284676557,13.115813105,1.6399541214,9.9015459961,16.330080214,9.9700810982,16.368423083,-0.042109904,-0.053438985,-3.267706094,3.160828124,VE,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
-711,1,16.053326545,1.6283281112,13.117473579,1.6398190262,9.9034712527,16.331475905,9.9700810982,16.368423083,-0.040772546,-0.051778512,-3.265780838,3.1622238144,VE,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
