TimeFromTransfusion,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,Delta_Base,Delta_Full,Delta_Lower,Delta_Upper,VitalParam,CompFactor,CompName,VitalName,YLabel,DeltaYLabel,Transfusion
-720,15.062533916,0.349224528,14.258314239,0.3469998259,13.578206936,14.938421543,0.0336139161,0.0597542395,-0.620353064,0.7398615434,VE,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Minute Ventilation (L/min),VE(u) (L/min),Change in   VE(u) (L/min),1
-719,15.06291006,0.3492217254,14.258762974,0.3469970176,13.578661174,14.938864774,0.0339900596,0.060202974,-0.619898826,0.7403047738,VE,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Minute Ventilation (L/min),VE(u) (L/min),Change in   VE(u) (L/min),1
-718,15.063286203,0.3492189406,14.259211708,0.3469942272,13.579115378,14.939308039,0.0343662031,0.0606517085,-0.619444622,0.740748039,VE,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Minute Ventilation (L/min),VE(u) (L/min),Change in   VE(u) (L/min),1
-717,15.063662347,0.3492161736,14.259660443,0.3469914545,13.579569547,14.939751339,0.0347423467,0.061100443,-0.618990453,0.7411913392,VE,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Minute Ventilation (L/min),VE(u) (L/min),Change in   VE(u) (L/min),1
-716,15.06403849,0.3492134244,14.260109177,0.3469886997,13.580023681,14.940194674,0.0351184902,0.0615491775,-0.618536319,0.7416346743,VE,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Minute Ventilation (L/min),VE(u) (L/min),Change in   VE(u) (L/min),1
-715,15.064414634,0.3492106931,14.260557912,0.3469859627,13.58047778,14.940638044,0.0354946337,0.061997912,-0.61808222,0.7420780444,VE,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Minute Ventilation (L/min),VE(u) (L/min),Change in   VE(u) (L/min),1
-714,15.064790777,0.3492079795,14.261006646,0.3469832435,13.580931844,14.941081449,0.0358707772,0.0624466464,-0.617628156,0.7425214494,VE,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Minute Ventilation (L/min),VE(u) (L/min),Change in   VE(u) (L/min),1
-713,15.065166921,0.3492052837,14.261455381,0.3469805421,13.581385873,14.941524889,0.0362469207,0.0628953809,-0.617174127,0.7429648893,VE,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Minute Ventilation (L/min),VE(u) (L/min),Change in   VE(u) (L/min),1
-712,15.065543064,0.3492026057,14.261904115,0.3469778586,13.581839867,14.941968364,0.0366230643,0.0633441154,-0.616720133,0.7434083641,VE,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Minute Ventilation (L/min),VE(u) (L/min),Change in   VE(u) (L/min),1
-711,15.065919208,0.3491999455,14.26235285,0.3469751928,13.582293826,14.942411874,0.0369992078,0.0637928499,-0.616266174,0.7438518739,VE,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Minute Ventilation (L/min),VE(u) (L/min),Change in   VE(u) (L/min),1
