wdy_donation,TimeFromTransfusion,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,base_lower_full,base_upper_full,Delta_Base,Delta_Full,Delta_Lower,Delta_Upper,VitalParam,CompFactor,CompName,VitalName,YLabel,DeltaYLabel
1,-720,14.363800306,1.2971252537,13.914094696,1.2934262825,11.379025234,16.449164157,13.327753431,16.934310477,-1.261563685,-1.216937258,-3.75200672,1.3181322031,VE,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
1,-719,14.361094958,1.292056508,13.911250067,1.2883694088,11.386091898,16.436408236,13.327753431,16.934310477,-1.264269032,-1.219781887,-3.744940056,1.3053762822,VE,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
1,-718,14.358389611,1.2870002644,13.908405439,1.2833249974,11.393134136,16.423676741,13.327753431,16.934310477,-1.266974379,-1.222626515,-3.737897818,1.2926447871,VE,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
1,-717,14.355684264,1.281956671,13.90556081,1.278293196,11.40015166,16.410969961,13.327753431,16.934310477,-1.269679726,-1.225471144,-3.730880294,1.2799380071,VE,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
1,-716,14.352978917,1.2769258775,13.902716182,1.2732741539,11.407144175,16.398288189,13.327753431,16.934310477,-1.272385073,-1.228315772,-3.723887779,1.2672562349,VE,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
1,-715,14.35027357,1.2719080359,13.899871553,1.2682680228,11.414111385,16.385631722,13.327753431,16.934310477,-1.27509042,-1.2311604,-3.716920569,1.2545997677,VE,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
1,-714,14.347568223,1.2669033,13.897026925,1.263274956,11.42105299,16.37300086,13.327753431,16.934310477,-1.277795767,-1.234005029,-3.709978964,1.2419689062,VE,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
1,-713,14.344862876,1.2619118259,13.894182297,1.2582951091,11.427968684,16.360395909,13.327753431,16.934310477,-1.280501114,-1.236849657,-3.70306327,1.2293639553,VE,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
1,-712,14.342157529,1.2569337715,13.891337668,1.2533286398,11.434858159,16.347817178,13.327753431,16.934310477,-1.283206461,-1.239694286,-3.696173795,1.2167852237,VE,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
1,-711,14.339452182,1.2519692968,13.88849304,1.2483757075,11.441721101,16.335264978,13.327753431,16.934310477,-1.285911809,-1.242538914,-3.689310853,1.2042330245,VE,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
1,-710,14.336746835,1.2470185641,13.885648411,1.2434364742,11.448557194,16.322739629,13.327753431,16.934310477,-1.288617156,-1.245383543,-3.68247476,1.1917076746,VE,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
1,-709,14.334041488,1.2420817376,13.882803783,1.2385111037,11.455366117,16.310241449,13.327753431,16.934310477,-1.291322503,-1.248228171,-3.675665837,1.1792094953,VE,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
1,-708,14.331336141,1.237158984,13.879959155,1.233599762,11.462147543,16.297770766,13.327753431,16.934310477,-1.29402785,-1.251072799,-3.668884411,1.1667388121,VE,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
1,-707,14.328630794,1.2322504717,13.877114526,1.2287026175,11.468901144,16.285327909,13.327753431,16.934310477,-1.296733197,-1.253917428,-3.66213081,1.1542959547,VE,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
1,-706,14.325925447,1.2273563717,13.874269898,1.2238198404,11.475626584,16.272913211,13.327753431,16.934310477,-1.299438544,-1.256762056,-3.655405369,1.1418812571,VE,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
1,-705,14.3232201,1.2224768571,13.871425269,1.2189516035,11.482323527,16.260527012,13.327753431,16.934310477,-1.302143891,-1.259606685,-3.648708427,1.1294950577,VE,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
1,-704,14.320514753,1.2176121032,13.868580641,1.2140980817,11.488991629,16.248169653,13.327753431,16.934310477,-1.304849238,-1.262451313,-3.642040325,1.1171376994,VE,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
1,-703,14.317809405,1.2127622877,13.865736013,1.2092594521,11.495630542,16.235841483,13.327753431,16.934310477,-1.307554585,-1.265295941,-3.635401412,1.1048095293,VE,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Minute Ventilation (L/min),VE (L/min),Change in   VE (L/min)
