Abbreviation,FactorName,FactorCategory,DonorHb_Cat,Base_Pre,Base_Pre_SE,Full_Pre,Full_Pre_SE,Base_Post,Base_Post_SE,Full_Post,Full_Post_SE,Base_Diff,Base_Diff_SE,Base_Diff_LCL,Base_Diff_UCL,Full_Diff,Full_Diff_SE,Full_Diff_LCL,Full_Diff_UCL,Storage_Cat,DonorSex,DonorParity,wdy_donation
ARTm,DonorHb_Cat,1,1,79.6563908,0.3336248961,74.702655028,0.3085721431,81.250653117,0.3336090746,76.152654912,0.3086319455,1.5942623174,0.4718056654,0.6695232132,2.5190014216,1.4499998845,0.4364291985,0.5945986554,2.3054011135,,,,
ARTm,DonorHb_Cat,2,2,79.599466613,0.3281465533,74.716051028,0.3026355836,81.193728931,0.3281273594,76.166050913,0.3026926239,1.5942623174,0.4640557342,0.6847130784,2.5038115565,1.4499998845,0.4280316823,0.6110577873,2.2889419817,,,,
ARTm,DonorHb_Cat,3,3,79.485465064,0.3280532059,74.595484022,0.3025369983,81.079727382,0.3280362941,76.045483907,0.3025964261,1.5942623174,0.4639253346,0.6849686616,2.5035559732,1.4499998845,0.42789395,0.6113277425,2.2886720265,,,,
ARTm,DonorHb_Cat,4,4,79.556002149,0.3294165419,74.598232516,0.3040345632,81.150264467,0.3293980001,76.0482324,0.3040921613,1.5942623174,0.4658522304,0.6811919459,2.507332689,1.4499998845,0.4300105326,0.6071792405,2.2928205285,,,,
ARTm,DonorHb_Cat,5,5,79.15543907,0.3613185604,74.111804984,0.3381557624,80.749701387,0.3613147969,75.561804868,0.338224994,1.5942623174,0.5109789473,0.5927435807,2.5957810542,1.4499998845,0.478273422,0.5125839773,2.3874157917,,,,
ARTm,Storage_Cat,1,,79.566101987,0.3352564676,74.699895232,0.3091558291,81.152439681,0.3352459538,76.143942957,0.3092250271,1.5863376932,0.4741168091,0.6570687475,2.515606639,1.4440477256,0.4372612995,0.5870155785,2.3010798727,1,,,
ARTm,Storage_Cat,2,,79.580125522,0.3328487021,74.788464298,0.306501944,81.166463215,0.3328330099,76.232512024,0.3065644695,1.5863376932,0.4707080528,0.6637499097,2.5089254767,1.4440477256,0.4335034205,0.5943810214,2.2937144298,2,,,
ARTm,Storage_Cat,3,,79.543490007,0.333663761,74.647770768,0.3074019583,81.1298277,0.3336464366,76.091818493,0.3074617143,1.5863376932,0.471859566,0.6614929438,2.5111824427,1.4440477256,0.4347742745,0.5918901476,2.2962053036,3,,,
ARTm,Storage_Cat,4,,79.674855224,0.3370193272,75.102714749,0.3109302727,81.261192917,0.3370030269,76.546762474,0.3109887724,1.5863376932,0.4766057774,0.6521903695,2.5204850169,1.4440477256,0.4397631761,0.5821119004,2.3059835508,4,,,
ARTm,Storage_Cat,5,,80.400210493,0.3511315911,75.601684595,0.3261220088,81.986548186,0.3511160058,77.04573232,0.3261747207,1.5863376932,0.496564038,0.6130721788,2.5596032077,1.4440477256,0.4612434423,0.5400105786,2.3480848725,5,,,
ARTm,DonorSex,1,,79.493448332,0.3266566286,74.602378847,0.3011451607,81.088253106,0.3266425546,76.055521464,0.3012055896,1.594804774,0.4619522827,0.6893783,2.500231248,1.4531426172,0.4259263023,0.6183270646,2.2879581698,,1,,
ARTm,DonorSex,2,,79.5852518,0.3267427016,74.687511749,0.3012387552,81.180056574,0.3267261565,76.140654366,0.3012963905,1.594804774,0.462072261,0.6891431423,2.5004664056,1.4531426172,0.4260566893,0.6180715061,2.2882137283,,2,,
ARTm,DonorParity,0,,79.53850131,0.3265505195,74.636804673,0.301031239,81.133938326,0.3265360072,76.090295097,0.3010914899,1.5954370164,0.4618019118,0.6903052692,2.5005687636,1.4534904242,0.4257650668,0.6189908933,2.2879899551,,,0,
ARTm,DonorParity,1,,79.551539323,0.3269811488,74.667730144,0.3014878358,81.146976339,0.3269643827,76.121220569,0.3015445781,1.5954370164,0.46240932,0.6891147492,2.5017592836,1.4534904242,0.426408311,0.6177301345,2.2892507138,,,1,
ARTm,wdy_donation,1,,73.092819211,1.4087108174,70.697538382,1.3995357472,74.688373132,1.4087219252,72.151073552,1.3995582067,1.5955539208,1.9922257979,-2.309208643,5.5003164846,1.4535351704,1.979258316,-2.425811129,5.3328814699,,,,1
ARTm,wdy_donation,2,,79.417670567,0.3273668403,74.576064299,0.3018985781,81.013224488,0.3273507883,76.02959947,0.3019568946,1.5955539208,0.4629552751,0.6881615816,2.50294626,1.4535351704,0.4269903016,0.6166341794,2.2904361615,,,,2
ARTm,wdy_donation,3,,79.477957953,0.3273803031,74.609754513,0.3019148794,81.073511874,0.3273635004,76.063289683,0.3019723295,1.5955539208,0.4629737835,0.688125305,2.5029825365,1.4535351704,0.4270127424,0.6165901953,2.2904801456,,,,3
ARTm,wdy_donation,4,,79.710668074,0.3271806986,74.805065134,0.3017130008,81.306221994,0.3271657355,76.258600304,0.3017728175,1.5955539208,0.4626928009,0.688676031,2.5024318106,1.4535351704,0.4267289165,0.617146494,2.2899238468,,,,4
ARTm,wdy_donation,5,,79.471589135,0.3276058849,74.521694802,0.3021912152,81.067143056,0.3275914747,75.975229972,0.3022508386,1.5955539208,0.4632944961,0.6874967084,2.5036111332,1.4535351704,0.4274050772,0.6158212192,2.2912491217,,,,5
ARTm,wdy_donation,6,,79.556001043,0.3292996603,74.704911373,0.3039541224,81.151554964,0.3292872649,76.158446543,0.3040120221,1.5955539208,0.4656912809,0.6827990103,2.5083088313,1.4535351704,0.4298969854,0.6109370791,2.2961332618,,,,6
ARTm,wdy_donation,7,,79.721554781,0.3309704582,74.582661371,0.3058845101,81.317108701,0.330959147,76.036196541,0.3059501636,1.5955539208,0.4680549126,0.6781662921,2.5129415495,1.4535351704,0.4326324492,0.60557557,2.3014947709,,,,7
ARTs,DonorHb_Cat,1,1,129.57419112,0.532920235,123.15107253,0.4979359085,131.63331017,0.5329096003,125.04112844,0.4979753353,2.0591190485,0.7536555041,0.5819542605,3.5362838366,1.8900559032,0.7042155945,0.5097933379,3.2703184684,,,,
ARTs,DonorHb_Cat,2,2,129.51296783,0.5292574248,123.19733009,0.4940174727,131.57208688,0.5292440372,125.087386,0.4940539458,2.0591190485,0.7484735617,0.5921108676,3.5261272295,1.8900559032,0.6986720008,0.5206587816,3.2594530247,,,,
ARTs,DonorHb_Cat,3,3,129.54754339,0.5291949659,123.22230753,0.4939523063,131.60666244,0.5291831969,125.11236343,0.4939904351,2.0591190485,0.748386376,0.5922817515,3.5259563455,1.8900559032,0.6985810124,0.520837119,3.2592746874,,,,
ARTs,DonorHb_Cat,4,4,129.54257292,0.5301024925,123.13356002,0.4949356882,131.60169197,0.5300895384,125.02361592,0.4949726447,2.0591190485,0.7496689744,0.5897678586,3.5284702384,1.8900559032,0.6999708954,0.5181129481,3.2619988582,,,,
ARTs,DonorHb_Cat,5,5,129.76438892,0.5519448776,123.35374912,0.518091407,131.82350797,0.5519425543,125.24380502,0.5181398338,2.0591190485,0.7805662888,0.5292091224,3.5890289746,1.8900559032,0.732726138,0.4539126727,3.3261991336,,,,
ARTs,Storage_Cat,1,,129.443218,0.5370166828,123.21410295,0.5009146868,131.51073796,0.537009541,125.11495349,0.5009599341,2.0675199634,0.759451226,0.5789955604,3.5560443664,1.9008505413,0.7084323391,0.5123231567,3.2893779259,1,,,
ARTs,Storage_Cat,2,,129.59486771,0.5354052484,123.45324749,0.4991608209,131.66238767,0.5353945807,125.35409803,0.4992013452,2.0675199634,0.7571698204,0.5834671154,3.5515728115,1.9008505413,0.7059486583,0.517191171,3.2845099116,2,,,
ARTs,Storage_Cat,3,,129.54103171,0.5359533572,123.27971126,0.4997583353,131.60855167,0.5359412701,125.1805618,0.4997968175,2.0675199634,0.7579439597,0.5819498024,3.5530901245,1.9008505413,0.7067922272,0.5155377759,3.2861633067,3,,,
ARTs,Storage_Cat,4,,129.2859242,0.5382063766,123.42707393,0.5020981157,131.35344416,0.5381944323,125.32792447,0.5021355429,2.0675199634,0.7611303114,0.5757045532,3.5593353737,1.9008505413,0.7101004304,0.5090536976,3.292647385,4,,,
ARTs,Storage_Cat,5,,130.70735141,0.5478021784,124.59291068,0.5123158101,132.77487137,0.5477905573,126.49376122,0.5123504253,2.0675199634,0.7747010529,0.5491058998,3.5859340271,1.9008505413,0.7245484439,0.4807355912,3.3209654914,5,,,
ARTs,DonorSex,1,,129.5790045,0.5276906525,123.24017581,0.4923368108,131.63477771,0.5276808235,125.13003408,0.4923756582,2.0557732158,0.7462603274,0.5931029741,3.5184434575,1.8898582764,0.6962968649,0.5251164211,3.2546001316,,1,,
ARTs,DonorSex,2,,129.42350169,0.527748582,123.06573168,0.4923989739,131.47927491,0.5277370819,124.95558996,0.4924359676,2.0557732158,0.7463410704,0.5929447177,3.5186017138,1.8898582764,0.6963834659,0.5249466831,3.2547698696,,2,,
