Abbreviation,FactorName,FactorCategory,DonorHb_Cat,_TYPE_,_FREQ_,Pre_Mean,Pre_SD,Post_Mean,Post_SD,Diff_Mean,Diff_SE,NDiff,Diff_LCL,Diff_UCL,Diff_T,df,p_value,Storage_Cat,DonorSex,DonorParity,wdy_donation
ARTm,DonorHb_Cat,.,,0,175,74.880533293,17.387513604,76.182194286,17.982927683,1.3016609924,1.5173636257,175,-1.672371714,4.2756936987,0.8578438091,174,0.3921587859,,,,
ARTm,DonorHb_Cat,1,1,0,351,75.360667142,16.654316591,76.7381434,15.962707353,1.3774762583,0.9000136028,351,-0.386550403,3.1415029197,1.5305060436,350,0.1267948134,,,,
ARTm,DonorHb_Cat,2,2,0,3860,74.795943372,17.308687476,76.707831274,16.413656731,1.9118879021,0.2821428936,3860,1.3588878306,2.4648879736,6.7763106757,3859,1.420064E-11,,,,
ARTm,DonorHb_Cat,3,3,0,4258,74.163712968,15.623060093,76.423181327,16.221642495,2.2594683588,0.2468677085,4258,1.7756076501,2.7433290674,9.1525472192,4257,0,,,,
ARTm,DonorHb_Cat,4,4,0,1132,74.899060022,18.167112157,76.291986371,16.008680861,1.3929263489,0.5270767973,1132,0.3598558261,2.4259968717,2.6427388873,1131,0.0083374508,,,,
ARTm,DonorHb_Cat,5,5,0,65,74.696389744,16.70481284,73.894748718,13.418723034,-0.801641026,2.2334994449,65,-5.179299938,3.5760178864,-0.358917047,64,0.7208385276,,,,
ARTm,Storage_Cat,.,,0,540,72.914236902,14.539510696,75.516050926,14.137412255,2.6018140238,0.6185048999,540,1.38954442,3.8140836275,4.2066182893,539,0.0000303582,,,,
ARTm,Storage_Cat,1,,0,1611,76.076589634,17.860021403,77.951830333,17.881294899,1.8752406994,0.4628541575,1611,0.9680465506,2.7824348482,4.0514720865,1610,0.0000533202,1,,,
ARTm,Storage_Cat,2,,0,4462,74.109927096,15.971790834,76.62175312,16.36317002,2.5118260237,0.249941233,4462,2.0219412072,3.0017108403,10.049666452,4461,0,2,,,
ARTm,Storage_Cat,3,,0,2001,74.791310442,16.27965887,76.257643123,15.432675143,1.466332681,0.3738654302,2001,0.7335564378,2.1991089243,3.9220868323,2000,0.0000907467,3,,,
ARTm,Storage_Cat,4,,0,691,73.986305837,18.655550937,75.023484183,15.812240465,1.0371783464,0.6311243044,691,-0.19982529,2.2741819831,1.6433820392,690,0.1007594712,4,,,
ARTm,Storage_Cat,5,,0,123,75.413945799,22.017352974,77.047407859,20.015553133,1.6334620596,1.0138181172,123,-0.35362145,3.6205455693,1.6111983323,122,0.1097207139,5,,,
ARTm,DonorSex,.,,0,5,70.77,7.1394677673,82.673333333,18.607874677,11.903333333,9.2228556677,5,-6.173463775,29.980130442,1.290634242,4,0.2663777463,,,,
ARTm,DonorSex,1,,0,5195,74.271984853,16.04862303,76.46227108,16.176190556,2.1902862264,0.2294612027,5195,1.740542269,2.6400301837,9.5453444863,5194,0,,1,,
ARTm,DonorSex,2,,0,4497,74.807172899,17.240414545,76.638896402,16.410688661,1.8317235035,0.2578375526,4497,1.3263619004,2.3370851065,7.1041765845,4496,1.400879E-12,,2,,
ARTm,DonorParity,0,,0,6773,74.339350982,16.237807046,76.494720079,16.320076004,2.1553690973,0.203111467,6773,1.757270622,2.5534675725,10.611754863,6772,0,,,0,
ARTm,DonorParity,1,,0,2869,75.02344949,17.522751365,76.676644401,16.268090449,1.6531949113,0.3218256192,2869,1.0224166977,2.283973125,5.1369276178,2868,2.9797434E-7,,,1,
ARTm,wdy_donation,1,,0,1,67.2,,76.4,,9.2,,1,,,,,,,,,1
ARTm,wdy_donation,2,,0,2026,74.698761947,16.142172518,76.028596185,14.835861276,1.3298342382,0.3426020897,2026,0.6583341425,2.001334334,3.8815707153,2025,0.0001071066,,,,2
ARTm,wdy_donation,3,,0,2093,74.255990307,16.138585777,76.652997069,16.500280863,2.3970067614,0.356626282,2093,1.6980192487,3.095994274,6.7213407492,2092,2.314371E-11,,,,3
ARTm,wdy_donation,4,,0,2462,74.634268653,16.696964495,77.157145207,16.661646618,2.5228765542,0.3631526603,2462,1.81109734,3.2346557684,6.9471515147,2461,4.753531E-12,,,,4
ARTm,wdy_donation,5,,0,1780,74.505735619,16.846606426,76.35040742,17.049546528,1.8446718018,0.403947381,1780,1.0529349351,2.6364086685,4.5666140905,1779,5.2967716E-6,,,,5
ARTm,wdy_donation,6,,0,743,74.938625766,18.379547001,76.45424948,16.776303749,1.5156237136,0.6566700206,743,0.2285504732,2.802696954,2.3080446283,742,0.02127083,,,,6
ARTm,wdy_donation,7,,0,468,74.565685153,16.674228313,76.326168803,16.367538632,1.7604836506,0.7611074571,468,0.2687130347,3.2522542665,2.3130553172,467,0.0211532498,,,,7
ARTs,DonorHb_Cat,.,,0,173,114.63284062,24.837159738,117.43487283,25.286342715,2.8020322129,1.5055480448,173,-0.148841955,5.7529063806,1.8611376918,172,0.0644313697,,,,
ARTs,DonorHb_Cat,1,1,0,352,117.12524479,25.230811495,118.4667541,25.12317377,1.3415093119,1.0424798165,352,-0.701751128,3.3847697522,1.286844398,351,0.1989965474,,,,
ARTs,DonorHb_Cat,2,2,0,3848,115.64763488,24.511808902,118.87336691,24.725084915,3.2257320301,0.3271449959,3848,2.5845278382,3.866936222,9.8602517868,3847,0,,,,
ARTs,DonorHb_Cat,3,3,0,4253,115.32242252,24.0523726,118.70803839,24.878169277,3.3856158792,0.3101324533,4253,2.7777562708,3.9934754877,10.916677191,4252,0,,,,
ARTs,DonorHb_Cat,4,4,0,1129,115.44366501,24.39248969,117.97386834,24.875372418,2.5302033335,0.6529376218,1129,1.2504455947,3.8099610722,3.8751072828,1128,0.0001127172,,,,
ARTs,DonorHb_Cat,5,5,0,65,114.13247949,21.266259388,114.27150513,23.517667177,0.139025641,2.209676848,65,-4.191940981,4.4699922631,0.0629167297,64,0.9500289025,,,,
ARTs,Storage_Cat,.,,0,539,113.97966977,24.571651387,117.49490335,24.603554648,3.5152335739,0.8307585245,539,1.8869468658,5.1435202821,4.2313542023,538,0.0000273081,,,,
ARTs,Storage_Cat,1,,0,1608,115.55212662,24.553784618,118.4011271,25.229414759,2.849000481,0.5201527901,1608,1.8295010125,3.8684999496,5.4772377183,1607,5.0063884E-8,1,,,
ARTs,Storage_Cat,2,,0,4454,115.99472511,24.256212666,119.74362963,24.857376118,3.7489045243,0.3037530808,4454,3.1535484859,4.3442605627,12.341947329,4453,0,2,,,
ARTs,Storage_Cat,3,,0,1993,115.85299795,24.036345415,118.64452712,24.478540874,2.7915291775,0.4652747986,1993,1.8795905723,3.7034677828,5.9997429174,1992,2.3414473E-9,3,,,
ARTs,Storage_Cat,4,,0,691,114.399525,24.745367862,116.56224711,24.6102343,2.1627221084,0.7259526496,691,0.7398549151,3.5855893017,2.9791503751,690,0.0029919686,4,,,
ARTs,Storage_Cat,5,,0,122,116.7489918,20.655493769,120.26603415,22.108252188,3.5170423497,1.5063913991,122,0.5645152075,6.469569492,2.3347467012,121,0.0212043393,5,,,
ARTs,DonorSex,.,,0,5,103.49,25.813136191,112.58333333,20.203808772,9.0933333333,9.75354437,5,-10.02361363,28.210280299,0.9323106543,4,0.4039534675,,,,
ARTs,DonorSex,1,,0,5185,115.46106173,24.054581714,118.83937912,24.749362226,3.3783173826,0.284112243,5185,2.8214573862,3.935177379,11.890784242,5184,0,,1,,
ARTs,DonorSex,2,,0,4486,115.73417866,24.652959985,118.71360468,24.786990035,2.9794260228,0.3042531502,4486,2.3830898485,3.5757621971,9.7925889057,4485,0,,2,,
ARTs,DonorParity,0,,0,6760,115.52494261,24.131630643,118.78066734,24.784849874,3.2557247336,0.2483570366,6760,2.7689449419,3.7425045253,13.109049691,6759,0,,,0,
ARTs,DonorParity,1,,0,2861,115.85320385,24.887689641,118.75151039,24.751631446,2.8983065405,0.3795683719,2861,2.1543525316,3.6422605494,7.6357956961,2860,3.042011E-14,,,1,
ARTs,wdy_donation,1,,0,1,106.66666667,,144.5,,37.833333333,,1,,,,,,,,,1
ARTs,wdy_donation,2,,0,2021,115.53624867,24.08131047,118.45546124,24.370886264,2.9192125772,0.4360982743,2021,2.0644599595,3.7739651949,6.6939328794,2020,2.805622E-11,,,,2
ARTs,wdy_donation,3,,0,2088,115.48174645,23.866325922,119.09708349,25.127126218,3.615337031,0.4397061009,2088,2.7535130732,4.4771609889,8.2221670868,2087,4.440892E-16,,,,3
ARTs,wdy_donation,4,,0,2457,115.85091741,24.366726539,119.60986045,24.861953454,3.7589430406,0.4380435619,2457,2.9003776593,4.617508422,8.5812082805,2456,0,,,,4
ARTs,wdy_donation,5,,0,1776,115.36633966,24.681322712,117.9628038,25.296357843,2.5964641399,0.4589252507,1776,1.6969706485,3.4959576314,5.6577059898,1775,1.7849063E-8,,,,5
ARTs,wdy_donation,6,,0,741,116.33959207,24.71219347,118.40072237,23.273552792,2.0611303044,0.7561768758,741,0.5790236277,3.543236981,2.7257251184,740,0.0065677264,,,,6
ARTs,wdy_donation,7,,0,468,114.9264224,24.661973179,118.21423718,25.653583239,3.2878147824,0.9305056034,468,1.4640237999,5.111605765,3.5333637654,467,0.0004511323,,,,7
ARTd,DonorHb_Cat,.,,0,172,55.082325866,11.481661303,56.658580426,12.541637326,1.57625456,0.8982521689,172,-0.184319691,3.336828811,1.7548018413,171,0.0810842104,,,,
ARTd,DonorHb_Cat,1,1,0,351,55.686893162,12.932426982,56.578491295,12.02812452,0.8915981323,0.6214614132,351,-0.326466238,2.1096625022,1.4346797941,350,0.1522712757,,,,
ARTd,DonorHb_Cat,2,2,0,3848,55.12162852,13.148092677,56.720710164,13.485296419,1.5990816433,0.2127914775,3848,1.1820103474,2.0161529392,7.5147823681,3847,7.061018E-14,,,,
ARTd,DonorHb_Cat,3,3,0,4253,54.891409932,12.736002473,56.648781192,14.179259199,1.7573712607,0.2091623592,4253,1.3474130367,2.1673294848,8.401947976,4252,0,,,,
