DonorParity,TimeFromTransfusion,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,base_lower_full,base_upper_full,Delta_Base,Delta_Full,Delta_Lower,Delta_Upper,VitalParam,CompFactor,CompName,VitalName,YLabel,DeltaYLabel
0,-720,58.836877397,0.2688820873,55.339135033,0.2575850947,54.834277456,55.843992609,53.806704522,54.806484363,0.9753421561,1.0325405901,0.5276830138,1.5373981665,ARTd,DonorParity,Donor Parity,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
0,-719,58.837384163,0.2688428464,55.339639003,0.2575443187,54.834861347,55.84441666,53.806704522,54.806484363,0.9758489223,1.033044561,0.528266904,1.537822218,ARTd,DonorParity,Donor Parity,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
0,-718,58.837890929,0.268803848,55.340142974,0.2575037948,54.835444743,55.844841206,53.806704522,54.806484363,0.9763556884,1.0335485318,0.5288503004,1.5382467633,ARTd,DonorParity,Donor Parity,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
0,-717,58.838397695,0.2687650924,55.340646945,0.2574635229,54.836027645,55.845266245,53.806704522,54.806484363,0.9768624546,1.0340525027,0.5294332026,1.5386718028,ARTd,DonorParity,Donor Parity,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
0,-716,58.838904461,0.2687265797,55.341150916,0.2574235033,54.836610053,55.845691779,53.806704522,54.806484363,0.9773692208,1.0345564735,0.5300156104,1.5390973366,ARTd,DonorParity,Donor Parity,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
0,-715,58.839411228,0.2686883098,55.341654887,0.2573837361,54.837191966,55.846117808,53.806704522,54.806484363,0.9778759869,1.0350604443,0.5305975236,1.5395233651,ARTd,DonorParity,Donor Parity,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
0,-714,58.839917994,0.268650283,55.342158858,0.2573442213,54.837773385,55.846544331,53.806704522,54.806484363,0.9783827531,1.0355644152,0.531178942,1.5399498883,ARTd,DonorParity,Donor Parity,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
0,-713,58.84042476,0.2686124993,55.342662829,0.2573049591,54.838354308,55.846971349,53.806704522,54.806484363,0.9788895192,1.036068386,0.5317598653,1.5403769067,ARTd,DonorParity,Donor Parity,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
0,-712,58.840931526,0.2685749589,55.343166799,0.2572659496,54.838934736,55.847398863,53.806704522,54.806484363,0.9793962854,1.0365723569,0.5323402934,1.5408044203,ARTd,DonorParity,Donor Parity,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
0,-711,58.841438292,0.2685376618,55.34367077,0.2572271929,54.839514668,55.847826872,53.806704522,54.806484363,0.9799030516,1.0370763277,0.5329202259,1.5412324295,ARTd,DonorParity,Donor Parity,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg)
