TimeFromTransfusion,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,Delta_Base,Delta_Full,Delta_Lower,Delta_Upper,VitalParam,CompFactor,CompName,VitalName,YLabel,DeltaYLabel,Transfusion
-720,58.802903828,0.2676814139,55.314825342,0.2563326195,54.812422573,55.817228112,0.8849338277,0.9460453424,0.4436425727,1.4484481122,ARTd,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg),1
-719,58.803704266,0.2676534852,55.315634203,0.2563035989,54.813288313,55.817980094,0.8857342659,0.9468542032,0.4445083128,1.4492000936,ARTd,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg),1
-718,58.804504704,0.2676257303,55.316443064,0.256274759,54.814153699,55.818732429,0.886534704,0.947663064,0.4453736986,1.4499524293,ARTd,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg),1
-717,58.805305142,0.2675981494,55.317251925,0.2562461,54.81501873,55.819485119,0.8873351421,0.9484719247,0.44623873,1.4507051194,ARTd,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg),1
-716,58.80610558,0.2675707424,55.318060785,0.2562176219,54.815883407,55.820238164,0.8881355802,0.9492807855,0.4471034069,1.451458164,ARTd,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg),1
-715,58.806906018,0.2675435095,55.318869646,0.2561893247,54.816747729,55.820991563,0.8889360183,0.9500896462,0.4479677292,1.4522115633,ARTd,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg),1
-714,58.807706456,0.2675164506,55.319678507,0.2561612085,54.817611697,55.821745317,0.8897364564,0.950898507,0.4488316966,1.4529653174,ARTd,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg),1
-713,58.808506894,0.2674895659,55.320487368,0.2561332734,54.818475309,55.822499426,0.8905368945,0.9517073678,0.4496953092,1.4537194263,ARTd,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg),1
-712,58.809307333,0.2674628553,55.321296229,0.2561055194,54.819338567,55.82325389,0.8913373326,0.9525162285,0.4505585668,1.4544738902,ARTd,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg),1
-711,58.810107771,0.267436319,55.322105089,0.2560779466,54.820201469,55.824008709,0.8921377707,0.9533250893,0.4514214693,1.4552287093,ARTd,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg),1
-710,58.810908209,0.267409957,55.32291395,0.256050555,54.821064017,55.824763884,0.8929382088,0.9541339501,0.4522840165,1.4559838836,ARTd,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg),1
-709,58.811708647,0.2673837693,55.323722811,0.2560233447,54.821926208,55.825519413,0.8937386469,0.9549428108,0.4531462085,1.4567394132,ARTd,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg),1
-708,58.812509085,0.267357756,55.324531672,0.2559963158,54.822788045,55.826275298,0.894539085,0.9557516716,0.4540080449,1.4574952982,ARTd,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg),1
-707,58.813309523,0.2673319171,55.325340532,0.2559694683,54.823649526,55.827031539,0.8953395231,0.9565605323,0.4548695258,1.4582515389,ARTd,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg),1
-706,58.814109961,0.2673062527,55.326149393,0.2559428023,54.824510651,55.827788135,0.8961399613,0.9573693931,0.455730651,1.4590081352,ARTd,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg),1
-705,58.814910399,0.2672807629,55.326958254,0.2559163178,54.82537142,55.828545087,0.8969403994,0.9581782539,0.4565914204,1.4597650873,ARTd,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg),1
-704,58.815710837,0.2672554477,55.327767115,0.2558900149,54.826231834,55.829302395,0.8977408375,0.9589871146,0.4574518339,1.4605223953,ARTd,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg),1
-703,58.816511276,0.2672303071,55.328575975,0.2558638937,54.827091891,55.830060059,0.8985412756,0.9597959754,0.4583118914,1.4612800594,ARTd,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg),1
-702,58.817311714,0.2672053412,55.329384836,0.2558379541,54.827951593,55.83081808,0.8993417137,0.9606048362,0.4591715928,1.4620380795,ARTd,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg),1
-701,58.818112152,0.26718055,55.330193697,0.2558121963,54.828810938,55.831576456,0.9001421518,0.9614136969,0.4600309379,1.4627964559,ARTd,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg),1
-700,58.81891259,0.2671559336,55.331002558,0.2557866203,54.829669927,55.832335189,0.9009425899,0.9622225577,0.4608899268,1.4635551886,ARTd,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg),1
-699,58.819713028,0.267131492,55.331811418,0.2557612262,54.830528559,55.833094278,0.901743028,0.9630314184,0.4617485591,1.4643142777,ARTd,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg),1
-698,58.820513466,0.2671072254,55.332620279,0.2557360139,54.831386835,55.833853723,0.9025434661,0.9638402792,0.462606835,1.4650737235,ARTd,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg),1
-697,58.821313904,0.2670831336,55.33342914,0.2557109837,54.832244754,55.834613526,0.9033439042,0.96464914,0.4634647541,1.4658335258,ARTd,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg),1
-696,58.822114342,0.2670592169,55.334238001,0.2556861355,54.833102317,55.835373685,0.9041443423,0.9654580007,0.4643223165,1.4665936849,ARTd,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg),1
-695,58.82291478,0.2670354751,55.335046861,0.2556614693,54.833959522,55.836134201,0.9049447804,0.9662668615,0.4651795221,1.4673542009,ARTd,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg),1
-694,58.823715219,0.2670119085,55.335855722,0.2556369853,54.834816371,55.836895074,0.9057452185,0.9670757223,0.4660363706,1.4681150739,ARTd,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg),1
-693,58.824515657,0.2669885169,55.336664583,0.2556126834,54.835672862,55.837656304,0.9065456567,0.967884583,0.4668928621,1.4688763039,ARTd,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg),1
-692,58.825316095,0.2669653006,55.337473444,0.2555885638,54.836528996,55.838417891,0.9073460948,0.9686934438,0.4677489965,1.4696378911,ARTd,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg),1
-691,58.826116533,0.2669422594,55.338282305,0.2555646265,54.837384774,55.839179836,0.9081465329,0.9695023045,0.4686047735,1.4703998355,ARTd,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg),1
-690,58.826916971,0.2669193935,55.339091165,0.2555408715,54.838240193,55.839942137,0.908946971,0.9703111653,0.4694601932,1.4711621374,ARTd,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg),1
-689,58.827717409,0.2668967029,55.339900026,0.2555172989,54.839095255,55.840704797,0.9097474091,0.9711200261,0.4703152554,1.4719247967,ARTd,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg),1
-688,58.828517847,0.2668741876,55.340708887,0.2554939088,54.83994996,55.841467814,0.9105478472,0.9719288868,0.4711699601,1.4726878136,ARTd,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg),1
-687,58.829318285,0.2668518477,55.341517748,0.2554707011,54.840804307,55.842231188,0.9113482853,0.9727377476,0.4720243071,1.4734511881,ARTd,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg),1
-686,58.830118723,0.2668296833,55.342326608,0.2554476759,54.841658296,55.84299492,0.9121487234,0.9735466084,0.4728782963,1.4742149204,ARTd,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg),1
-685,58.830919162,0.2668076943,55.343135469,0.2554248334,54.842511928,55.843759011,0.9129491615,0.9743554691,0.4737319276,1.4749790106,ARTd,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg),1
-684,58.8317196,0.2667858809,55.34394433,0.2554021735,54.843365201,55.844523459,0.9137495996,0.9751643299,0.474585201,1.4757434588,ARTd,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg),1
-683,58.832520038,0.266764243,55.344753191,0.2553796962,54.844218116,55.845288265,0.9145500377,0.9759731906,0.4754381163,1.476508265,ARTd,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg),1
-682,58.833320476,0.2667427807,55.345562051,0.2553574018,54.845070673,55.846053429,0.9153504758,0.9767820514,0.4762906735,1.4772734293,ARTd,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg),1
-681,58.834120914,0.2667214941,55.346370912,0.25533529,54.845922872,55.846818952,0.9161509139,0.9775909122,0.4771428724,1.4780389519,ARTd,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Diastolic Blood Pressure (mmHg),DBP (mmHg),Change in   DBP (mmHg),1
