TimeFromTransfusion,DonorHb_Cat,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,base_lower_full,base_upper_full,Delta_Base,Delta_Full,Delta_Lower,Delta_Upper,VitalParam,CompFactor,CompName,VitalName,YLabel,DeltaYLabel
-720,1,79.648291486,0.4055292709,74.91720109,0.3847822814,74.163041574,75.671360606,74.128809554,75.444549127,-0.064671092,0.1305217492,-0.623637767,0.8846812654,ARTm,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
-719,1,79.651863133,0.4048675175,74.920207643,0.3840882451,74.167408413,75.673006873,74.128809554,75.444549127,-0.061099445,0.1335283026,-0.619270927,0.8863275323,ARTm,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
-718,1,79.655434779,0.4042088782,74.923214196,0.383397357,74.171769082,75.67465931,74.128809554,75.444549127,-0.057527799,0.1365348559,-0.614910258,0.8879799698,ARTm,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
-717,1,79.659006426,0.4035533684,74.92622075,0.3827096344,74.176123548,75.676317952,74.128809554,75.444549127,-0.053956152,0.1395414093,-0.610555793,0.8896386113,ARTm,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
-716,1,79.662578073,0.4029010034,74.929227303,0.3820250942,74.180471775,75.677982831,74.128809554,75.444549127,-0.050384506,0.1425479626,-0.606207565,0.8913034904,ARTm,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
-715,1,79.666149719,0.4022517983,74.932233856,0.3813437536,74.184813732,75.679653981,74.128809554,75.444549127,-0.046812859,0.1455545159,-0.601865609,0.8929746406,ARTm,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
-714,1,79.669721366,0.4016057686,74.93524041,0.3806656298,74.189149383,75.681331436,74.128809554,75.444549127,-0.043241212,0.1485610693,-0.597529957,0.8946520955,ARTm,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
-713,1,79.673293012,0.4009629295,74.938246963,0.3799907401,74.193478697,75.683015229,74.128809554,75.444549127,-0.039669566,0.1515676226,-0.593200644,0.896335889,ARTm,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
-712,1,79.676864659,0.4003232965,74.941253516,0.3793191016,74.197801637,75.684705395,74.128809554,75.444549127,-0.036097919,0.154574176,-0.588877703,0.8980260549,ARTm,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
-711,1,79.680436305,0.399686885,74.94426007,0.3786507316,74.202118172,75.686401967,74.128809554,75.444549127,-0.032526273,0.1575807293,-0.584561168,0.8997226271,ARTm,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
