DonorParity,TimeFromTransfusion,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,base_lower_full,base_upper_full,Delta_Base,Delta_Full,Delta_Lower,Delta_Upper,VitalParam,CompFactor,CompName,VitalName,YLabel,DeltaYLabel
0,-720,80.460440797,0.3293662176,75.650602133,0.3040146241,75.054744339,76.246459927,73.978641447,75.160290695,0.9921791275,1.0811360619,0.4852782681,1.6769938556,ARTm,DonorParity,Donor Parity,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
0,-719,80.461513594,0.3293278078,75.651651915,0.3039732728,75.055875168,76.247428662,73.978641447,75.160290695,0.9932519246,1.082185844,0.4864090974,1.6779625907,ARTm,DonorParity,Donor Parity,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
0,-718,80.462586391,0.3292896366,75.652701697,0.303932178,75.057005495,76.2483979,73.978641447,75.160290695,0.9943247217,1.0832356262,0.4875394239,1.6789318285,ARTm,DonorParity,Donor Parity,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
0,-717,80.463659188,0.3292517041,75.653751479,0.3038913398,75.058135318,76.24936764,73.978641447,75.160290695,0.9953975189,1.0842854083,0.4886692474,1.6799015692,ARTm,DonorParity,Donor Parity,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
0,-716,80.464731985,0.3292140103,75.654801261,0.3038507583,75.059264639,76.250337884,73.978641447,75.160290695,0.996470316,1.0853351905,0.4897985679,1.6808718131,ARTm,DonorParity,Donor Parity,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
0,-715,80.465804782,0.3291765554,75.655851044,0.3038104336,75.060393456,76.251308631,73.978641447,75.160290695,0.9975431132,1.0863849726,0.4909273849,1.6818425603,ARTm,DonorParity,Donor Parity,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
0,-714,80.466877579,0.3291393394,75.656900826,0.3037703658,75.06152177,76.252279882,73.978641447,75.160290695,0.9986159103,1.0874347548,0.4920556985,1.682813811,ARTm,DonorParity,Donor Parity,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
0,-713,80.467950377,0.3291023625,75.657950608,0.3037305551,75.062649579,76.253251637,73.978641447,75.160290695,0.9996887074,1.0884845369,0.4931835083,1.6837855655,ARTm,DonorParity,Donor Parity,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
0,-712,80.469023174,0.3290656246,75.65900039,0.3036910014,75.063776885,76.254223895,73.978641447,75.160290695,1.0007615046,1.0895343191,0.4943108142,1.6847578239,ARTm,DonorParity,Donor Parity,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
0,-711,80.470095971,0.3290291259,75.660050172,0.303651705,75.064903687,76.255196657,73.978641447,75.160290695,1.0018343017,1.0905841012,0.495437616,1.6857305864,ARTm,DonorParity,Donor Parity,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
0,-710,80.471168768,0.3289928664,75.661099954,0.3036126658,75.066029984,76.256169924,73.978641447,75.160290695,1.0029070988,1.0916338833,0.4965639134,1.6867038533,ARTm,DonorParity,Donor Parity,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
0,-709,80.472241565,0.3289568463,75.662149737,0.3035738841,75.067155777,76.257143696,73.978641447,75.160290695,1.003979896,1.0926836655,0.4976897063,1.6876776247,ARTm,DonorParity,Donor Parity,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
0,-708,80.473314362,0.3289210656,75.663199519,0.3035353599,75.068281066,76.258117972,73.978641447,75.160290695,1.0050526931,1.0937334476,0.4988149945,1.6886519007,ARTm,DonorParity,Donor Parity,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
0,-707,80.474387159,0.3288855244,75.664249301,0.3034970933,75.069405849,76.259092753,73.978641447,75.160290695,1.0061254902,1.0947832298,0.4999397778,1.6896266817,ARTm,DonorParity,Donor Parity,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
0,-706,80.475459957,0.3288502227,75.665299083,0.3034590845,75.070530127,76.260068039,73.978641447,75.160290695,1.0071982874,1.0958330119,0.501064056,1.6906019678,ARTm,DonorParity,Donor Parity,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
0,-705,80.476532754,0.3288151607,75.666348865,0.3034213334,75.0716539,76.26104383,73.978641447,75.160290695,1.0082710845,1.0968827941,0.5021878289,1.6915777592,ARTm,DonorParity,Donor Parity,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
0,-704,80.477605551,0.3287803384,75.667398647,0.3033838402,75.072777167,76.262020127,73.978641447,75.160290695,1.0093438817,1.0979325762,0.5033110964,1.6925540561,ARTm,DonorParity,Donor Parity,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
0,-703,80.478678348,0.3287457559,75.668448429,0.303346605,75.073899929,76.26299693,73.978641447,75.160290695,1.0104166788,1.0989823584,0.5044338581,1.6935308586,ARTm,DonorParity,Donor Parity,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
0,-702,80.479751145,0.3287114133,75.669498212,0.3033096279,75.075022185,76.263974238,73.978641447,75.160290695,1.0114894759,1.1000321405,0.505556114,1.694508167,ARTm,DonorParity,Donor Parity,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
0,-701,80.480823942,0.3286773106,75.670547994,0.303272909,75.076143935,76.264952052,73.978641447,75.160290695,1.0125622731,1.1010819227,0.5066778639,1.6954859814,ARTm,DonorParity,Donor Parity,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
0,-700,80.481896739,0.3286434479,75.671597776,0.3032364484,75.077265179,76.265930373,73.978641447,75.160290695,1.0136350702,1.1021317048,0.5077991076,1.696464302,ARTm,DonorParity,Donor Parity,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
0,-699,80.482969537,0.3286098253,75.672647558,0.3032002462,75.078385916,76.2669092,73.978641447,75.160290695,1.0147078673,1.103181487,0.5089198449,1.697443129,ARTm,DonorParity,Donor Parity,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
0,-698,80.484042334,0.3285764429,75.67369734,0.3031643024,75.079506147,76.267888534,73.978641447,75.160290695,1.0157806645,1.1042312691,0.5100400755,1.6984224627,ARTm,DonorParity,Donor Parity,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
0,-697,80.485115131,0.3285433008,75.674747122,0.3031286171,75.08062587,76.268868374,73.978641447,75.160290695,1.0168534616,1.1052810512,0.5111597995,1.699402303,ARTm,DonorParity,Donor Parity,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
0,-696,80.486187928,0.3285103989,75.675796904,0.3030931906,75.081745087,76.269848721,73.978641447,75.160290695,1.0179262588,1.1063308334,0.5122790164,1.7003826503,ARTm,DonorParity,Donor Parity,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
0,-695,80.487260725,0.3284777375,75.676846687,0.3030580227,75.082863797,76.270829576,73.978641447,75.160290695,1.0189990559,1.1073806155,0.5133977263,1.7013635048,ARTm,DonorParity,Donor Parity,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
0,-694,80.488333522,0.3284453165,75.677896469,0.3030231137,75.083982,76.271810938,73.978641447,75.160290695,1.020071853,1.1084303977,0.5145159289,1.7023448665,ARTm,DonorParity,Donor Parity,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
0,-693,80.489406319,0.328413136,75.678946251,0.3029884636,75.085099695,76.272792807,73.978641447,75.160290695,1.0211446502,1.1094801798,0.515633624,1.7033267357,ARTm,DonorParity,Donor Parity,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
0,-692,80.490479116,0.3283811961,75.679996033,0.3029540725,75.086216882,76.273775184,73.978641447,75.160290695,1.0222174473,1.110529962,0.5167508114,1.7043091125,ARTm,DonorParity,Donor Parity,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
0,-691,80.491551914,0.3283494969,75.681045815,0.3029199405,75.087333562,76.274758068,73.978641447,75.160290695,1.0232902444,1.1115797441,0.517867491,1.7052919972,ARTm,DonorParity,Donor Parity,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
0,-690,80.492624711,0.3283180385,75.682095597,0.3028860677,75.088449734,76.275741461,73.978641447,75.160290695,1.0243630416,1.1126295263,0.5189836627,1.7062753899,ARTm,DonorParity,Donor Parity,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
0,-689,80.493697508,0.3282868208,75.683145379,0.3028524542,75.089565397,76.276725362,73.978641447,75.160290695,1.0254358387,1.1136793084,0.5200993262,1.7072592907,ARTm,DonorParity,Donor Parity,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
0,-688,80.494770305,0.3282558441,75.684195162,0.3028191,75.090680552,76.277709771,73.978641447,75.160290695,1.0265086359,1.1147290906,0.5212144813,1.7082436998,ARTm,DonorParity,Donor Parity,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
0,-687,80.495843102,0.3282251082,75.685244944,0.3027860053,75.091795199,76.278694688,73.978641447,75.160290695,1.027581433,1.1157788727,0.522329128,1.7092286175,ARTm,DonorParity,Donor Parity,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
0,-686,80.496915899,0.3281946134,75.686294726,0.30275317,75.092909337,76.279680115,73.978641447,75.160290695,1.0286542301,1.1168286549,0.5234432659,1.7102140438,ARTm,DonorParity,Donor Parity,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
0,-685,80.497988696,0.3281643597,75.687344508,0.3027205944,75.094022966,76.28066605,73.978641447,75.160290695,1.0297270273,1.117878437,0.5245568951,1.7111999789,ARTm,DonorParity,Donor Parity,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
