DonorSex,TimeFromTransfusion,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,base_lower_full,base_upper_full,Delta_Base,Delta_Full,Delta_Lower,Delta_Upper,VitalParam,CompFactor,CompName,VitalName,YLabel,DeltaYLabel
1,-720,80.537166836,0.3307353323,75.746497848,0.3054880715,75.147752149,76.345243546,73.908992368,75.092906676,1.1494489271,1.2455483255,0.6468026274,1.8442940237,ARTm,DonorSex,Donor Sex,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-719,80.5379002,0.3306846156,75.747184334,0.3054334918,75.14854561,76.345823058,73.908992368,75.092906676,1.1501822908,1.2462348117,0.6475960879,1.8448735356,ARTm,DonorSex,Donor Sex,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-718,80.538633563,0.3306342116,75.74787082,0.3053792476,75.149338413,76.346403227,73.908992368,75.092906676,1.1509156545,1.2469212979,0.6483888908,1.845453705,ARTm,DonorSex,Donor Sex,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-717,80.539366927,0.3305841203,75.748557306,0.3053253391,75.150130558,76.346984054,73.908992368,75.092906676,1.1516490182,1.2476077841,0.6491810358,1.8460345324,ARTm,DonorSex,Donor Sex,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-716,80.540100291,0.3305343419,75.749243792,0.3052717664,75.150922044,76.34756554,73.908992368,75.092906676,1.1523823818,1.2482942703,0.6499725225,1.8466160181,ARTm,DonorSex,Donor Sex,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-715,80.540833655,0.3304848765,75.749930278,0.3052185298,75.151712873,76.348147684,73.908992368,75.092906676,1.1531157455,1.2489807565,0.6507633505,1.8471981624,ARTm,DonorSex,Donor Sex,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-714,80.541567018,0.3304357243,75.750616765,0.3051656294,75.152503042,76.348730488,73.908992368,75.092906676,1.1538491092,1.2496672426,0.6515535197,1.8477809656,ARTm,DonorSex,Donor Sex,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-713,80.542300382,0.3303868855,75.751303251,0.3051130653,75.153292551,76.34931395,73.908992368,75.092906676,1.1545824729,1.2503537288,0.6523430295,1.8483644282,ARTm,DonorSex,Donor Sex,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-712,80.543033746,0.3303383601,75.751989737,0.3050608379,75.154081402,76.349898072,73.908992368,75.092906676,1.1553158365,1.251040215,0.6531318796,1.8489485504,ARTm,DonorSex,Donor Sex,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-711,80.543767109,0.3302901483,75.752676223,0.3050089471,75.154869592,76.350482855,73.908992368,75.092906676,1.1560492002,1.2517267012,0.6539200698,1.8495333326,ARTm,DonorSex,Donor Sex,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-710,80.544500473,0.3302422502,75.753362709,0.3049573933,75.155657122,76.351068297,73.908992368,75.092906676,1.1567825639,1.2524131874,0.6547075996,1.8501187751,ARTm,DonorSex,Donor Sex,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-709,80.545233837,0.330194666,75.754049196,0.3049061766,75.156443991,76.3516544,73.908992368,75.092906676,1.1575159276,1.2530996735,0.6554944687,1.8507048783,ARTm,DonorSex,Donor Sex,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-708,80.5459672,0.3301473959,75.754735682,0.3048552971,75.157230199,76.352241165,73.908992368,75.092906676,1.1582492912,1.2537861597,0.6562806769,1.8512916425,ARTm,DonorSex,Donor Sex,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-707,80.546700564,0.3301004398,75.755422168,0.304804755,75.158015746,76.35282859,73.908992368,75.092906676,1.1589826549,1.2544726459,0.6570662238,1.851879068,ARTm,DonorSex,Donor Sex,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-706,80.547433928,0.3300537981,75.756108654,0.3047545505,75.158800631,76.353416677,73.908992368,75.092906676,1.1597160186,1.2551591321,0.6578511089,1.8524671552,ARTm,DonorSex,Donor Sex,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-705,80.548167291,0.3300074708,75.75679514,0.3047046838,75.159584854,76.354005426,73.908992368,75.092906676,1.1604493822,1.2558456183,0.6586353321,1.8530559044,ARTm,DonorSex,Donor Sex,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-704,80.548900655,0.329961458,75.757481626,0.3046551549,75.160368415,76.354594838,73.908992368,75.092906676,1.1611827459,1.2565321044,0.659418893,1.8536453158,ARTm,DonorSex,Donor Sex,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
