wdy_donation,TimeFromTransfusion,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,base_lower_full,base_upper_full,Delta_Base,Delta_Full,Delta_Lower,Delta_Upper,VitalParam,CompFactor,CompName,VitalName,YLabel,DeltaYLabel
1,-720,72.564457352,4.5847705998,70.071693063,4.5722771239,61.110193373,79.033192753,67.566108475,79.064029281,-3.114824876,-3.243375815,-12.2048755,5.718123875,ARTm,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-719,72.578103411,4.5637823163,70.08592446,4.5513297872,61.165480801,79.006368119,67.566108475,79.064029281,-3.101178818,-3.229144418,-12.14958808,5.6912992409,ARTm,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-718,72.591749469,4.5428309393,70.100155857,4.5304192089,61.220696184,78.97961553,67.566108475,79.064029281,-3.087532759,-3.214913021,-12.09437269,5.6645466521,ARTm,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-717,72.605395528,4.5219169816,70.114387254,4.5095459005,61.275838519,78.952935989,67.566108475,79.064029281,-3.073886701,-3.200681624,-12.03923036,5.6378671109,ARTm,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-716,72.619041586,4.5010409649,70.128618651,4.4887103819,61.330906787,78.926330515,67.566108475,79.064029281,-3.060240643,-3.186450227,-11.98416209,5.6112616363,ARTm,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-715,72.632687644,4.4802034195,70.142850048,4.4679131818,61.385899953,78.899800143,67.566108475,79.064029281,-3.046594584,-3.17221883,-11.92916893,5.5847312645,ARTm,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-714,72.646333703,4.4594048848,70.157081445,4.4471548377,61.440816962,78.873345927,67.566108475,79.064029281,-3.032948526,-3.157987433,-11.87425192,5.5582770492,ARTm,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-713,72.659979761,4.4386459091,70.171312842,4.4264358963,61.495656744,78.84696894,67.566108475,79.064029281,-3.019302467,-3.143756036,-11.81941213,5.5319000618,ARTm,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-712,72.673625819,4.4179270502,70.185544239,4.4057569135,61.550418208,78.82067027,67.566108475,79.064029281,-3.005656409,-3.129524639,-11.76465067,5.5056013918,ARTm,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-711,72.687271878,4.3972488749,70.199775636,4.3851184547,61.605100246,78.794451025,67.566108475,79.064029281,-2.992010351,-3.115293243,-11.70996863,5.4793821473,ARTm,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-710,72.700917936,4.3766119601,70.214007033,4.3645210946,61.659701732,78.768312333,67.566108475,79.064029281,-2.978364292,-3.101061846,-11.65536715,5.4532434548,ARTm,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-709,72.714563995,4.3560168921,70.22823843,4.3439654179,61.714221521,78.742255339,67.566108475,79.064029281,-2.964718234,-3.086830449,-11.60084736,5.4271864604,ARTm,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-708,72.728210053,4.3354642673,70.242469827,4.3234520192,61.768658446,78.716281207,67.566108475,79.064029281,-2.951072176,-3.072599052,-11.54641043,5.4012123293,ARTm,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-707,72.741856111,4.3149546921,70.256701223,4.302981503,61.823011322,78.690391125,67.566108475,79.064029281,-2.937426117,-3.058367655,-11.49205756,5.3753222465,ARTm,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-706,72.75550217,4.2944887834,70.27093262,4.2825544844,61.877278945,78.664586296,67.566108475,79.064029281,-2.923780059,-3.044136258,-11.43778993,5.3495174173,ARTm,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-705,72.769148228,4.2740671684,70.285164017,4.2621715888,61.931460089,78.638867946,67.566108475,79.064029281,-2.910134,-3.029904861,-11.38360879,5.3237990675,ARTm,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-704,72.782794286,4.2536904852,70.299395414,4.2418334521,61.985553507,78.613237322,67.566108475,79.064029281,-2.896487942,-3.015673464,-11.32951537,5.2981684438,ARTm,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-703,72.796440345,4.2333593824,70.313626811,4.2215407214,62.03955793,78.587695692,67.566108475,79.064029281,-2.882841884,-3.001442067,-11.27551095,5.272626814,ARTm,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-702,72.810086403,4.21307452,70.327858208,4.2012940545,62.09347207,78.562244346,67.566108475,79.064029281,-2.869195825,-2.98721067,-11.22159681,5.2471754677,ARTm,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-701,72.823732462,4.1928365691,70.342089605,4.1810941206,62.147294616,78.536884595,67.566108475,79.064029281,-2.855549767,-2.972979273,-11.16777426,5.2218157165,ARTm,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-700,72.83737852,4.1726462123,70.356321002,4.1609416004,62.201024232,78.511617773,67.566108475,79.064029281,-2.841903709,-2.958747876,-11.11404465,5.1965488943,ARTm,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-699,72.851024578,4.1525041439,70.370552399,4.1408371861,62.254659562,78.486445236,67.566108475,79.064029281,-2.82825765,-2.944516479,-11.06040932,5.171376358,ARTm,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-698,72.864670637,4.1324110698,70.384783796,4.1207815818,62.308199226,78.461368366,67.566108475,79.064029281,-2.814611592,-2.930285082,-11.00686965,5.1462994876,ARTm,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-697,72.878316695,4.1123677084,70.399015193,4.1007755037,62.361641821,78.436388565,67.566108475,79.064029281,-2.800965533,-2.916053685,-10.95342706,5.1213196867,ARTm,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-696,72.891962754,4.09237479,70.41324659,4.0808196801,62.414985919,78.411507261,67.566108475,79.064029281,-2.787319475,-2.901822288,-10.90008296,5.0964383828,ARTm,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-695,72.905608812,4.0724330575,70.427477987,4.0609148519,62.468230067,78.386725906,67.566108475,79.064029281,-2.773673417,-2.887590891,-10.84683881,5.0716570282,ARTm,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-694,72.91925487,4.0525432666,70.441709384,4.0410617727,62.521372789,78.362045978,67.566108475,79.064029281,-2.760027358,-2.873359495,-10.79369609,5.0469770997,ARTm,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-693,72.932900929,4.0327061859,70.455940781,4.021261209,62.574412583,78.337468978,67.566108475,79.064029281,-2.7463813,-2.859128098,-10.74065629,5.0224000996,ARTm,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-692,72.946546987,4.0129225969,70.470172178,4.0015139402,62.627347921,78.312996434,67.566108475,79.064029281,-2.732735242,-2.844896701,-10.68772096,4.9979275558,ARTm,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-691,72.960193045,3.9931932949,70.484403574,3.9818207594,62.680177248,78.288629901,67.566108475,79.064029281,-2.719089183,-2.830665304,-10.63489163,4.9735610224,ARTm,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-690,72.973839104,3.9735190883,70.498634971,3.962182473,62.732898984,78.264370958,67.566108475,79.064029281,-2.705443125,-2.816433907,-10.58216989,4.9493020802,ARTm,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-689,72.987485162,3.9539007996,70.512866368,3.9425999014,62.785511522,78.240221215,67.566108475,79.064029281,-2.691797066,-2.80220251,-10.52955736,4.9251523369,ARTm,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-688,73.001131221,3.9343392654,70.527097765,3.9230738788,62.838013225,78.216182306,67.566108475,79.064029281,-2.678151008,-2.787971113,-10.47705565,4.9011134277,ARTm,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-687,73.014777279,3.9148353364,70.541329162,3.9036052539,62.89040243,78.192255894,67.566108475,79.064029281,-2.66450495,-2.773739716,-10.42466645,4.8771870158,ARTm,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-686,73.028423337,3.8953898778,70.555560559,3.8841948896,62.942677447,78.168443671,67.566108475,79.064029281,-2.650858891,-2.759508319,-10.37239143,4.8533747928,ARTm,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
1,-685,73.042069396,3.8760037698,70.569791956,3.8648436639,62.994836555,78.144747357,67.566108475,79.064029281,-2.637212833,-2.745276922,-10.32023232,4.8296784793,ARTm,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Mean Arterial Pressure (mmHg),MAP (mmHg),Change in MAP (mmHg)
