DonorParity,TimeFromTransfusion,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,base_lower_full,base_upper_full,Delta_Base,Delta_Full,Delta_Lower,Delta_Upper,VitalParam,CompFactor,CompName,VitalName,YLabel,DeltaYLabel
0,-720,130.54478378,0.5294094482,124.34050765,0.4941549,123.37198171,125.30903359,122.25693079,124.18738354,0.9872980651,1.1183504857,0.1498245488,2.0868764227,ARTs,DonorParity,Donor Parity,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
0,-719,130.54686458,0.5293838522,124.3425316,0.4941277193,123.37405894,125.31100427,122.25693079,124.18738354,0.9893788678,1.120374439,0.1519017753,2.0888471028,ARTs,DonorParity,Donor Parity,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
0,-718,130.54894538,0.5293584169,124.34455556,0.4941007093,123.37613583,125.31297528,122.25693079,124.18738354,0.9914596705,1.1223983924,0.1539786671,2.0908181176,ARTs,DonorParity,Donor Parity,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
0,-717,130.55102618,0.5293331423,124.34657951,0.4940738702,123.37821239,125.31494663,122.25693079,124.18738354,0.9935404732,1.1244223457,0.1560552242,2.0927894672,ARTs,DonorParity,Donor Parity,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
0,-716,130.55310699,0.5293080285,124.34860346,0.4940472019,123.38028861,125.31691832,122.25693079,124.18738354,0.9956212758,1.126446299,0.1581314464,2.0947611515,ARTs,DonorParity,Donor Parity,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
0,-715,130.55518779,0.5292830755,124.35062742,0.4940207045,123.3823645,125.31889034,122.25693079,124.18738354,0.9977020785,1.1284702523,0.1602073337,2.0967331708,ARTs,DonorParity,Donor Parity,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
0,-714,130.55726859,0.5292582833,124.35265137,0.4939943779,123.38444005,125.32086269,122.25693079,124.18738354,0.9997828812,1.1304942056,0.1622828861,2.098705525,ARTs,DonorParity,Donor Parity,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
0,-713,130.5593494,0.529233652,124.35467532,0.4939682223,123.38651527,125.32283538,122.25693079,124.18738354,1.0018636839,1.1325181589,0.1643581035,2.1006782142,ARTs,DonorParity,Donor Parity,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
0,-712,130.5614302,0.5292091816,124.35669928,0.4939422376,123.38859015,125.3248084,122.25693079,124.18738354,1.0039444866,1.1345421122,0.1664329859,2.1026512384,ARTs,DonorParity,Donor Parity,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
0,-711,130.563511,0.529184872,124.35872323,0.4939164238,123.3906647,125.32678176,122.25693079,124.18738354,1.0060252893,1.1365660655,0.1685075332,2.1046245977,ARTs,DonorParity,Donor Parity,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
