DonorSex,TimeFromTransfusion,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,base_lower_full,base_upper_full,Delta_Base,Delta_Full,Delta_Lower,Delta_Upper,VitalParam,CompFactor,CompName,VitalName,YLabel,DeltaYLabel
1,-720,130.58222455,0.5303912476,124.39539075,0.4951752726,123.42486492,125.36591658,122.23166486,124.16379282,1.0600991022,1.1976619121,0.2271360811,2.168187743,ARTs,DonorSex,Donor Sex,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
1,-719,130.58413113,0.5303573632,124.39721823,0.4951392866,123.42676293,125.36767353,122.23166486,124.16379282,1.0620056886,1.199489395,0.2290340955,2.1699446945,ARTs,DonorSex,Donor Sex,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
1,-718,130.58603772,0.5303236907,124.39904572,0.4951035254,123.42866051,125.36943093,122.23166486,124.16379282,1.0639122749,1.201316878,0.230931669,2.171702087,ARTs,DonorSex,Donor Sex,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
1,-717,130.58794431,0.53029023,124.4008732,0.4950679893,123.43055764,125.37118876,122.23166486,124.16379282,1.0658188613,1.2031443609,0.2328288014,2.1734599204,ARTs,DonorSex,Donor Sex,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
1,-716,130.58985089,0.5302569813,124.40270068,0.4950326782,123.43245433,125.37294703,122.23166486,124.16379282,1.0677254476,1.2049718438,0.2347254928,2.1752181949,ARTs,DonorSex,Donor Sex,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
1,-715,130.59175748,0.5302239445,124.40452817,0.4949975923,123.43435058,125.37470575,122.23166486,124.16379282,1.069632034,1.2067993268,0.236621743,2.1769769106,ARTs,DonorSex,Donor Sex,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
1,-714,130.59366407,0.5301911197,124.40635565,0.4949627314,123.43624639,125.37646491,122.23166486,124.16379282,1.0715386203,1.2086268097,0.2385175519,2.1787360675,ARTs,DonorSex,Donor Sex,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
1,-713,130.59557065,0.530158507,124.40818313,0.4949280958,123.43814176,125.3782245,122.23166486,124.16379282,1.0734452067,1.2104542926,0.2404129194,2.1804956659,ARTs,DonorSex,Donor Sex,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
1,-712,130.59747724,0.5301261064,124.41001061,0.4948936854,123.44003668,125.37998454,122.23166486,124.16379282,1.075351793,1.2122817756,0.2423078455,2.1822557057,ARTs,DonorSex,Donor Sex,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
1,-711,130.59938382,0.5300939178,124.4118381,0.4948595003,123.44193117,125.38174503,122.23166486,124.16379282,1.0772583794,1.2141092585,0.24420233,2.184016187,ARTs,DonorSex,Donor Sex,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
