TimeFromTransfusion,Storage_Cat,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,base_lower_full,base_upper_full,Delta_Base,Delta_Full,Delta_Lower,Delta_Upper,VitalParam,CompFactor,CompName,VitalName,YLabel,DeltaYLabel
-720,1,130.06521189,0.5470577864,123.96819247,0.5115504843,122.96557181,124.97081314,122.41253349,124.38928631,0.4398251679,0.5672825713,-0.435338097,1.5699032397,ARTs,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
-719,1,130.06714106,0.54695109,123.97028785,0.5114371955,122.96788922,124.97268647,122.41253349,124.38928631,0.4417543421,0.5693779456,-0.433020681,1.571776572,ARTs,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
-718,1,130.06907023,0.5468450491,123.97238322,0.5113246,122.97020528,124.97456117,122.41253349,124.38928631,0.4436835163,0.57147332,-0.430704623,1.5736512631,ARTs,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
-717,1,130.07099941,0.5467396642,123.9744786,0.5112126982,122.97251998,124.97643722,122.41253349,124.38928631,0.4456126905,0.5735686943,-0.428389925,1.5755273139,ARTs,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
-716,1,130.07292858,0.5466349356,123.97657397,0.5111014907,122.97483331,124.97831463,122.41253349,124.38928631,0.4475418646,0.5756640686,-0.426076588,1.5774047255,ARTs,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
-715,1,130.07485776,0.5465308637,123.97866935,0.5109909778,122.97714529,124.9801934,122.41253349,124.38928631,0.4494710388,0.5777594429,-0.423764613,1.5792834986,ARTs,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
-714,1,130.07678693,0.5464274489,123.98076472,0.5108811601,122.9794559,124.98207354,122.41253349,124.38928631,0.451400213,0.5798548173,-0.421454,1.5811636341,ARTs,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
-713,1,130.07871611,0.5463246916,123.98286009,0.510772038,122.98176515,124.98395504,122.41253349,124.38928631,0.4533293872,0.5819501916,-0.41914475,1.5830451329,ARTs,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
-712,1,130.08064528,0.5462225921,123.98495547,0.5106636118,122.98407304,124.9858379,122.41253349,124.38928631,0.4552585614,0.5840455659,-0.416836864,1.5849279959,ARTs,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
-711,1,130.08257445,0.5461211507,123.98705084,0.5105558822,122.98637956,124.98772213,122.41253349,124.38928631,0.4571877355,0.5861409402,-0.414530344,1.586812224,ARTs,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
