wdy_donation,TimeFromTransfusion,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,base_lower_full,base_upper_full,Delta_Base,Delta_Full,Delta_Lower,Delta_Upper,VitalParam,CompFactor,CompName,VitalName,YLabel,DeltaYLabel
1,-720,125.96385986,4.7546842185,122.95096656,4.7339007571,113.67269032,132.22924279,116.60008164,128.55912218,0.5903988867,0.3713646439,-8.906911594,9.6496408821,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
1,-719,125.9775426,4.7330813471,122.96553331,4.7123595298,113.7294771,132.20158951,116.60008164,128.55912218,0.60408163,0.3859313935,-8.850124809,9.6219875963,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
1,-718,125.99122535,4.7115171689,122.98010005,4.6908567339,113.78618856,132.17401155,116.60008164,128.55912218,0.6177643733,0.4004981431,-8.793413348,9.5944096347,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
1,-717,126.00490809,4.6899922175,122.9946668,4.6693929004,113.84282366,132.14650995,116.60008164,128.55912218,0.6314471166,0.4150648927,-8.736778252,9.566908038,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
1,-716,126.01859083,4.6685070356,123.00923355,4.647968569,113.89938133,132.11908578,116.60008164,128.55912218,0.6451298599,0.4296316424,-8.680220579,9.539483864,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
1,-715,126.03227358,4.6470621748,123.0238003,4.6265842885,113.95586051,132.0917401,116.60008164,128.55912218,0.6588126032,0.444198392,-8.623741404,9.5121381884,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
1,-714,126.04595632,4.6256581959,123.03836705,4.6052406168,114.01226009,132.06447402,116.60008164,128.55912218,0.6724953465,0.4587651416,-8.567341821,9.4848721046,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
1,-713,126.05963906,4.604295669,123.0529338,4.5839381212,114.06857897,132.03728864,116.60008164,128.55912218,0.6861780898,0.4733318912,-8.511022942,9.4576867245,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
1,-712,126.07332181,4.5829751737,123.06750055,4.5626773785,114.12481602,132.01018509,116.60008164,128.55912218,0.6998608331,0.4878986408,-8.454785897,9.4305831784,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
1,-711,126.08700455,4.5616972995,123.0820673,4.5414589749,114.18097008,131.98316453,116.60008164,128.55912218,0.7135435764,0.5024653905,-8.398631835,9.4035626157,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
1,-710,126.10068729,4.5404626455,123.09663405,4.5202835068,114.23703999,131.95622812,116.60008164,128.55912218,0.7272263197,0.5170321401,-8.342561925,9.3766262048,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
1,-709,126.11437004,4.5192718209,123.1112008,4.4991515803,114.29302456,131.92937705,116.60008164,128.55912218,0.740909063,0.5315988897,-8.286577355,9.3497751341,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
1,-708,126.12805278,4.4981254453,123.12576755,4.4780638119,114.34892258,131.90261252,116.60008164,128.55912218,0.7545918063,0.5461656393,-8.230679333,9.3230106116,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
1,-707,126.14173552,4.4770241484,123.1403343,4.4570208284,114.40473282,131.87593578,116.60008164,128.55912218,0.7682745496,0.560732389,-8.174869088,9.2963338659,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
1,-706,126.15541827,4.4559685706,123.15490105,4.4360232671,114.46045404,131.84934806,116.60008164,128.55912218,0.7819572928,0.5752991386,-8.119147869,9.269746146,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
1,-705,126.16910101,4.4349593632,123.1694678,4.4150717761,114.51608497,131.82285063,116.60008164,128.55912218,0.7956400361,0.5898658882,-8.063516946,9.2432487223,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
1,-704,126.18278375,4.4139971882,123.18403455,4.3941670143,114.5716243,131.7964448,116.60008164,128.55912218,0.8093227794,0.6044326378,-8.007977611,9.2168428862,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
1,-703,126.1964665,4.393082719,123.1986013,4.3733096519,114.62707074,131.77013186,116.60008164,128.55912218,0.8230055227,0.6189993874,-7.952531176,9.1905299512,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
1,-702,126.21014924,4.37221664,123.21316805,4.3525003703,114.68242293,131.74391316,116.60008164,128.55912218,0.836688266,0.6335661371,-7.897178979,9.1643112528,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
1,-701,126.22383198,4.3513996475,123.2277348,4.3317398624,114.73767954,131.71779006,116.60008164,128.55912218,0.8503710093,0.6481328867,-7.841922376,9.1381881492,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
1,-700,126.23751473,4.3306324493,123.24230155,4.3110288328,114.79283916,131.69176393,116.60008164,128.55912218,0.8640537526,0.6626996363,-7.786762749,9.1121620214,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
1,-699,126.25119747,4.3099157652,123.2568683,4.2903679982,114.84790041,131.66583619,116.60008164,128.55912218,0.8777364959,0.6772663859,-7.731701502,9.0862342737,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
1,-698,126.26488021,4.2892503272,123.27143505,4.2697580871,114.90286185,131.64000825,116.60008164,128.55912218,0.8914192392,0.6918331355,-7.676740063,9.0604063345,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
1,-697,126.27856296,4.2686368795,123.2860018,4.2491998405,114.95772203,131.61428157,116.60008164,128.55912218,0.9051019825,0.7063998852,-7.621879885,9.0346796558,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
1,-696,126.2922457,4.2480761789,123.30056855,4.2286940121,115.01247947,131.58865763,116.60008164,128.55912218,0.9187847258,0.7209666348,-7.567122445,9.0090557147,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
1,-695,126.30592844,4.2275689952,123.3151353,4.2082413679,115.06713267,131.56313792,116.60008164,128.55912218,0.9324674691,0.7355333844,-7.512469244,8.983536013,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
1,-694,126.31961119,4.2071161107,123.32970205,4.1878426873,115.1216801,131.53772399,116.60008164,128.55912218,0.9461502124,0.750100134,-7.45792181,8.9581220779,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
1,-693,126.33329393,4.1867183214,123.3442688,4.1674987626,115.17612022,131.51241737,116.60008164,128.55912218,0.9598329557,0.7646668837,-7.403481695,8.9328154625,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
1,-692,126.34697667,4.1663764365,123.35883555,4.1472103997,115.23045143,131.48721966,116.60008164,128.55912218,0.973515699,0.7792336333,-7.34915048,8.9076177462,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
1,-691,126.36065942,4.1460912787,123.37340229,4.126978418,115.28467214,131.46213245,116.60008164,128.55912218,0.9871984423,0.7938003829,-7.294929769,8.8825305351,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
1,-690,126.37434216,4.1258636849,123.38796904,4.1068036508,115.33878071,131.43715737,116.60008164,128.55912218,1.0008811856,0.8083671325,-7.240821197,8.8575554623,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
1,-689,126.3880249,4.1056945057,123.40253579,4.0866869454,115.39277549,131.4122961,116.60008164,128.55912218,1.0145639289,0.8229338821,-7.186826424,8.8326941885,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
1,-688,126.40170765,4.0855846064,123.41710254,4.0666291635,115.44665477,131.38755031,116.60008164,128.55912218,1.0282466722,0.8375006318,-7.132947139,8.8079484027,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
1,-687,126.41539039,4.0655348666,123.43166929,4.0466311813,115.50041685,131.36292173,116.60008164,128.55912218,1.0419294155,0.8520673814,-7.079185059,8.7833198222,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
1,-686,126.42907313,4.0455461808,123.44623604,4.0266938897,115.55405998,131.3384121,116.60008164,128.55912218,1.0556121588,0.866634131,-7.025541931,8.7588101931,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
1,-685,126.44275588,4.0256194583,123.46080279,4.0068181947,115.60758238,131.3140232,116.60008164,128.55912218,1.0692949021,0.8812008806,-6.97201953,8.7344212911,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
1,-684,126.45643862,4.005755624,123.47536954,3.9870050175,115.66098225,131.28975683,116.60008164,128.55912218,1.0829776453,0.8957676302,-6.918619661,8.7101549218,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
1,-683,126.47012136,3.9859556181,123.48993629,3.9672552948,115.71425775,131.26561483,116.60008164,128.55912218,1.0966603886,0.9103343799,-6.865344161,8.6860129209,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
1,-682,126.48380411,3.9662203964,123.50450304,3.947569979,115.76740702,131.24159907,116.60008164,128.55912218,1.1103431319,0.9249011295,-6.812194896,8.6619971553,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
1,-681,126.49748685,3.9465509308,123.51906979,3.9279500383,115.82042815,131.21771143,116.60008164,128.55912218,1.1240258752,0.9394678791,-6.759173764,8.6381095226,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
1,-680,126.51116959,3.9269482095,123.53363654,3.9083964574,115.87331922,131.19395386,116.60008164,128.55912218,1.1377086185,0.9540346287,-6.706282695,8.6143519527,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
1,-679,126.52485234,3.907413237,123.54820329,3.8889102372,115.92607826,131.17032832,116.60008164,128.55912218,1.1513913618,0.9686013783,-6.653523651,8.5907264075,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
1,-678,126.53853508,3.8879470344,123.56277004,3.8694923954,115.97870329,131.14683679,116.60008164,128.55912218,1.1650741051,0.983168128,-6.600898625,8.5672348814,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
1,-677,126.55221782,3.8685506399,123.57733679,3.8501439665,116.03119226,131.12348131,116.60008164,128.55912218,1.1787568484,0.9977348776,-6.548409647,8.5438794022,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
1,-676,126.56590057,3.8492251088,123.59190354,3.8308660024,116.08354313,131.10026394,116.60008164,128.55912218,1.1924395917,1.0123016272,-6.496058777,8.5206620313,ARTs,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Systolic Blood Pressure (mmHg),SBP (mmHg),Change in   SBP (mmHg)
