DonorParity,TimeFromTransfusion,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,base_lower_full,base_upper_full,Delta_Base,Delta_Full,Delta_Lower,Delta_Upper,VitalParam,CompFactor,CompName,VitalName,YLabel,DeltaYLabel
0,-720,36.649297071,0.4590513375,37.025887163,0.4573192821,36.129557656,37.92221667,36.57133928,38.362649461,-0.502236337,-0.441107207,-1.337436715,0.4552222998,FIO2,DonorParity,Donor Parity,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
0,-719,36.649486055,0.4590458166,37.026026495,0.4573137865,36.129707758,37.922345231,36.57133928,38.362649461,-0.502047353,-0.440967876,-1.337286612,0.4553508603,FIO2,DonorParity,Donor Parity,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
0,-718,36.649675038,0.4590403305,37.026165826,0.4573083256,36.129857793,37.922473859,36.57133928,38.362649461,-0.501858369,-0.440828544,-1.337136577,0.4554794888,FIO2,DonorParity,Donor Parity,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
0,-717,36.649864022,0.4590348793,37.026305158,0.4573028994,36.13000776,37.922602556,36.57133928,38.362649461,-0.501669385,-0.440689212,-1.33698661,0.4556081853,FIO2,DonorParity,Donor Parity,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
0,-716,36.650053006,0.459029463,37.02644449,0.4572975079,36.130157659,37.92273132,36.57133928,38.362649461,-0.501480402,-0.440549881,-1.336836711,0.4557369498,FIO2,DonorParity,Donor Parity,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
0,-715,36.65024199,0.4590240816,37.026583821,0.4572921511,36.13030749,37.922860153,36.57133928,38.362649461,-0.501291418,-0.440410549,-1.336686881,0.4558657824,FIO2,DonorParity,Donor Parity,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
0,-714,36.650430974,0.459018735,37.026723153,0.457286829,36.130457252,37.922989053,36.57133928,38.362649461,-0.501102434,-0.440271217,-1.336537118,0.4559946829,FIO2,DonorParity,Donor Parity,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
0,-713,36.650619958,0.4590134234,37.026862485,0.4572815416,36.130606947,37.923118022,36.57133928,38.362649461,-0.50091345,-0.440131886,-1.336387423,0.4561236515,FIO2,DonorParity,Donor Parity,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
0,-712,36.650808941,0.4590081466,37.027001816,0.4572762889,36.130756574,37.923247058,36.57133928,38.362649461,-0.500724466,-0.439992554,-1.336237796,0.4562526881,FIO2,DonorParity,Donor Parity,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
0,-711,36.650997925,0.4590029046,37.027141148,0.4572710709,36.130906133,37.923376163,36.57133928,38.362649461,-0.500535483,-0.439853223,-1.336088238,0.4563817927,FIO2,DonorParity,Donor Parity,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
0,-710,36.651186909,0.4589976976,37.02728048,0.4572658877,36.131055623,37.923505336,36.57133928,38.362649461,-0.500346499,-0.439713891,-1.335938747,0.4565109653,FIO2,DonorParity,Donor Parity,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
0,-709,36.651375893,0.4589925255,37.027419811,0.4572607391,36.131205046,37.923634576,36.57133928,38.362649461,-0.500157515,-0.439574559,-1.335789324,0.456640206,FIO2,DonorParity,Donor Parity,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
0,-708,36.651564877,0.4589873882,37.027559143,0.4572556252,36.131354401,37.923763885,36.57133928,38.362649461,-0.499968531,-0.439435228,-1.33563997,0.4567695146,FIO2,DonorParity,Donor Parity,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
0,-707,36.65175386,0.4589822858,37.027698474,0.4572505461,36.131503687,37.923893262,36.57133928,38.362649461,-0.499779547,-0.439295896,-1.335490683,0.4568988914,FIO2,DonorParity,Donor Parity,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
0,-706,36.651942844,0.4589772183,37.027837806,0.4572455017,36.131652906,37.924022706,36.57133928,38.362649461,-0.499590563,-0.439156564,-1.335341464,0.4570283361,FIO2,DonorParity,Donor Parity,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
0,-705,36.652131828,0.4589721858,37.027977138,0.4572404919,36.131802056,37.924152219,36.57133928,38.362649461,-0.49940158,-0.439017233,-1.335192314,0.4571578489,FIO2,DonorParity,Donor Parity,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
0,-704,36.652320812,0.458967188,37.028116469,0.4572355169,36.131951139,37.9242818,36.57133928,38.362649461,-0.499212596,-0.438877901,-1.335043231,0.4572874297,FIO2,DonorParity,Donor Parity,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
0,-703,36.652509796,0.4589622252,37.028255801,0.4572305766,36.132100153,37.924411449,36.57133928,38.362649461,-0.499023612,-0.438738569,-1.334894217,0.4574170786,FIO2,DonorParity,Donor Parity,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
0,-702,36.652698779,0.4589572973,37.028395133,0.457225671,36.1322491,37.924541166,36.57133928,38.362649461,-0.498834628,-0.438599238,-1.334745271,0.4575467954,FIO2,DonorParity,Donor Parity,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
0,-701,36.652887763,0.4589524043,37.028534464,0.4572208002,36.132397978,37.924670951,36.57133928,38.362649461,-0.498645644,-0.438459906,-1.334596392,0.4576765804,FIO2,DonorParity,Donor Parity,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
0,-700,36.653076747,0.4589475462,37.028673796,0.457215964,36.132546789,37.924800804,36.57133928,38.362649461,-0.498456661,-0.438320574,-1.334447582,0.4578064334,FIO2,DonorParity,Donor Parity,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
0,-699,36.653265731,0.4589427229,37.028813128,0.4572111626,36.132695531,37.924930725,36.57133928,38.362649461,-0.498267677,-0.438181243,-1.33429884,0.4579363544,FIO2,DonorParity,Donor Parity,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
0,-698,36.653454715,0.4589379346,37.028952459,0.4572063959,36.132844205,37.925060714,36.57133928,38.362649461,-0.498078693,-0.438041911,-1.334150165,0.4580663435,FIO2,DonorParity,Donor Parity,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
0,-697,36.653643698,0.4589331812,37.029091791,0.4572016639,36.132992811,37.925190771,36.57133928,38.362649461,-0.497889709,-0.437902579,-1.334001559,0.4581964006,FIO2,DonorParity,Donor Parity,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
0,-696,36.653832682,0.4589284626,37.029231123,0.4571969666,36.133141349,37.925320896,36.57133928,38.362649461,-0.497700725,-0.437763248,-1.333853021,0.4583265258,FIO2,DonorParity,Donor Parity,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
0,-695,36.654021666,0.458923779,37.029370454,0.4571923041,36.133289819,37.925451089,36.57133928,38.362649461,-0.497511742,-0.437623916,-1.333704551,0.4584567191,FIO2,DonorParity,Donor Parity,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
0,-694,36.65421065,0.4589191303,37.029509786,0.4571876763,36.133438221,37.925581351,36.57133928,38.362649461,-0.497322758,-0.437484584,-1.333556149,0.4585869804,FIO2,DonorParity,Donor Parity,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
0,-693,36.654399634,0.4589145164,37.029649118,0.4571830832,36.133586555,37.92571168,36.57133928,38.362649461,-0.497133774,-0.437345253,-1.333407815,0.4587173097,FIO2,DonorParity,Donor Parity,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
0,-692,36.654588617,0.4589099375,37.029788449,0.4571785248,36.133734821,37.925842078,36.57133928,38.362649461,-0.49694479,-0.437205921,-1.333259549,0.4588477072,FIO2,DonorParity,Donor Parity,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
0,-691,36.654777601,0.4589053935,37.029927781,0.4571740012,36.133883019,37.925972543,36.57133928,38.362649461,-0.496755806,-0.437066589,-1.333111351,0.4589781726,FIO2,DonorParity,Donor Parity,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
0,-690,36.654966585,0.4589008844,37.030067113,0.4571695123,36.134031149,37.926103077,36.57133928,38.362649461,-0.496566823,-0.436927258,-1.332963221,0.4591087062,FIO2,DonorParity,Donor Parity,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
0,-689,36.655155569,0.4588964101,37.030206444,0.4571650581,36.134179211,37.926233678,36.57133928,38.362649461,-0.496377839,-0.436787926,-1.33281516,0.4592393078,FIO2,DonorParity,Donor Parity,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
0,-688,36.655344553,0.4588919708,37.030345776,0.4571606386,36.134327204,37.926364348,36.57133928,38.362649461,-0.496188855,-0.436648594,-1.332667166,0.4593699775,FIO2,DonorParity,Donor Parity,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
0,-687,36.655533536,0.4588875664,37.030485108,0.4571562539,36.13447513,37.926495086,36.57133928,38.362649461,-0.495999871,-0.436509263,-1.332519241,0.4595007153,FIO2,DonorParity,Donor Parity,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
0,-686,36.65572252,0.458883197,37.030624439,0.4571519039,36.134622987,37.926625891,36.57133928,38.362649461,-0.495810887,-0.436369931,-1.332371383,0.4596315211,FIO2,DonorParity,Donor Parity,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
