DonorSex,TimeFromTransfusion,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,base_lower_full,base_upper_full,Delta_Base,Delta_Full,Delta_Lower,Delta_Upper,VitalParam,CompFactor,CompName,VitalName,YLabel,DeltaYLabel
1,-720,36.507318455,0.4592650773,36.887155942,0.457523689,35.990425805,37.78388608,36.584616541,38.37628269,-0.661391799,-0.593293673,-1.490023811,0.3034364643,FIO2,DonorSex,Donor Sex,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
1,-719,36.507720829,0.4592578329,36.887511735,0.4575164831,35.990795721,37.784227749,36.584616541,38.37628269,-0.660989424,-0.592937881,-1.489653895,0.3037781335,FIO2,DonorSex,Donor Sex,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
1,-718,36.508123204,0.4592506342,36.887867527,0.4575093225,35.991165548,37.784569507,36.584616541,38.37628269,-0.66058705,-0.592582088,-1.489284068,0.3041198916,FIO2,DonorSex,Donor Sex,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
1,-717,36.508525578,0.459243481,36.88822332,0.4575022073,35.991535286,37.784911354,36.584616541,38.37628269,-0.660184675,-0.592226296,-1.48891433,0.3044617385,FIO2,DonorSex,Donor Sex,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
1,-716,36.508927953,0.4592363734,36.888579113,0.4574951374,35.991904935,37.78525329,36.584616541,38.37628269,-0.659782301,-0.591870503,-1.488544681,0.3048036744,FIO2,DonorSex,Donor Sex,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
1,-715,36.509330327,0.4592293114,36.888934905,0.4574881129,35.992274495,37.785595315,36.584616541,38.37628269,-0.659379926,-0.591514711,-1.488175121,0.3051456991,FIO2,DonorSex,Donor Sex,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
1,-714,36.509732702,0.459222295,36.889290698,0.4574811338,35.992643967,37.785937429,36.584616541,38.37628269,-0.658977552,-0.591158918,-1.487805649,0.3054878128,FIO2,DonorSex,Donor Sex,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
1,-713,36.510135076,0.4592153242,36.88964649,0.4574742,35.993013349,37.786279631,36.584616541,38.37628269,-0.658575177,-0.590803126,-1.487436267,0.3058300153,FIO2,DonorSex,Donor Sex,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
1,-712,36.510537451,0.459208399,36.890002283,0.4574673115,35.993382643,37.786621923,36.584616541,38.37628269,-0.658172803,-0.590447333,-1.487066973,0.3061723068,FIO2,DonorSex,Donor Sex,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
1,-711,36.510939825,0.4592015193,36.890358075,0.4574604685,35.993751847,37.786964303,36.584616541,38.37628269,-0.657770429,-0.590091541,-1.486697768,0.3065146871,FIO2,DonorSex,Donor Sex,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
