TimeFromTransfusion,Storage_Cat,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,base_lower_full,base_upper_full,Delta_Base,Delta_Full,Delta_Lower,Delta_Upper,VitalParam,CompFactor,CompName,VitalName,YLabel,DeltaYLabel
-720,1,36.938247516,0.4706075396,36.821523397,0.4670794497,35.906064298,37.736982496,35.881110419,37.706237828,0.0056390146,0.0278492735,-0.887609826,0.9433083726,FIO2,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
-719,1,36.938756574,0.4705851696,36.821886412,0.4670571661,35.906470988,37.737301836,35.881110419,37.706237828,0.006148072,0.0282122886,-0.887203135,0.9436277126,FIO2,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
-718,1,36.939265631,0.4705629391,36.822249427,0.4670350214,35.906877406,37.737621448,35.881110419,37.706237828,0.0066571295,0.0285753037,-0.886796717,0.9439473248,FIO2,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
-717,1,36.939774689,0.470540848,36.822612442,0.4670130155,35.907283552,37.737941333,35.881110419,37.706237828,0.0071661869,0.0289383188,-0.886390572,0.9442672092,FIO2,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
-716,1,36.940283746,0.4705188964,36.822975458,0.4669911486,35.907689425,37.73826149,35.881110419,37.706237828,0.0076752443,0.0293013339,-0.885984698,0.9445873659,FIO2,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
-715,1,36.940792804,0.4704970844,36.823338473,0.4669694206,35.908095027,37.738581919,35.881110419,37.706237828,0.0081843017,0.029664349,-0.885579097,0.9449077949,FIO2,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
-714,1,36.941301861,0.4704754119,36.823701488,0.4669478315,35.908500356,37.73890262,35.881110419,37.706237828,0.0086933591,0.0300273641,-0.885173768,0.9452284963,FIO2,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
-713,1,36.941810918,0.470453879,36.824064503,0.4669263815,35.908905412,37.739223594,35.881110419,37.706237828,0.0092024165,0.0303903792,-0.884768712,0.94554947,FIO2,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
-712,1,36.942319976,0.4704324857,36.824427518,0.4669050704,35.909310196,37.73954484,35.881110419,37.706237828,0.009711474,0.0307533943,-0.884363928,0.9458707161,FIO2,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
-711,1,36.942829033,0.4704112319,36.824790533,0.4668838983,35.909714708,37.739866358,35.881110419,37.706237828,0.0102205314,0.0311164094,-0.883959416,0.9461922347,FIO2,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
-710,1,36.943338091,0.4703901178,36.825153548,0.4668628653,35.910118947,37.740188149,35.881110419,37.706237828,0.0107295888,0.0314794245,-0.883555177,0.9465140258,FIO2,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
-709,1,36.943847148,0.4703691434,36.825516563,0.4668419713,35.910522913,37.740510213,35.881110419,37.706237828,0.0112386462,0.0318424396,-0.88315121,0.9468360894,FIO2,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
-708,1,36.944356205,0.4703483086,36.825879578,0.4668212163,35.910926607,37.740832549,35.881110419,37.706237828,0.0117477036,0.0322054547,-0.882747516,0.9471584256,FIO2,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
-707,1,36.944865263,0.4703276135,36.826242593,0.4668006005,35.911330029,37.741155158,35.881110419,37.706237828,0.012256761,0.0325684698,-0.882344095,0.9474810344,FIO2,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
-706,1,36.94537432,0.470307058,36.826605609,0.4667801238,35.911733178,37.741478039,35.881110419,37.706237828,0.0127658185,0.0329314849,-0.881940946,0.9478039158,FIO2,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
-705,1,36.945883378,0.4702866423,36.826968624,0.4667597861,35.912136054,37.741801194,35.881110419,37.706237828,0.0132748759,0.0332945,-0.88153807,0.9481270699,FIO2,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
-704,1,36.946392435,0.4702663664,36.827331639,0.4667395877,35.912538657,37.74212462,35.881110419,37.706237828,0.0137839333,0.0336575151,-0.881135467,0.9484504967,FIO2,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
