TimeFromTransfusion,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,Delta_Base,Delta_Full,Delta_Lower,Delta_Upper,VitalParam,CompFactor,CompName,VitalName,YLabel,DeltaYLabel,Transfusion
-720,36.708956263,0.4588110991,37.075954529,0.4570717305,36.180110214,37.971798844,-0.536283737,-0.497375471,-1.393219786,0.3984688441,FIO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%),1
-719,36.709146155,0.458807175,37.076145739,0.4570678239,36.18030908,37.971982397,-0.536093845,-0.497184261,-1.39302092,0.398652397,FIO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%),1
-718,36.709336047,0.4588032756,37.076336948,0.457063942,36.180507899,37.972165998,-0.535903953,-0.496993052,-1.392822101,0.3988359983,FIO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%),1
-717,36.709525939,0.458799401,37.076528158,0.4570600848,36.180706668,37.972349648,-0.535714061,-0.496801842,-1.392623332,0.399019648,FIO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%),1
-716,36.709715832,0.4587955513,37.076719368,0.4570562522,36.18090539,37.972533346,-0.535524168,-0.496610632,-1.39242461,0.399203346,FIO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%),1
-715,36.709905724,0.4587917263,37.076910578,0.4570524443,36.181104063,37.972717092,-0.535334276,-0.496419422,-1.392225937,0.3993870924,FIO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%),1
-714,36.710095616,0.4587879261,37.077101787,0.4570486611,36.181302688,37.972900887,-0.535144384,-0.496228213,-1.392027312,0.3995708872,FIO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%),1
-713,36.710285509,0.4587841507,37.077292997,0.4570449025,36.181501264,37.97308473,-0.534954491,-0.496037003,-1.391828736,0.3997547303,FIO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%),1
-712,36.710475401,0.4587804002,37.077484207,0.4570411687,36.181699792,37.973268622,-0.534764599,-0.495845793,-1.391630208,0.3999386218,FIO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%),1
-711,36.710665293,0.4587766744,37.077675417,0.4570374595,36.181898272,37.973452562,-0.534574707,-0.495654583,-1.391431728,0.4001225616,FIO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%),1
-710,36.710855185,0.4587729734,37.077866626,0.4570337749,36.182096703,37.97363655,-0.534384815,-0.495463374,-1.391233297,0.4003065498,FIO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%),1
-709,36.711045078,0.4587692972,37.078057836,0.4570301151,36.182295086,37.973820586,-0.534194922,-0.495272164,-1.391034914,0.4004905863,FIO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%),1
-708,36.71123497,0.4587656459,37.078249046,0.4570264799,36.18249342,37.974004671,-0.53400503,-0.495080954,-1.39083658,0.4006746713,FIO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%),1
-707,36.711424862,0.4587620193,37.078440255,0.4570228694,36.182691706,37.974188805,-0.533815138,-0.494889745,-1.390638294,0.4008588046,FIO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%),1
-706,36.711614755,0.4587584175,37.078631465,0.4570192836,36.182889944,37.974372986,-0.533625245,-0.494698535,-1.390440056,0.4010429862,FIO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%),1
-705,36.711804647,0.4587548405,37.078822675,0.4570157225,36.183088134,37.974557216,-0.533435353,-0.494507325,-1.390241866,0.4012272162,FIO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%),1
-704,36.711994539,0.4587512884,37.079013885,0.457012186,36.183286275,37.974741495,-0.533245461,-0.494316115,-1.390043725,0.4014114946,FIO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%),1
-703,36.712184431,0.458747761,37.079205094,0.4570086742,36.183484367,37.974925821,-0.533055569,-0.494124906,-1.389845633,0.4015958214,FIO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%),1
-702,36.712374324,0.4587442585,37.079396304,0.4570051871,36.183682412,37.975110197,-0.532865676,-0.493933696,-1.389647588,0.4017801965,FIO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%),1
-701,36.712564216,0.4587407807,37.079587514,0.4570017247,36.183880408,37.97529462,-0.532675784,-0.493742486,-1.389449592,0.40196462,FIO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%),1
-700,36.712754108,0.4587373278,37.079778724,0.456998287,36.184078355,37.975479092,-0.532485892,-0.493551276,-1.389251645,0.4021490919,FIO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%),1
-699,36.712944,0.4587338997,37.079969933,0.4569948739,36.184276254,37.975663612,-0.532296,-0.493360067,-1.389053746,0.4023336122,FIO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%),1
-698,36.713133893,0.4587304963,37.080161143,0.4569914856,36.184474105,37.975848181,-0.532106107,-0.493168857,-1.388855895,0.4025181808,FIO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%),1
-697,36.713323785,0.4587271178,37.080352353,0.4569881219,36.184671908,37.976032798,-0.531916215,-0.492977647,-1.388658092,0.4027027979,FIO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%),1
-696,36.713513677,0.4587237641,37.080543562,0.4569847829,36.184869662,37.976217463,-0.531726323,-0.492786438,-1.388460338,0.4028874633,FIO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%),1
-695,36.71370357,0.4587204352,37.080734772,0.4569814686,36.185067367,37.976402177,-0.53153643,-0.492595228,-1.388262633,0.403072177,FIO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%),1
-694,36.713893462,0.4587171311,37.080925982,0.4569781789,36.185265025,37.976586939,-0.531346538,-0.492404018,-1.388064975,0.4032569392,FIO2,Transfusion,Transfusion Effect,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%),1
