wdy_donation,TimeFromTransfusion,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,base_lower_full,base_upper_full,Delta_Base,Delta_Full,Delta_Lower,Delta_Upper,VitalParam,CompFactor,CompName,VitalName,YLabel,DeltaYLabel
1,-720,26.752622064,1.7681844777,27.003558425,1.7604632364,23.553113174,30.454003677,25.738110333,30.621667254,-1.107373607,-1.176330368,-4.62677562,2.2741148836,FIO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
1,-719,26.750620204,1.7612245087,27.001902886,1.7535346492,23.565037419,30.438768353,25.738110333,30.621667254,-1.109375466,-1.177985907,-4.614851375,2.25887956,FIO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
1,-718,26.748618345,1.7542814398,27.000247347,1.7466228892,23.576928683,30.42356601,25.738110333,30.621667254,-1.111377326,-1.179641447,-4.602960111,2.2436772171,FIO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
1,-717,26.746616485,1.7473554723,26.998591807,1.7397281569,23.588786573,30.408397041,25.738110333,30.621667254,-1.113379185,-1.181296986,-4.59110222,2.2285082482,FIO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
1,-716,26.744614626,1.7404468104,26.996936268,1.7328506558,23.600610691,30.393261845,25.738110333,30.621667254,-1.115381045,-1.182952525,-4.579278102,2.2133730515,FIO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
1,-715,26.742612766,1.733555661,26.995280729,1.7259905916,23.612400633,30.378160824,25.738110333,30.621667254,-1.117382904,-1.184608065,-4.56748816,2.1982720308,FIO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
1,-714,26.740610907,1.7266822338,26.993625189,1.7191481733,23.62415599,30.363094388,25.738110333,30.621667254,-1.119384764,-1.186263604,-4.555732803,2.1832055951,FIO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
1,-713,26.738609047,1.7198267413,26.99196965,1.7123236122,23.635876347,30.348062952,25.738110333,30.621667254,-1.121386623,-1.187919143,-4.544012446,2.1681741592,FIO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
1,-712,26.736607188,1.7129893987,26.990314111,1.7055171229,23.647561285,30.333066936,25.738110333,30.621667254,-1.123388483,-1.189574683,-4.532327508,2.1531781431,FIO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
1,-711,26.734605328,1.7061704243,26.988658571,1.6987289224,23.659210377,30.318106766,25.738110333,30.621667254,-1.125390342,-1.191230222,-4.520678416,2.1382179726,FIO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
1,-710,26.732603469,1.6993700393,26.987003032,1.6919592309,23.670823192,30.303182872,25.738110333,30.621667254,-1.127392202,-1.192885761,-4.509065602,2.1232940791,FIO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
1,-709,26.730601609,1.6925884676,26.985347493,1.6852082716,23.682399292,30.288295693,25.738110333,30.621667254,-1.129394061,-1.194541301,-4.497489501,2.1084068999,FIO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
1,-708,26.72859975,1.6858259363,26.983691953,1.6784762704,23.693938236,30.273445671,25.738110333,30.621667254,-1.131395921,-1.19619684,-4.485950558,2.0935568779,FIO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
1,-707,26.72659789,1.6790826755,26.982036414,1.6717634563,23.705439573,30.258633255,25.738110333,30.621667254,-1.13339778,-1.197852379,-4.47444922,2.078744462,FIO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
1,-706,26.724596031,1.6723589183,26.980380875,1.6650700614,23.716902849,30.2438589,25.738110333,30.621667254,-1.13539964,-1.199507919,-4.462985944,2.0639701071,FIO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
1,-705,26.722594171,1.6656549008,26.978725335,1.6583963209,23.728327604,30.229123067,25.738110333,30.621667254,-1.137401499,-1.201163458,-4.45156119,2.049234274,FIO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
1,-704,26.720592312,1.6589708624,26.977069796,1.6517424729,23.739713369,30.214426223,25.738110333,30.621667254,-1.139403359,-1.202818997,-4.440175424,2.0345374296,FIO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
1,-703,26.718590452,1.6523070456,26.975414257,1.6451087589,23.751059673,30.19976884,25.738110333,30.621667254,-1.141405218,-1.204474537,-4.42882912,2.0198800471,FIO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
1,-702,26.716588593,1.6456636959,26.973758717,1.6384954234,23.762366036,30.185151399,25.738110333,30.621667254,-1.143407078,-1.206130076,-4.417522757,2.0052626056,FIO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
1,-701,26.714586733,1.6390410623,26.972103178,1.6319027141,23.773631972,30.170574384,25.738110333,30.621667254,-1.145408937,-1.207785615,-4.406256821,1.9906855909,FIO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
1,-700,26.712584874,1.6324393969,26.970447639,1.6253308821,23.784856989,30.156038288,25.738110333,30.621667254,-1.147410797,-1.209441154,-4.395031804,1.9761494949,FIO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
1,-699,26.710583014,1.6258589551,26.968792099,1.6187801816,23.79604059,30.141543609,25.738110333,30.621667254,-1.149412656,-1.211096694,-4.383848203,1.9616548158,FIO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
1,-698,26.708581155,1.6192999957,26.96713656,1.6122508702,23.807182268,30.127090852,25.738110333,30.621667254,-1.151414516,-1.212752233,-4.372706525,1.9472020586,FIO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
1,-697,26.706579295,1.6127627806,26.965481021,1.6057432087,23.818281514,30.112680528,25.738110333,30.621667254,-1.153416375,-1.214407772,-4.36160728,1.9327917346,FIO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
1,-696,26.704577436,1.6062475756,26.963825482,1.5992574616,23.829337808,30.098313155,25.738110333,30.621667254,-1.155418235,-1.216063312,-4.350550985,1.9184243619,FIO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
1,-695,26.702575576,1.5997546494,26.962169942,1.5927938965,23.840350626,30.083989258,25.738110333,30.621667254,-1.157420094,-1.217718851,-4.339538167,1.9041004651,FIO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
1,-694,26.700573717,1.5932842744,26.960514403,1.5863527845,23.851319437,30.069709369,25.738110333,30.621667254,-1.159421954,-1.21937439,-4.328569357,1.8898205757,FIO2,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Fraction of Inspired Oxygen (%),FiO2 (%),Change in   FiO2 (%)
