TimeFromTransfusion,DonorHb_Cat,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,base_lower_full,base_upper_full,Delta_Base,Delta_Full,Delta_Lower,Delta_Upper,VitalParam,CompFactor,CompName,VitalName,YLabel,DeltaYLabel
-720,1,88.272282065,0.4557415254,88.318919498,0.4543294063,87.428450107,89.209388888,86.227473206,87.977511651,1.1679009858,1.2164270694,0.3259576787,2.1068964601,HR,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
-719,1,88.276207506,0.4556231619,88.322653743,0.4542111325,87.432416165,89.212891321,86.227473206,87.977511651,1.1718264262,1.2201613148,0.3299237365,2.110398893,HR,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
-718,1,88.280132946,0.4555055165,88.326387988,0.4540935762,87.436380816,89.216395161,86.227473206,87.977511651,1.1757518667,1.2238955601,0.333888388,2.1139027322,HR,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
-717,1,88.284058387,0.4553885896,88.330122234,0.4539767379,87.44034406,89.219900407,86.227473206,87.977511651,1.1796773071,1.2276298054,0.3378516321,2.1174079788,HR,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
-716,1,88.287983827,0.4552723818,88.333856479,0.4538606183,87.444305896,89.223407062,86.227473206,87.977511651,1.1836027476,1.2313640508,0.3418134677,2.1209146338,HR,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
-715,1,88.291909267,0.4551568937,88.337590724,0.4537452179,87.448266322,89.226915127,86.227473206,87.977511651,1.1875281881,1.2350982961,0.3457738938,2.1244226985,HR,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
-714,1,88.295834708,0.4550421259,88.34132497,0.4536305372,87.452225338,89.230424602,86.227473206,87.977511651,1.1914536285,1.2388325415,0.3497329092,2.1279321738,HR,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
-713,1,88.299760148,0.4549280788,88.345059215,0.4535165768,87.456182941,89.233935489,86.227473206,87.977511651,1.195379069,1.2425667868,0.3536905129,2.1314430608,HR,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
-712,1,88.303685589,0.454814753,88.348793461,0.4534033372,87.460139132,89.237447789,86.227473206,87.977511651,1.1993045095,1.2463010322,0.3576467038,2.1349553605,HR,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
-711,1,88.307611029,0.454702149,88.352527706,0.453290819,87.464093909,89.240961503,86.227473206,87.977511651,1.2032299499,1.2500352775,0.3616014809,2.1384690742,HR,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
-710,1,88.31153647,0.4545902674,88.356261951,0.4531790226,87.468047271,89.244476631,86.227473206,87.977511651,1.2071553904,1.2537695229,0.3655548431,2.1419842027,HR,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
-709,1,88.31546191,0.4544791087,88.359996197,0.4530679487,87.471999218,89.247993175,86.227473206,87.977511651,1.2110808308,1.2575037682,0.3695067893,2.1455007471,HR,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
-708,1,88.319387351,0.4543686735,88.363730442,0.4529575977,87.475949747,89.251511137,86.227473206,87.977511651,1.2150062713,1.2612380136,0.3734573186,2.1490187085,HR,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
-707,1,88.323312791,0.4542589623,88.367464687,0.4528479703,87.479898858,89.255030516,86.227473206,87.977511651,1.2189317118,1.2649722589,0.3774064299,2.1525380879,HR,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
-706,1,88.327238232,0.4541499755,88.371198933,0.4527390668,87.48384655,89.258551315,86.227473206,87.977511651,1.2228571522,1.2687065042,0.3813541221,2.1560588864,HR,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
-705,1,88.331163672,0.4540417138,88.374933178,0.4526308879,87.487792823,89.262073533,86.227473206,87.977511651,1.2267825927,1.2724407496,0.3853003942,2.159581105,HR,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
-704,1,88.335089113,0.4539341776,88.378667423,0.4525234341,87.491737674,89.265597173,86.227473206,87.977511651,1.2307080331,1.2761749949,0.3892452453,2.1631047446,HR,DonorHb_Cat,Donor Hemoglobin,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
