DonorParity,TimeFromTransfusion,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,base_lower_full,base_upper_full,Delta_Base,Delta_Full,Delta_Lower,Delta_Upper,VitalParam,CompFactor,CompName,VitalName,YLabel,DeltaYLabel
0,-720,88.206784659,0.4417563919,88.235799086,0.4404428489,87.372546853,89.099051318,86.904627085,88.62973405,0.407015303,0.4686185179,-0.394633715,1.3318707508,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
0,-719,88.207497522,0.441750592,88.23643365,0.4404370608,87.373192761,89.099674538,86.904627085,88.62973405,0.407728166,0.4692530822,-0.393987806,1.3324939706,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
0,-718,88.208210385,0.4417448289,88.237068214,0.4404313094,87.373838598,89.10029783,86.904627085,88.62973405,0.408441029,0.4698876464,-0.39334197,1.3331172623,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
0,-717,88.208923248,0.4417391023,88.237702778,0.4404255946,87.374484363,89.100921193,86.904627085,88.62973405,0.409153892,0.4705222106,-0.392696205,1.3337406258,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
0,-716,88.209636111,0.4417334125,88.238337342,0.4404199165,87.375130056,89.101544629,86.904627085,88.62973405,0.409866755,0.4711567749,-0.392050511,1.3343640611,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
0,-715,88.210348974,0.4417277593,88.238971907,0.4404142751,87.375775677,89.102168136,86.904627085,88.62973405,0.410579618,0.4717913391,-0.39140489,1.3349875683,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
0,-714,88.211061837,0.4417221428,88.239606471,0.4404086702,87.376421227,89.102791715,86.904627085,88.62973405,0.411292481,0.4724259033,-0.390759341,1.3356111473,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
0,-713,88.2117747,0.4417165629,88.240241035,0.4404031021,87.377066705,89.103415366,86.904627085,88.62973405,0.4120053441,0.4730604676,-0.390113863,1.3362347981,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
0,-712,88.212487563,0.4417110197,88.240875599,0.4403975706,87.37771211,89.104039088,86.904627085,88.62973405,0.4127182071,0.4736950318,-0.389468457,1.3368585208,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
0,-711,88.213200426,0.4417055132,88.241510164,0.4403920757,87.378357444,89.104662883,86.904627085,88.62973405,0.4134310701,0.474329596,-0.388823123,1.3374823153,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
0,-710,88.213913289,0.4417000434,88.242144728,0.4403866175,87.379002706,89.105286749,86.904627085,88.62973405,0.4141439331,0.4749641602,-0.388177861,1.3381061817,HR,DonorParity,Donor Parity,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
