DonorSex,TimeFromTransfusion,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,base_lower_full,base_upper_full,Delta_Base,Delta_Full,Delta_Lower,Delta_Upper,VitalParam,CompFactor,CompName,VitalName,YLabel,DeltaYLabel
1,-720,88.161172671,0.4419931909,88.195525953,0.4406739144,87.33182084,89.059231066,86.939973218,88.665493347,0.3285929178,0.3927926702,-0.470912443,1.2564977831,HR,DonorSex,Donor Sex,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
1,-719,88.161788605,0.4419855155,88.196064453,0.440666253,87.332374356,89.05975455,86.939973218,88.665493347,0.3292088519,0.3933311705,-0.470358926,1.2570212675,HR,DonorSex,Donor Sex,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
1,-718,88.16240454,0.4419778884,88.196602954,0.44065864,87.332927778,89.060278129,86.939973218,88.665493347,0.329824786,0.3938696709,-0.469805505,1.2575448466,HR,DonorSex,Donor Sex,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
1,-717,88.163020474,0.4419703097,88.197141454,0.4406510753,87.333481105,89.060801803,86.939973218,88.665493347,0.3304407201,0.3944081712,-0.469252178,1.2580685204,HR,DonorSex,Donor Sex,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
1,-716,88.163636408,0.4419627794,88.197679954,0.440643559,87.334034337,89.061325572,86.939973218,88.665493347,0.3310566542,0.3949466716,-0.468698946,1.2585922891,HR,DonorSex,Donor Sex,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
1,-715,88.164252342,0.4419552974,88.198218455,0.440636091,87.334587474,89.061849435,86.939973218,88.665493347,0.3316725883,0.3954851719,-0.468145809,1.2591161525,HR,DonorSex,Donor Sex,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
1,-714,88.164868276,0.4419478639,88.198756955,0.4406286714,87.335140517,89.062373393,86.939973218,88.665493347,0.3322885224,0.3960236723,-0.467592766,1.2596401107,HR,DonorSex,Donor Sex,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
1,-713,88.16548421,0.4419404787,88.199295455,0.4406213002,87.335693464,89.062897446,86.939973218,88.665493347,0.3329044565,0.3965621726,-0.467039818,1.2601641637,HR,DonorSex,Donor Sex,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
1,-712,88.166100144,0.4419331419,88.199833956,0.4406139773,87.336246317,89.063421594,86.939973218,88.665493347,0.3335203907,0.397100673,-0.466486966,1.2606883114,HR,DonorSex,Donor Sex,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
1,-711,88.166716078,0.4419258535,88.200372456,0.4406067028,87.336799075,89.063945837,86.939973218,88.665493347,0.3341363248,0.3976391733,-0.465934207,1.261212554,HR,DonorSex,Donor Sex,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
