wdy_donation,TimeFromTransfusion,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,base_lower_full,base_upper_full,Delta_Base,Delta_Full,Delta_Lower,Delta_Upper,VitalParam,CompFactor,CompName,VitalName,YLabel,DeltaYLabel
1,-720,58.23267916,2.1452557676,58.549831788,2.1412943338,54.352971471,62.746692106,108.17637395,113.70442361,-52.41782063,-52.39056699,-56.58742731,-48.19370667,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
1,-719,58.43315278,2.1358026811,58.750411087,2.1318579162,54.572045811,62.928776364,108.17637395,113.70442361,-52.21734701,-52.18998769,-56.36835297,-48.01162241,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
1,-718,58.6336264,2.126367812,58.950990386,2.12243968,54.791084516,63.110896257,108.17637395,113.70442361,-52.01687339,-51.98940839,-56.14931426,-47.82950252,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
1,-717,58.834100021,2.116951404,59.151569685,2.1130398685,55.010087109,63.293052261,108.17637395,113.70442361,-51.81639977,-51.78882909,-55.93031167,-47.64734651,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
1,-716,59.034573641,2.1075537043,59.352148984,2.1036587284,55.229053107,63.475244861,108.17637395,113.70442361,-51.61592615,-51.58824979,-55.71134567,-47.46515391,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
1,-715,59.235047261,2.0981749645,59.552728283,2.0942965109,55.447982018,63.657474549,108.17637395,113.70442361,-51.41545253,-51.38767049,-55.49241676,-47.28292423,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
1,-714,59.435520881,2.0888154399,59.753307582,2.0849534707,55.666873342,63.839741823,108.17637395,113.70442361,-51.21497891,-51.18709119,-55.27352543,-47.10065695,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
1,-713,59.635994501,2.07947539,59.953886882,2.0756298668,55.885726571,64.022047192,108.17637395,113.70442361,-51.01450529,-50.98651189,-55.05467221,-46.91835158,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
1,-712,59.836468121,2.0701550783,60.154466181,2.0663259624,56.10454119,64.204391171,108.17637395,113.70442361,-50.81403167,-50.7859326,-54.83585759,-46.7360076,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
1,-711,60.036941741,2.0608547727,60.35504548,2.0570420247,56.323316675,64.386774284,108.17637395,113.70442361,-50.61355805,-50.5853533,-54.6170821,-46.55362449,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
1,-710,60.237415361,2.0515747453,60.555624779,2.0477783253,56.542052493,64.569197064,108.17637395,113.70442361,-50.41308443,-50.384774,-54.39834628,-46.37120171,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
1,-709,60.437888981,2.0423152724,60.756204078,2.0385351401,56.760748105,64.751660051,108.17637395,113.70442361,-50.21261081,-50.1841947,-54.17965067,-46.18873873,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
1,-708,60.638362601,2.0330766349,60.956783377,2.0293127495,56.97940296,64.934163794,108.17637395,113.70442361,-50.01213719,-49.9836154,-53.96099582,-46.00623498,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
1,-707,60.838836221,2.0238591181,61.157362676,2.0201114382,57.1980165,65.116708852,108.17637395,113.70442361,-49.81166357,-49.7830361,-53.74238228,-45.82368992,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
1,-706,61.039309841,2.014663012,61.357941975,2.0109314955,57.416588158,65.299295792,108.17637395,113.70442361,-49.61118995,-49.5824568,-53.52381062,-45.64110298,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
1,-705,61.239783461,2.0054886111,61.558521274,2.0017732155,57.635117359,65.481925189,108.17637395,113.70442361,-49.41071633,-49.3818775,-53.30528142,-45.45847359,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
1,-704,61.440257081,1.9963362145,61.759100573,1.9926368969,57.853603515,65.664597631,108.17637395,113.70442361,-49.21024271,-49.1812982,-53.08679526,-45.27580115,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
1,-703,61.640730701,1.9872061264,61.959679872,1.9835228431,58.072046034,65.84731371,108.17637395,113.70442361,-49.00976909,-48.9807189,-52.86835274,-45.09308507,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
1,-702,61.841204321,1.9780986557,62.160259171,1.9744313624,58.29044431,66.030074032,108.17637395,113.70442361,-48.80929547,-48.7801396,-52.64995447,-44.91032474,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
1,-701,62.041677941,1.9690141162,62.36083847,1.9653627682,58.508797729,66.212879211,108.17637395,113.70442361,-48.60882185,-48.57956031,-52.43160105,-44.72751957,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
1,-700,62.242151561,1.9599528267,62.561417769,1.9563173786,58.727105669,66.39572987,108.17637395,113.70442361,-48.40834823,-48.37898101,-52.21329311,-44.54466891,HR,wdy_donation,Weekday of Donation,Vital Parameter Trajectory: Heart Rate (bpm),HR (bpm),Change in   HR (bpm)
