DonorSex,TimeFromTransfusion,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,base_lower_full,base_upper_full,Delta_Base,Delta_Full,Delta_Lower,Delta_Upper,VitalParam,CompFactor,CompName,VitalName,YLabel,DeltaYLabel
1,-720,95.513765011,0.0882055821,95.546713651,0.0881802827,95.373883449,95.719543853,95.301096837,95.646281963,0.082770947,0.0730242516,-0.09980595,0.2458544535,SpO2,DonorSex,Donor Sex,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
1,-719,95.513401384,0.0882036487,95.546363173,0.088178356,95.373536748,95.719189599,95.301096837,95.646281963,0.0824073193,0.0726737733,-0.100152652,0.2455001988,SpO2,DonorSex,Donor Sex,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
1,-718,95.513037756,0.0882017275,95.546012695,0.0881764414,95.373190022,95.718835368,95.301096837,95.646281963,0.0820436917,0.0723232949,-0.100499378,0.2451459679,SpO2,DonorSex,Donor Sex,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
1,-717,95.512674128,0.0881998185,95.545662216,0.0881745389,95.372843272,95.718481161,95.301096837,95.646281963,0.081680064,0.0719728166,-0.100846128,0.2447917609,SpO2,DonorSex,Donor Sex,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
1,-716,95.512310501,0.0881979217,95.545311738,0.0881726486,95.372496499,95.718126978,95.301096837,95.646281963,0.0813164364,0.0716223383,-0.101192901,0.2444375777,SpO2,DonorSex,Donor Sex,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
1,-715,95.511946873,0.0881960371,95.54496126,0.0881707705,95.372149701,95.717772818,95.301096837,95.646281963,0.0809528087,0.0712718599,-0.101539698,0.2440834183,SpO2,DonorSex,Donor Sex,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
1,-714,95.511583245,0.0881941647,95.544610781,0.0881689046,95.37180288,95.717418683,95.301096837,95.646281963,0.0805891811,0.0709213816,-0.10188652,0.2437292827,SpO2,DonorSex,Donor Sex,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
1,-713,95.511219618,0.0881923044,95.544260303,0.0881670507,95.371456035,95.717064571,95.301096837,95.646281963,0.0802255534,0.0705709033,-0.102233364,0.243375171,SpO2,DonorSex,Donor Sex,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
1,-712,95.51085599,0.0881904564,95.543909825,0.0881652091,95.371109167,95.716710483,95.301096837,95.646281963,0.0798619258,0.0702204249,-0.102580233,0.2430210831,SpO2,DonorSex,Donor Sex,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
1,-711,95.510492363,0.0881886205,95.543559346,0.0881633796,95.370762274,95.716356419,95.301096837,95.646281963,0.0794982981,0.0698699466,-0.102927126,0.2426670191,SpO2,DonorSex,Donor Sex,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
1,-710,95.510128735,0.0881867968,95.543208868,0.0881615623,95.370415358,95.716002379,95.301096837,95.646281963,0.0791346705,0.0695194683,-0.103274042,0.2423129789,SpO2,DonorSex,Donor Sex,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
1,-709,95.509765107,0.0881849853,95.54285839,0.0881597572,95.370068417,95.715648362,95.301096837,95.646281963,0.0787710428,0.06916899,-0.103620983,0.2419589625,SpO2,DonorSex,Donor Sex,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
1,-708,95.50940148,0.088183186,95.542507911,0.0881579642,95.369721453,95.71529437,95.301096837,95.646281963,0.0784074152,0.0688185116,-0.103967947,0.24160497,SpO2,DonorSex,Donor Sex,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
1,-707,95.509037852,0.0881813989,95.542157433,0.0881561833,95.369374465,95.714940401,95.301096837,95.646281963,0.0780437875,0.0684680333,-0.104314935,0.2412510013,SpO2,DonorSex,Donor Sex,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
1,-706,95.508674224,0.0881796239,95.541806955,0.0881544147,95.369027453,95.714586456,95.301096837,95.646281963,0.0776801599,0.068117555,-0.104661947,0.2408970565,SpO2,DonorSex,Donor Sex,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
