TimeFromTransfusion,Storage_Cat,PredVal_Base,StdErrVal_Base,PredVal_Full,StdErrVal_Full,Lower_Full,Upper_Full,base_lower_full,base_upper_full,Delta_Base,Delta_Full,Delta_Lower,Delta_Upper,VitalParam,CompFactor,CompName,VitalName,YLabel,DeltaYLabel
-720,1,95.454774409,0.0903446321,95.544390345,0.0901587958,95.367682326,95.721098363,95.313575523,95.665529248,0.0605178077,0.054837959,-0.121870059,0.2315459772,SpO2,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
-719,1,95.454509484,0.0903388083,95.544115933,0.0901529791,95.367419315,95.72081255,95.313575523,95.665529248,0.0602528826,0.0545635469,-0.122133071,0.2312601647,SpO2,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
-718,1,95.454244559,0.090333021,95.54384152,0.0901471989,95.367156232,95.720526809,95.313575523,95.665529248,0.0599879575,0.0542891348,-0.122396154,0.2309744236,SpO2,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
-717,1,95.453979634,0.0903272703,95.543567108,0.0901414552,95.366893077,95.72024114,95.313575523,95.665529248,0.0597230324,0.0540147227,-0.122659309,0.230688754,SpO2,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
-716,1,95.453714709,0.090321556,95.543292696,0.0901357479,95.366629851,95.719955542,95.313575523,95.665529248,0.0594581072,0.0537403106,-0.122922535,0.2304031559,SpO2,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
-715,1,95.453449784,0.0903158782,95.543018284,0.0901300772,95.366366553,95.719670015,95.313575523,95.665529248,0.0591931821,0.0534658985,-0.123185832,0.2301176293,SpO2,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
-714,1,95.453184859,0.0903102369,95.542743872,0.0901244429,95.366103184,95.71938456,95.313575523,95.665529248,0.058928257,0.0531914864,-0.123449201,0.2298321742,SpO2,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
-713,1,95.452919933,0.0903046322,95.54246946,0.0901188451,95.365839744,95.719099176,95.313575523,95.665529248,0.0586633319,0.0529170743,-0.123712642,0.2295467906,SpO2,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
-712,1,95.452655008,0.090299064,95.542195048,0.0901132837,95.365576232,95.718813864,95.313575523,95.665529248,0.0583984068,0.0526426623,-0.123976154,0.2292614785,SpO2,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
-711,1,95.452390083,0.0902935323,95.541920636,0.0901077589,95.365312648,95.718528624,95.313575523,95.665529248,0.0581334816,0.0523682502,-0.124239738,0.228976238,SpO2,Storage_Cat,RBC Storage Time,Vital Parameter Trajectory: Peripheral Capillary Oxygen Saturation (%),SpO2 (%),Change in   SpO2 (%)
